E,B,sigma,sigma_noisy
1.073175214430160285e+00,-4.975784088547352546e-01,1.275047691774564562e+01,1.278549939732300089e+01
5.032432666728422349e-02,4.559511455826796844e-01,4.625199344044681027e+01,4.611889455430995355e+01
1.893356014803212473e+00,7.594080814079213759e-01,1.156714290431045455e+01,1.140157521473852142e+01
3.106698026745730035e-01,-5.285130884238355975e-01,1.280998055426839244e+01,1.288433515441266408e+01
1.111377262065768701e+00,-7.544785640400901716e-01,1.225601222116869948e+01,1.231118697447321431e+01
1.368469235009787566e+00,5.530283270164280118e-01,1.230183759119531928e+01,1.219798081176161908e+01
1.574749165192550704e+00,-9.593131447347895691e-01,1.256308387652274128e+01,1.272745255033259504e+01
1.089024127425582078e+00,-7.374216719647308516e-01,1.226531677688420530e+01,1.216755978393417514e+01
1.281830649269978029e+00,-2.989987566837291055e-01,1.291274885852928023e+01,1.279597602041461357e+01
1.655947625403540568e+00,-5.968936756247344988e-01,1.277161138723975853e+01,1.283687320938176057e+01
1.290621430150634685e+00,9.029013128244365305e-01,1.193376261937226701e+01,1.195585647394382178e+01
1.337015212921608631e+00,6.850741045018238218e-02,1.284762588740267297e+01,1.283157508730579011e+01
1.709563591540383065e+00,-4.391497428721298224e-01,1.275139089419165117e+01,1.274468431090155462e+01
1.560892171619100710e-01,-9.561883845445724450e-01,9.425100472002991836e+00,9.447480551128844439e+00
1.041856891110224392e+00,1.028636019551638636e-01,1.359945378560830598e+01,1.358549578703342320e+01
6.283852728487133998e-02,7.939129020876789511e-02,2.586252239523933838e+01,2.584527190841123456e+01
3.112584809728276558e-01,-2.949307542752404032e-01,1.503896730925326608e+01,1.484937164038662161e+01
6.672776429174992474e-02,3.255845385321309848e-02,2.424816924486596292e+01,2.411397310826499663e+01
1.733820578070596863e+00,3.644336753883337110e-02,1.242924920666957611e+01,1.249034416370185241e+01
6.661790538254507288e-01,-5.980887256462894541e-01,1.232341682409685291e+01,1.225298673505218261e+01
1.047051102619189322e+00,7.774139211032828900e-01,1.309142005082163962e+01,1.314593937673281054e+01
1.576643296598290167e+00,-1.154938795454814038e-01,1.266142539013891621e+01,1.278497178006348278e+01
1.380904681252071997e+00,-2.498766035674342412e-01,1.285344477109816452e+01,1.281794968845332150e+01
1.853365975386259468e+00,-6.668667081314127998e-01,1.282417897489932024e+01,1.285247595303362900e+01
9.847093405587531434e-01,-5.260287030242460915e-01,1.268000841693429592e+01,1.288765606161216404e+01
1.407851251918444291e+00,2.900867759100169696e-01,1.254442989699590072e+01,1.261392346122725527e+01
1.736831791093098376e+00,-4.087960156422196789e-01,1.273664395731431398e+01,1.292083134038944792e+01
2.233220758467110711e-01,-5.968011721778134770e-01,1.227576901205444493e+01,1.242910971744585247e+01
9.450117661606962649e-01,2.872034165841785835e-02,1.388921425388832809e+01,1.396455028884044225e+01
1.851085742249550803e-01,4.916485107730037551e-01,3.412050943311673024e+01,3.410932005697435443e+01
1.118359080647165271e+00,-5.024894000743100886e-01,1.274324104721898721e+01,1.265904169389543199e+01
6.335731594029577751e-01,-3.245432350821044754e-01,1.370579193445240662e+01,1.359462213550017040e+01
1.682591563572444882e+00,-9.996494823181214517e-01,1.266166625495218945e+01,1.271029914842031694e+01
9.420779303106553426e-01,-3.592643800306061230e-02,1.380059864190270602e+01,1.384741697957018580e+01
3.341616483686027372e-01,7.700439130376237618e-01,2.908121062190324579e+01,2.906374840109997493e+01
1.748024478942598936e+00,8.135976117041106015e-01,1.152935536468038613e+01,1.161420200278904602e+01
8.574723384102259649e-01,5.915726505863811990e-01,1.471690245395169505e+01,1.465644874251738017e+01
4.922537195301714130e-02,-5.876455035467411658e-01,1.253506770744739285e+01,1.264608961425851241e+01
5.446908285881492118e-01,-3.321886026681717397e-01,1.387286938183006768e+01,1.387687008830867974e+01
7.723678494019028395e-01,-8.351894531962005264e-01,1.149344715887522916e+01,1.148981450129717174e+01
6.222619826229638246e-02,1.011705252412231637e-01,2.662985207468865667e+01,2.662982474499071017e+01
2.888219550311490469e-01,3.316007760914603253e-01,2.453115913242112356e+01,2.452130000474267035e+01
6.000526488868800357e-01,-5.462130566808292009e-01,1.256252707216750863e+01,1.281135350100038117e+01
6.817907573652389752e-01,8.253387834380674359e-01,1.676607133457635612e+01,1.660491935166159649e+01
8.807831341990806084e-01,1.204183346542286870e-01,1.431358305339765913e+01,1.433130530777583900e+01
6.022594506696911099e-01,-4.901364342840099919e-01,1.286016540474015812e+01,1.298457602367406416e+01
6.481298001261136532e-01,-3.620213763617505798e-01,1.348217969650971426e+01,1.355393100176696564e+01
9.295367619010642679e-01,3.492592005577399572e-01,1.422363458745292242e+01,1.419342639028219466e+01
7.103461651574722868e-01,-2.444082725827514402e-01,1.390406280201726297e+01,1.407807490443894594e+01
1.502074036055615736e+00,-6.625597296048593154e-01,1.269988233708735947e+01,1.259303305131079220e+01
1.564330921682437925e+00,-5.716756501289288472e-02,1.263434192571792991e+01,1.250371231274610651e+01
4.515526805564296087e-02,-5.772133755625028506e-01,1.266456969023571588e+01,1.272137674652895711e+01
3.325635017065130539e-01,3.654747047066959631e-01,2.360003651259109958e+01,2.345458953246779643e+01
2.126200963468204697e-01,-1.506683379803794853e-01,1.764180664654316644e+01,1.740401167124650428e+01
7.122087143105634288e-01,-4.718256708244390474e-01,1.289386627971933663e+01,1.298215494349213728e+01
7.189585012020351940e-01,-6.934359955065070302e-01,1.195391958121639320e+01,1.203005461247843755e+01
1.501093259937545055e+00,-7.613831129136350295e-01,1.263737515457792782e+01,1.271060384087227213e+01
1.461745050091910691e+00,-7.272945151360286076e-01,1.263296992188018564e+01,1.258422280741177346e+01
1.766005317797170848e+00,-2.588976588636007214e-01,1.264949526706170246e+01,1.266778987983063764e+01
1.369166060414849007e+00,-2.245914446263517217e-01,1.286538944820532215e+01,1.276885679038107746e+01
1.195112939198781810e+00,5.590684294582051184e-01,1.277187428582915274e+01,1.294530940649041817e+01
1.988723070965278339e+00,-3.247014245495978280e-01,1.264097936478444062e+01,1.272008178993488592e+01
1.287513762986716825e+00,-9.464957139386767082e-01,1.216557470679734188e+01,1.223980031403436364e+01
7.850487988312340182e-01,-4.247486329126985982e-01,1.304125893190203556e+01,1.284626045781137194e+01
6.164866186593302988e-01,-8.642102928488100133e-01,1.105818377496740368e+01,1.113891397936639294e+01
8.114515842328219597e-02,-3.320837113444778943e-01,1.591880274918102778e+01,1.606819995137916379e+01
1.888835380382849927e+00,8.576047895103577900e-05,1.238704660310389727e+01,1.250867281166863521e+01
1.507752810737015503e+00,-4.469630399200459347e-01,1.277545945132886729e+01,1.285437248490851658e+01
7.603782033366430770e-01,-8.125196248091279827e-01,1.155361838331866231e+01,1.155352266641569514e+01
1.751302553589157318e+00,1.853854460792951908e-01,1.226804908061248867e+01,1.223386579588698453e+01
1.528217825213139314e+00,6.210154400221581383e-01,1.194380540614754693e+01,1.200396957470943526e+01
9.356949992567759056e-01,6.138476187817669683e-01,1.405228829272324376e+01,1.409056522830297986e+01
1.912008856178350591e+00,-2.185583954718219868e-01,1.257401023140260854e+01,1.259764768444119376e+01
1.785875054941189033e+00,-9.498759620057595221e-02,1.251809043518412956e+01,1.248716796050522859e+01
8.976319830691485979e-01,6.658635038403741824e-01,1.429363549479974083e+01,1.446176114759228426e+01
8.597497716807783741e-01,1.497064200828626124e-01,1.447508399577921345e+01,1.435829966655961520e+01
3.118747415573396853e-01,-4.057142251609120454e-01,1.391642193087372803e+01,1.391415868529252009e+01
2.137901851531322783e-01,7.205666876525407272e-01,3.895778654831096333e+01,3.889976846103203201e+01
7.208490658068967827e-01,9.443445350697572405e-01,1.590360188319809609e+01,1.600680618800718236e+01
4.370466813081900770e-01,6.257333764574914969e-01,2.276868986492329228e+01,2.291173801565271972e+01
1.465237019648975014e-01,2.898425022097790293e-01,2.955081650270004445e+01,2.967522538678107225e+01
1.473604687291559134e+00,8.178615845600238909e-01,1.173247827776806140e+01,1.180801899594391102e+01
1.922739497178915569e+00,7.848466079630345149e-01,1.153953625632977520e+01,1.139927605868177451e+01
1.377902878472666792e+00,-1.982144133369114769e-01,1.285857613801302080e+01,1.306669940876765423e+01
1.815790631364364360e+00,7.830201257013276184e-01,1.154907056659606113e+01,1.160074017555352555e+01
1.742030213176395392e+00,3.931013012418538288e-01,1.204060600587366991e+01,1.202975968137398866e+01
1.295648194648348017e+00,-3.667371445559941545e-01,1.286324669539562393e+01,1.286539675500709556e+01
1.049999693934147604e+00,5.726132174916547246e-01,1.338303373274337460e+01,1.334908181937821503e+01
7.222237710109630227e-01,-4.449597558888218618e-01,1.300492911038899280e+01,1.304731716766137417e+01
9.950025893888668760e-01,-8.674586439034241980e-01,1.181414080123290944e+01,1.184515758204397073e+01
6.492913834879825430e-01,-7.078393627538261956e-01,1.180739067953942900e+01,1.177138067497275919e+01
3.524126878628334181e-01,-9.042543412871484332e-01,1.024464677870094498e+01,9.987657635023397873e+00
9.957007402252066042e-01,-8.668785564014525047e-01,1.181692014856558792e+01,1.181340801506079075e+01
1.325703441506386415e+00,-6.209746484221236873e-01,1.264468660056029492e+01,1.269237019618424434e+01
1.174777088907308586e+00,-7.709080779828831886e-01,1.230113566474862274e+01,1.235375244923785587e+01
1.478267358146259758e+00,-9.170882617345155197e-02,1.273450393212035436e+01,1.271915743204278648e+01
6.785808240643653733e-01,-6.953973547478078387e-01,1.189822954536833421e+01,1.194356102231467531e+01
1.019112071439140337e-02,5.327114703349244973e-01,6.133137319079466465e+01,6.143420508483836073e+01
4.331924521820902374e-01,2.853761906511211865e-01,1.996686710359170647e+01,1.991984207533532114e+01
5.864937957945718372e-01,-4.866685488746991251e-01,1.288803019749219025e+01,1.303465810203405262e+01
1.110678685350678041e+00,8.617297039399274272e-01,1.261844685756172879e+01,1.242293102737963650e+01
7.850085155417101390e-01,-8.148952150249366699e-01,1.158980419306104359e+01,1.146369933968913735e+01
1.318767041683081453e+00,-5.107043182150539096e-01,1.274850955349950077e+01,1.265799505846195849e+01
4.556464079783119070e-01,-2.624306525533337542e-01,1.467376699891804748e+01,1.442932032797049402e+01
9.413543964119137630e-01,7.963711920518758980e-01,1.374470725581692321e+01,1.364473099371364384e+01
1.446982763434801270e-02,1.208275338275068833e-01,2.932629143121272008e+01,2.945112862877635962e+01
1.375737791667934307e+00,3.793440891832420281e-01,1.250785749163999583e+01,1.263201039816525473e+01
1.732063942531436362e+00,3.329124110846406470e-01,1.211692898252537809e+01,1.212666482879799901e+01
1.718728665728175953e+00,7.646120481165314953e-01,1.160035129722058223e+01,1.177245149389437984e+01
1.750619964178422805e+00,-4.422254884464500435e-01,1.274798507047073670e+01,1.277193409246535616e+01
4.003026599834574317e-01,5.651993580867904488e-01,2.364823809434333413e+01,2.359845689868170737e+01
1.963028364373783807e+00,-9.095118901368781650e-01,1.290800056619133329e+01,1.293216364312961453e+01
1.107226410520452786e+00,-5.513206845494564856e-01,1.265391882424583514e+01,1.264020416320944484e+01
3.793037830609369276e-01,-1.771249952980000764e-01,1.586324427975314322e+01,1.593683762580314323e+01
1.911975842852834673e-01,-3.297699076995741496e-01,1.526146818738516586e+01,1.511116312340982581e+01
1.512415975264417289e-01,-8.400905336196426987e-01,1.022107991632261204e+01,1.032102141065573520e+01
1.277564998619746373e+00,8.644531840952338619e-01,1.203319076332651427e+01,1.198723809020766318e+01
1.260890011636943697e+00,4.410340967045194294e-01,1.271255960361001591e+01,1.279809190526104246e+01
1.575648052456158910e+00,-1.542070167295883643e-01,1.268413646719206156e+01,1.253003244700742336e+01
1.320643607092652605e+00,-4.016230698563285628e-01,1.283089872215635197e+01,1.278897285661112271e+01
1.043613176740509019e+00,-8.241284007936566791e-01,1.200528164761416861e+01,1.201308796964918990e+01
3.340150751525792772e-01,6.564845014785607447e-01,2.775375170483021137e+01,2.784389696772532830e+01
1.471602955621037045e+00,-4.739383524540361492e-01,1.277252956019437491e+01,1.265077645327718869e+01
1.808095055876637880e-02,8.919991095570305450e-01,1.437773690155061672e+02,1.439441134410970449e+02
1.324008208918913798e+00,-4.450502579795849734e-01,1.280057114358030645e+01,1.284883749108065842e+01
3.389681748639125081e-01,9.717144729496034472e-01,3.020008169327388003e+01,3.014750415143356932e+01
3.260368759832829033e-01,6.585933759638131768e-01,2.824724739025586473e+01,2.836897759367467131e+01
1.813123044820814656e+00,4.157167834750499225e-01,1.197670099612324890e+01,1.198697209842551104e+01
1.855264909473825163e+00,9.677111075743762836e-01,1.134055966888008271e+01,1.145638936695120513e+01
1.443367974609167881e+00,-3.917124713415165438e-02,1.274684512242352241e+01,1.297915990329819991e+01
4.649404171540544861e-01,-2.994351904747494242e-01,1.434589359794097518e+01,1.442274643570683246e+01
9.440589811128378139e-01,-8.115882366545936755e-01,1.187653309345445685e+01,1.182386514709745384e+01
6.989345395372544845e-01,7.274328946269512652e-01,1.656336502401419608e+01,1.652079428047508003e+01
2.440330506982489323e-01,-7.516391769580457183e-01,1.102145488273182750e+01,1.107971031736967404e+01
4.812641258833991742e-01,-8.449021635764526472e-01,1.085830653567915860e+01,1.088709707738853361e+01
1.253580556246282618e-01,1.623973474758608759e-01,2.633435578377775954e+01,2.625105278742245929e+01
1.944874888843519223e+00,-8.607722574895033674e-01,1.289291627276592678e+01,1.282610532120332891e+01
4.802274145010475559e-01,-7.000745284082712239e-01,1.164323042580810430e+01,1.170980862873632411e+01
7.803893036267993688e-01,-3.959894146669782344e-01,1.315443947050639295e+01,1.338910930759252338e+01
5.007599465742136324e-01,-4.610291393963987794e-01,1.311568454077561796e+01,1.285264780264482454e+01
1.305999630837047620e+00,-7.957188049859889034e-01,1.241596985497088568e+01,1.248836146875315833e+01
1.129433354991925764e+00,-1.181952868211166852e-02,1.328723162085509202e+01,1.326612690255292470e+01
1.533674932246223754e+00,-2.780397636583797905e-01,1.275849765784819567e+01,1.283643412922221394e+01
3.271979514834714997e-02,-1.485569781759739083e-01,2.006999116712350784e+01,2.015676330493003476e+01
4.173039489156928350e-01,3.016326715348178755e-01,2.047425607894007982e+01,2.047953988744393428e+01
1.201488079694363220e+00,-5.076285550410222225e-01,1.274138459802913026e+01,1.263978724332691073e+01
1.157368190994563673e+00,7.066107910431100869e-01,1.269374471192421794e+01,1.255403952257391786e+01
1.650632727286584389e+00,-8.020465207202769342e-01,1.272651036298775296e+01,1.253909249412843607e+01
1.702882605049625964e-01,-2.336622933179561823e-01,1.676990458454496036e+01,1.689213914456845345e+01
7.485934612671896193e-01,3.817615651812071853e-01,1.571594657431326958e+01,1.569497633773756995e+01
8.134747174099803413e-01,2.427268818140784212e-01,1.492723358155395985e+01,1.487320608481810424e+01
1.030923574339232429e+00,4.189545185736796018e-01,1.362632551105007650e+01,1.359855356996743758e+01
7.093441462656162599e-01,8.929115849115729642e-01,1.619381516588381942e+01,1.605986839404416244e+01
1.471992884980005689e+00,-1.895160734337295594e-01,1.277630148681504529e+01,1.280676294476715071e+01
2.175822121920271135e-01,-1.267276606916065695e-01,1.796024864539858967e+01,1.809211879500296760e+01
1.306468320588104193e-01,9.071497016630283294e-01,6.409003325407746843e+01,6.420387931715455920e+01
6.338589617317939018e-01,-5.319386744791043675e-01,1.263399039070161045e+01,1.247741048357883820e+01
1.878430331284799693e-01,-8.064849147498782678e-01,1.053432351996939786e+01,1.067067470835029219e+01
7.908985083829742635e-01,4.015282558423665105e-01,1.532250628354331035e+01,1.524608259407067656e+01
1.161076568189565394e+00,6.806560068197724522e-01,1.272054921492676449e+01,1.252925398840248761e+01
1.775373708369003822e-01,-4.886324520951021988e-01,1.341237323794126013e+01,1.328942601440019899e+01
9.249938196571776405e-01,-8.830891535395051228e-01,1.163811646881318218e+01,1.154146505768867748e+01
1.115082100471625370e+00,3.525894200470180984e-01,1.328982209457883812e+01,1.328912731054483487e+01
1.133433179556910808e+00,7.634779639611843916e-01,1.269688072325398487e+01,1.259368317595536091e+01
7.010339565477351209e-02,7.368258283941884201e-01,6.966960032873328146e+01,6.951857578265529014e+01
1.548736240328012936e+00,-7.576141461665266696e-01,1.267520696535121338e+01,1.264875756183808342e+01
1.446768880032698767e+00,-2.641903406058498938e-01,1.280666106018467687e+01,1.299905145446403409e+01
6.010522451648501185e-01,6.310312320534006147e-02,1.601802806750890795e+01,1.594779297927004791e+01
9.479774066027524260e-01,-8.485109003376933856e-01,1.177971598055198399e+01,1.182614133209695773e+01
1.480971940102996376e+00,-3.980951995954946643e-01,1.278678730839815891e+01,1.279478199152110562e+01
1.669808714288172347e+00,-2.786727564750983710e-01,1.269679695976035205e+01,1.296260373117980969e+01
5.029556717164093138e-01,-5.171051595003155477e-01,1.275395029808431069e+01,1.256412448211836264e+01
1.543955871781953260e+00,-3.550524468648230680e-02,1.263816867094412366e+01,1.274770683566562113e+01
8.541547554447924684e-01,6.833700776351281370e-02,1.435650140063324542e+01,1.422836290105323442e+01
1.906789371193706062e+00,2.506320290336785384e-01,1.212365911573764521e+01,1.206441759033563166e+01
1.757947335082665097e+00,6.589154907306558062e-01,1.171323920387181694e+01,1.170357103853247516e+01
7.224031309850655891e-01,-3.848137733995200538e-01,1.326496437237218196e+01,1.358357299255198569e+01
7.260667033027170536e-01,1.158956883347668221e-01,1.525903948926960751e+01,1.518273895824127528e+01
9.768133641838145920e-01,-7.012013067368219055e-01,1.222415081680989957e+01,1.203526240548506543e+01
1.921683145378672464e+00,1.671271166178169842e-01,1.220697875224718487e+01,1.233671511228130768e+01
2.965212769838909135e-01,-7.461826426229682951e-01,1.112714451611096145e+01,1.104322090527795197e+01
1.102313520359662347e+00,3.986052207446695306e-01,1.330824117414877783e+01,1.328394613877970798e+01
1.298944401342279731e+00,-5.886254909239359012e-01,1.266734902309421607e+01,1.266494484079979088e+01
1.442909598104937796e+00,-1.162460385888661740e-01,1.278009260901361444e+01,1.278979148757170314e+01
1.435585529686492778e-01,8.123247187865683117e-01,5.457707548755736582e+01,5.456006162472167631e+01
1.202637482083503739e+00,-6.099708559512635464e-01,1.259553327960819935e+01,1.262230892320560471e+01
9.063776585293907839e-01,-7.481867043624201852e-01,1.200364658992466893e+01,1.204238255014824333e+01
6.854396161477293026e-01,4.655327783218399240e-01,1.660075695966632736e+01,1.668614924148812051e+01
1.941366133337492750e+00,1.813820210765690888e-01,1.218595020957970476e+01,1.214322689598973781e+01
2.209979524429843412e-01,7.538789801765675147e-01,3.906552162449797549e+01,3.899064861016248784e+01
1.420296647118428401e+00,-6.967397232418861552e-01,1.262876073990729786e+01,1.252240571204059272e+01
4.166773199974374009e-01,9.230195640804033097e-01,2.497670613102056336e+01,2.503597702103748190e+01
1.896723556052501536e+00,2.635061174361053027e-01,1.211322746773844905e+01,1.210859765321883685e+01
1.005625972595344031e+00,8.851814633422894207e-01,1.313009575441266463e+01,1.318541621155544874e+01
9.122413067384478325e-01,-6.242443109416755398e-01,1.238054517798229881e+01,1.243436480216388595e+01
5.045183432236265419e-01,7.232423830256375918e-01,2.093812879171438013e+01,2.110671648504984077e+01
1.072220990748327774e+00,2.749644673620861290e-01,1.350049703096080833e+01,1.352124754051751232e+01
1.730014622521576895e+00,1.399316132854169226e-01,1.232956629460978526e+01,1.240480342627879118e+01
1.534258296109392017e-01,8.031109373171962940e-01,5.184749581050925116e+01,5.172723682787977140e+01
1.319870738489827389e+00,7.840221518507826115e-01,1.206274551437406828e+01,1.195471534675507286e+01
3.016432300527589483e-01,8.668379267789185771e-01,3.266035005600952701e+01,3.262917628142908910e+01
4.578902432378038623e-01,8.330168321689028765e-01,2.287990715383538998e+01,2.275823538625394349e+01
1.709166470290203854e+00,-1.556785051729505653e-01,1.260395251607150868e+01,1.267291183785062358e+01
1.538204104295299579e-01,1.379792232551924069e-01,2.466445853473395999e+01,2.453115325590652773e+01
1.466025057571579415e+00,7.855417764310661521e-01,1.179082819590923314e+01,1.179766649778280474e+01
1.251277162755927153e-01,-6.803816584693935798e-01,1.152283664021704013e+01,1.127702707806708027e+01
1.023991119281288276e+00,-9.288608804645921424e-01,1.171415446721192133e+01,1.160367649487138664e+01
1.250780895127235892e+00,-6.561061033868578196e-01,1.255805334199341061e+01,1.252414980836651637e+01
3.025270879578623728e-01,-3.601675037303131433e-02,1.826530555686846569e+01,1.823940158818194490e+01
1.606198091155894403e+00,-5.216644513226273983e-01,1.276715497807099986e+01,1.258799040373437172e+01
4.498114521624813067e-01,9.910796126960441654e-02,1.789941240731011973e+01,1.791027931521936623e+01
9.566081467364500046e-01,-4.234973248667375234e-01,1.294031783276040848e+01,1.303780423563073754e+01
4.881596104733390007e-01,-5.172124410402385575e-01,1.276090712654060333e+01,1.282573116706436345e+01
1.529535985597363812e+00,-4.877042585175574985e-01,1.276802129301677091e+01,1.270216298657297926e+01
5.097712263961622359e-01,-5.817244279954385533e-01,1.235652432113264432e+01,1.229779463731579092e+01
5.317433710681768178e-01,9.837140429440422995e-01,2.015969274928047028e+01,2.004106272111052434e+01
3.423178582009397952e-02,-2.604198680093416929e-01,1.760490610461918237e+01,1.766788490408037759e+01
1.800676820371166054e+00,-3.649608656278300334e-01,1.270368127565724237e+01,1.284784715943243860e+01
7.685795588621628649e-02,-9.033821058624191824e-01,9.597655958170307144e+00,9.545060410620255453e+00
6.360270308164610586e-01,-1.219131882053625660e-01,1.477659466216668172e+01,1.460681285547190456e+01
1.297544252791048791e+00,4.945830012927467934e-01,1.254706225115239171e+01,1.256706267541288113e+01
6.708506102906945934e-01,-5.899040212105697290e-01,1.236320098397631995e+01,1.243397792638697297e+01
1.198440138783702258e+00,8.969207586539402755e-01,1.221035691004383672e+01,1.193814452507132806e+01
7.354840974994369951e-01,4.477216598550317617e-01,1.595082626505511847e+01,1.596466186901833595e+01
1.761102734953179150e+00,5.986559690253316912e-01,1.178468460945563834e+01,1.200112330742372180e+01
3.263686404217012171e-01,1.544318193691649466e-01,2.059031795467882375e+01,2.067238271562179364e+01
4.663675805356223142e-02,6.585472900772184612e-01,6.771238500624478718e+01,6.776743088633703849e+01
2.084030072925994459e-01,-6.350841228833137286e-01,1.193884015954894195e+01,1.197905228728144778e+01
1.052744153679776362e+00,-1.004911681531961420e-02,1.348951411575556136e+01,1.359570399788502826e+01
1.188614712243354354e+00,-9.385795935537541990e-01,1.200805812161086905e+01,1.191394139623017523e+01
1.669466608565094656e+00,1.118523623247673626e-01,1.240224556923509880e+01,1.231771178899139940e+01
1.909749483978386175e+00,-3.154272357954810424e-01,1.264891285292211620e+01,1.268966978381152977e+01
8.085958055010789014e-01,1.220348261324333272e-01,1.472462431216429835e+01,1.465609137771526171e+01
1.649153397171479130e+00,7.593867574955646127e-01,1.164459766406132779e+01,1.167046790608280737e+01
8.162877962301890999e-01,-1.787021471770651182e-01,1.385318409276142937e+01,1.366192784439838981e+01
7.476074776543288891e-01,9.995917195563985835e-02,1.505735969446042333e+01,1.513315516083188683e+01
2.740616332378275066e-01,9.378947795703465040e-01,3.627231550409596395e+01,3.635701264531594745e+01
1.738620233191251474e+00,1.908745957495994183e-01,1.227038874362552434e+01,1.227475653383524978e+01
6.788534549923612715e-01,6.574811724464064699e-01,1.689725086168899182e+01,1.691369315580380217e+01
1.296915291214903565e+00,3.844753717110338531e-01,1.268043519698523447e+01,1.284250030555555888e+01
1.039159303013339253e+00,-5.810289203346017395e-01,1.256752916827067246e+01,1.245921970548247160e+01
1.993706674613847651e+00,8.242943237891080521e-01,1.150599978883107610e+01,1.141468412320255332e+01
5.187116246265047748e-01,-2.863475644679172039e-01,1.425516660337819808e+01,1.414578597398665316e+01
1.107482304742687607e+00,7.210476189446655138e-01,1.288310579936548095e+01,1.284063278223992555e+01
1.581368191671745471e+00,-1.149804385178820887e-01,1.265752985529161911e+01,1.255641486319078126e+01
3.902511892993712483e-01,-5.383692221204112727e-01,1.266877457510518745e+01,1.267247942282408069e+01
1.648115864287817978e+00,2.767656111690082188e-01,1.224610532546007313e+01,1.218103164486016432e+01
1.120757767321220122e+00,-5.701268158647596618e-01,1.262399685432556495e+01,1.247908194236002721e+01
2.160029480782674205e-01,4.341859086968293813e-01,3.021581407347197157e+01,3.006079629985449841e+01
1.936432967162123653e+00,-9.234556870138157514e-01,1.289429941016597780e+01,1.301546512085412033e+01
8.295846166595293170e-01,2.221054818199978964e-01,1.478003944936172331e+01,1.477315156756636938e+01
9.560583037104433135e-01,4.319039009973193455e-01,1.404608702319334057e+01,1.402335324075988332e+01
1.571079943489065656e+00,-5.762322721744397303e-01,1.275603802717957258e+01,1.275869498571987393e+01
1.929628211512077307e+00,-8.760345930878035148e-01,1.288723122951282285e+01,1.287899501792840873e+01
4.986216672500063396e-01,2.434850183663408441e-01,1.841098373853019154e+01,1.848659503208842736e+01
2.809693217614320782e-01,8.619542904609271972e-01,3.457962307391507295e+01,3.463584897673459295e+01
1.492014481648634705e+00,8.683923123885504136e-01,1.163456234838212389e+01,1.157559157374673653e+01
1.357304640707682086e+00,-5.481413439486633177e-01,1.272319556869739898e+01,1.264084286297607029e+01
8.985758809654197377e-01,9.432147674566342399e-01,1.379719649836754947e+01,1.368852441951143994e+01
1.298737729586330714e+00,-6.389480135813085937e-01,1.261026538756291693e+01,1.248515225794175798e+01
1.888858461472608496e+00,2.379056155231284997e-02,1.236404326600683667e+01,1.250425783001387181e+01
1.685402846996039816e+00,-6.754652065190331900e-01,1.277483624519410021e+01,1.268318232172765825e+01
1.140757229531749406e+00,5.687081179513544527e-01,1.296501977659244531e+01,1.276311519723827992e+01
1.818167270019411585e+00,8.498967992675949823e-01,1.147203226410620402e+01,1.138768381792045048e+01
1.826693828925488594e+00,-3.498137227104729519e-01,1.268945565737143077e+01,1.261061948794026222e+01
1.544599689656605657e+00,9.141879889592643416e-01,1.151414076208785708e+01,1.154712592350383638e+01
2.459363015840388966e-01,3.270249998876217923e-01,2.605958616560884877e+01,2.597098790703030957e+01
1.127800752161777220e+00,4.895887572469515003e-01,1.311492751979184312e+01,1.316840282649551064e+01
1.218461108327455023e+00,5.665290695204439064e-01,1.268246895913392436e+01,1.272132165659408010e+01
1.759876226664295107e+00,9.062090647821765543e-01,1.141541890073890109e+01,1.154210185254239640e+01
1.037297499870192485e+00,3.304683360657909574e-01,1.363774041378280444e+01,1.385443972169015758e+01
1.229053653807414159e+00,3.470644221500394089e-01,1.290363309607472253e+01,1.318852350858781541e+01
1.433176148458652488e+00,-4.775392657819770292e-01,1.277267929595073781e+01,1.290776276023901481e+01
1.769038744268631169e-01,8.339622817771050745e-01,4.848283861302684272e+01,4.836686858089917962e+01
1.221224580094923962e-01,5.352271860578479146e-01,4.220105046863314158e+01,4.216063052933299105e+01
7.049167458672166153e-02,8.855130969313564915e-01,8.996734581603891456e+01,8.999211043034004831e+01
2.226025722220142666e-01,2.694399994946976573e-01,2.563492782444719609e+01,2.584174057484682763e+01
5.184134510747832048e-01,-5.369810980305897985e-01,1.262537376047188076e+01,1.269303579373159785e+01
1.062897141328711798e-01,2.802207154449565252e-01,3.137477789632374581e+01,3.149511513678402608e+01
1.196928223163340688e+00,1.084678295239833723e-01,1.313122439816424247e+01,1.311382921000306290e+01
1.148855476723228408e+00,-6.408052493804952121e-01,1.251182868605082987e+01,1.257085713568189611e+01
9.160300042267784937e-01,-3.840590464083417643e-01,1.307018665785985689e+01,1.314200588345688026e+01
2.780921374799845414e-02,9.452230559500125473e-01,1.498652492245981591e+02,1.498196183750518458e+02
1.043173694702738352e+00,9.714611982565575232e-01,1.273105056953020764e+01,1.280878336589564270e+01
2.614735601406303900e-01,7.264961834833982834e-02,2.058883182847105076e+01,2.069591288784367578e+01
2.016030230082645203e-02,-2.433107152546947205e-01,1.810976757012397442e+01,1.809393099664839255e+01
1.594492506865008652e+00,4.395032594629533218e-01,1.210550815644109868e+01,1.220732280985298068e+01
1.822199492791274134e+00,-9.275726452158099544e-01,1.281815874923973553e+01,1.298295422027174695e+01
