c,p,I_signal,b,lambda,lambda_noisy
7.263519672432417806e+00,2.580647849705163324e-02,7.525026215989685241e+00,3.167133780873959026e+00,5.960451816263797470e-02,7.749611627002706005e-02
1.222814916480881386e+01,7.216353149142040735e-02,6.374483635283205274e+00,3.261138466514734713e+00,1.916198044031004188e-01,1.883733930143067781e-01
2.654773127096002128e+01,2.389888789239310307e-01,9.822728681519789617e+00,5.386837064939153930e-01,6.220887103106345073e-01,6.101130323102380570e-01
1.068566018801171680e+01,9.053820124931656610e-02,3.088645674268867047e+00,4.843077079861012102e+00,1.858328544881918676e-01,1.844396809683833405e-01
1.442937911807539741e+01,2.130466822199494625e-01,7.219422752272826926e+00,7.488960789490523018e-01,4.186341275302132847e-01,4.264018748074623333e-01
1.494219897856040191e+01,1.106980778414903832e-01,6.126115231067458922e+00,2.730565067617691355e+00,2.738443950256699844e-01,2.599150620653903343e-01
1.041790216597307328e+01,1.853021508825680452e-01,1.330075180496773646e+00,4.986759341085027941e+00,2.006497832551141502e-01,2.005071236436312132e-01
2.380807325001321573e+01,2.989061259646732527e-01,2.205149629179516957e+00,1.377330370424056483e+00,4.964583878427721864e-01,4.825602628800443883e-01
2.589975099419255855e+00,2.389623727596981162e-01,9.950716343129867525e+00,1.734805411261391317e+00,1.044993473297382292e-01,1.163748090449832351e-01
7.551394676165779529e+00,1.131098939180110452e-01,6.731453498645102229e+00,3.782028982766587166e+00,1.495731534930350715e-01,1.509518824213615107e-01
2.492747100568506724e+01,1.871005352135204219e-02,3.596510947289484061e+00,3.875398603264422981e+00,1.489595513783129044e-01,1.445327028351789389e-01
1.887390939872175366e+01,2.085263994586801506e-01,1.414701387567494084e+00,1.233671555811319820e+00,4.585500535755903107e-01,4.687249183194010516e-01
1.584292006373107142e+01,1.470293094730635297e-01,2.467304131329925099e+00,3.731829823381140443e+00,2.958348083204029311e-01,2.827686957244246457e-01
1.171573094912328372e+01,2.840236334272419616e-01,6.885179914302085535e+00,1.947852547968063508e+00,3.252582067332899785e-01,3.211413387972325006e-01
4.774047726992938223e+00,2.376687972313982489e-01,3.106588210900499192e+00,3.619221548305868286e+00,1.197871748764459676e-01,1.380623605465270132e-01
1.424674496689757142e+01,1.844123999278361459e-01,4.588762487408155621e+00,3.045283358757079561e+00,2.859640868203721098e-01,2.845334230157314237e-01
2.962573979855873674e+01,1.732812373559041719e-01,9.940766194915015674e+00,3.100220831709781244e+00,4.587165972666623626e-01,4.720922065752364838e-01
1.825756576810626797e+01,2.040068029460477272e-01,9.541330515177440574e+00,3.615873206207549817e+00,3.286875551962871178e-01,3.304449146995017683e-01
1.772080117150616374e+01,1.885607330362311096e-01,9.831545327945210744e+00,6.642585648660237485e-01,4.618351700193339404e-01,4.546389204024866015e-01
2.971343896373417337e+01,6.755070345249360175e-02,2.368189103417066566e+00,3.306664929528308594e+00,4.213777974017822725e-01,4.187155836906414907e-01
2.667669802740644869e+01,2.519719739263817093e-01,1.849512189032667120e+00,2.510975866468752482e+00,4.470114882676747836e-01,4.475808286833387051e-01
2.997678023007529191e+01,9.272238911509697590e-02,2.978495960167097945e+00,2.376314930875446763e+00,4.609470653588373379e-01,4.566469282024083198e-01
2.865536684728716921e+01,5.608498230711874560e-02,3.412119909476015955e+00,4.086743159994663088e+00,3.400527388707715315e-01,3.316057215731691432e-01
2.035740870041934869e+01,1.076994163475410993e-01,4.251392041878455430e+00,1.327153780453666609e+00,3.813121918928345511e-01,3.732882751118630771e-01
9.854053616153228390e+00,1.680182502850199044e-01,9.834913478189854175e+00,1.492594970480010108e+00,2.699036131376071346e-01,2.548589337699701529e-01
1.921615216278753380e+01,1.175501190512024396e-01,6.074943297987090318e+00,4.782325683027718100e+00,2.820081530404894843e-01,2.828991857398780452e-01
1.109808523859942930e+01,2.385037494344656103e-02,1.658492563120845809e+00,6.943147361878759805e-01,1.075233743458663682e-01,1.112441827949147699e-01
2.451231639296547726e+01,1.752676498579164577e-01,5.847851076787652147e+00,5.943256591554857415e-01,5.295464012625433758e-01,5.368194002830306566e-01
4.981713371196888396e+00,2.235427314344829719e-01,8.908153134477501567e+00,2.877976541548183498e+00,1.409722882077562023e-01,1.226964257504468692e-01
1.441384367087738383e+01,2.738996914780855163e-01,1.915743391204641766e+00,2.108864871348349990e+00,3.376110225174796531e-01,3.454496997327738406e-01
2.538250464225970404e+01,7.662923088761272941e-03,2.085724024603046178e+00,4.009975701603107900e+00,7.789669168413285161e-02,7.750563095654779133e-02
1.418085050720093854e+01,8.932837725119413541e-02,4.643450133230473398e+00,2.667880991915139166e+00,2.497549230807341869e-01,2.352487635620617301e-01
1.842951763317654468e+01,6.358305704353711674e-02,6.046617767355849438e+00,1.488895568792453217e-01,2.878527487825608966e-01,2.886110999070419791e-01
3.850205201555807477e+00,1.375809852978045755e-01,6.189548317071851713e+00,3.292725963944832301e+00,9.543240259544757964e-02,1.033583507070783697e-01
9.268044520236903949e+00,4.023229891561733162e-02,6.509743514776124229e+00,4.808949895330426827e+00,1.012484352375283836e-01,1.062526425493534321e-01
2.868007163194379316e+01,1.306030960926820583e-01,8.843443796453811956e+00,2.433174942464315649e+00,4.530892341914738997e-01,4.601225065677973514e-01
2.005124681464225844e+01,1.976432062169785064e-01,4.883236968145697077e+00,1.028492501121768932e+00,4.635407575597286778e-01,4.727741019107941645e-01
1.158323589302358236e+01,5.645041161236453997e-02,2.272504878144943952e+00,2.952464382588617653e+00,1.899409100193996669e-01,1.986804825679991671e-01
1.598955410300891700e+01,2.313327357581700383e-01,2.555601233934923222e+00,1.936697489448024889e-01,4.910234978029743846e-01,4.904489973144836035e-01
2.347118876587104097e+01,2.165859249681426069e-02,2.085519659697701034e+00,1.555225523624641948e+00,1.838198766912409465e-01,1.627775706062954686e-01
2.383664014845905399e+01,1.421875156699120568e-01,5.563158110769267140e+00,1.885513376854108358e+00,4.287868053850794059e-01,4.209744896608479392e-01
2.501107023039280364e+01,1.897337706948603042e-01,8.072699758595330621e+00,4.046557427275368823e+00,3.753323587154763219e-01,3.786783200992955845e-01
9.399637685128880094e+00,2.737947788682354444e-01,5.525596056830925029e+00,3.048254702934564797e+00,2.253512472162055857e-01,2.204425190024610626e-01
7.910872225144630399e+00,1.071683441739973569e-01,3.254148223269648366e-01,1.014281515334776618e+00,2.391089163635048975e-01,2.457527384465942877e-01
1.951674599247854403e+01,2.024785890556562648e-02,2.093878742340693488e-01,4.685580355496077321e-01,1.738780748852407909e-01,1.816462559350750239e-01
1.628881877389109434e+01,2.441277198685049277e-01,5.471719774220851207e-01,3.826647777936406314e+00,2.835100308282562098e-01,2.837835869415477608e-01
1.738171579344378159e+01,2.638589389704238397e-01,4.339533602535902368e+00,2.837651530269305056e+00,3.392435237842790219e-01,3.578353948079601721e-01
7.223832627917559535e+00,1.319204474201475796e-01,5.900882900601867931e+00,1.894480802603928815e+00,1.840841801920011789e-01,1.741288507764864324e-01
1.024009971679661923e+01,2.404313429368494515e-01,4.124395454982606068e+00,3.951708605471604407e+00,2.024189975698778565e-01,2.115295808958161106e-01
2.280954223642223155e+01,2.703577258684655149e-01,8.472154253149826175e+00,3.855038817709455223e+00,3.646004063530458583e-01,3.596745463185131997e-01
1.139137445896060008e+01,3.920208425248566247e-02,8.265191082409042878e+00,1.482993783136863364e+00,1.302398617599959119e-01,1.222351986188847384e-01
2.296708096787653020e+01,2.643811325627501430e-01,2.642655779246764425e+00,4.918420652685412620e+00,2.977233890297189545e-01,3.034115417289691141e-01
2.352695221960616312e+00,3.995234433615789393e-03,6.677093692458106133e+00,8.187713167349808252e-01,3.470280368496554083e-03,-2.885857325023132459e-03
2.857511921143252209e+01,1.210465240668722048e-01,3.651798380310811165e+00,1.653338102571657586e+00,4.810060025186064236e-01,4.893988923357675547e-01
7.034118121977753546e+00,1.303159473938342583e-01,3.810066352460484751e+00,4.079082514779375224e-01,2.151513598608385536e-01,2.032884229886563199e-01
1.486802135847481843e+01,2.351793657375111923e-01,7.724779552138922867e+00,2.955868725993672008e+00,3.135563594337505977e-01,3.137121987743095586e-01
2.770567234373414323e+01,2.705875840362746976e-01,4.154648996672161143e-01,7.508068689637731330e-01,5.858844854332636576e-01,5.772551862102285325e-01
8.350910796518110857e+00,2.828712287687540905e-01,2.312988182586914743e+00,4.745357222595853131e+00,1.489229468733115347e-01,1.463781662771493908e-01
7.594143904896271557e+00,1.969948799277277118e-01,4.712693076656516489e+00,7.416494652679345156e-01,2.660743066861825934e-01,2.621601932696825399e-01
2.958358047203834573e+01,2.725506300726290854e-01,8.643231691366180414e+00,2.322729514759207525e+00,5.057417469382380348e-01,4.942620531272045592e-01
2.722847484939959628e+01,2.402640209679224315e-01,6.867926510558920228e+00,1.158903323139893082e+00,5.616765650543676935e-01,5.680393617173856713e-01
1.643513971935441376e+01,2.489142812251622650e-02,7.844999710812353477e+00,4.111263789473825980e+00,1.187487249740907802e-01,1.061062895620827062e-01
2.769636406710112908e+00,2.581233087471207499e-01,9.051506126118392004e+00,3.848989017362296927e+00,7.130660817318451583e-02,6.131571250362526093e-02
1.853539253805656628e+01,9.732120725130907757e-02,7.712702503693322775e+00,2.803838572097927528e-02,3.700900705587351069e-01,3.788175822453576647e-01
8.295767439724484049e+00,1.518185134065052067e-01,4.767462578411062246e+00,3.577971060430016337e+00,1.777940161003778441e-01,1.873414196104558338e-01
7.206303801244485108e+00,2.412616738992300405e-02,2.454414649290828976e+00,4.342957112415631649e+00,6.344878402133180550e-02,6.994323677473959777e-02
2.803214806350730015e+01,2.134291882577855626e-01,1.133396105549566713e+00,1.080634808755424059e+00,5.837824708692687103e-01,5.870028767790252955e-01
1.896327402430164710e+01,1.732646859228488545e-01,3.670484812944576625e+00,6.303200208384829306e-01,4.574256057371564599e-01,4.800283310732290643e-01
1.387714622433062495e+01,1.743957435661958322e-01,2.594875012002400894e+00,8.977477070710376816e-01,3.759019002203388693e-01,3.636278460957207415e-01
2.817106898984246488e+00,2.039765205060645736e-01,8.916490825069370629e+00,2.910474267525159142e+00,8.511466855399499321e-02,7.750478674059629869e-02
1.177702055948730298e+01,1.416803021823287434e-01,5.314848191624523821e+00,2.317194083130659887e+00,2.596971728078549257e-01,2.495843982675906014e-01
2.605551134307398797e+01,6.005154356684331424e-02,9.515525885123569338e+00,4.843682042968783463e+00,2.874391945743101640e-01,2.962537828987979460e-01
9.777612196116214349e+00,1.061167494497283342e-01,2.115993554223315698e+00,2.262661142937110181e+00,2.302736873070514445e-01,2.329837867762935277e-01
1.036103391899641579e+01,8.175036626138472429e-02,4.856637983622562160e+00,1.778257849309654581e+00,1.990474759674085437e-01,2.099873352941250548e-01
1.859882593753096458e+01,6.433956647096536474e-02,8.341271915273496873e+00,1.108085549221076604e+00,2.751112270854020880e-01,2.846688504079338267e-01
8.312079679995271420e+00,4.009407778175871906e-02,5.173610574451243060e+00,4.553105414954957020e+00,9.426856471715924779e-02,9.185231513936129022e-02
1.715110812147796793e+01,8.358451305739912629e-02,9.522710091649727815e+00,2.799503473207058057e+00,2.698596005465965786e-01,2.615056338618235166e-01
2.329179348084320011e+01,9.694878890379109160e-02,1.859490842276416700e+00,7.555896442091003529e-01,4.745678251032956485e-01,4.644833254502443443e-01
9.313539522978388163e+00,2.130604651031490215e-01,6.073809681487159828e+00,1.909177871681497773e+00,2.613240913801492260e-01,2.832808284964134504e-01
1.470977525304906308e+01,2.735060936718519131e-01,9.797535018633180215e+00,4.621434322629353053e-01,4.953385460193411305e-01,5.048567794894188721e-01
1.771175276239454632e+01,7.458734406299429021e-02,1.044378127037161041e+00,3.759029456869776631e+00,3.354690282292364656e-01,3.412443483211398121e-01
1.153661035191294815e+01,1.708606708018886033e-01,6.011874425809649480e+00,6.614486468489028104e-01,3.347467874421720668e-01,3.312034830219695580e-01
7.484932862083521599e+00,2.181402285775860539e-01,2.516185884911531723e+00,2.965200400490657806e+00,1.909158408567867560e-01,1.887818591491705056e-01
4.317654143507451359e+00,7.663774853976286494e-02,9.986602529991770894e+00,1.995593409217191638e+00,8.734319864557009427e-02,8.375227728793781246e-02
1.739902997066010215e+01,1.469547906211533250e-01,1.984440079410598745e-01,5.790062838598114547e-01,4.728818358489660922e-01,4.694939875633867832e-01
2.818544731825534555e+01,2.687004830850346915e-01,4.610767818234329241e-02,3.727482277642617081e+00,3.610441796983985818e-01,3.368591860123834603e-01
1.544219872716020348e+00,2.243177527753026368e-01,5.892752576402381592e+00,1.035138072747745053e+00,7.546289826055400940e-02,7.470090409424104405e-02
2.610424039423422471e+01,1.140923206179744326e-01,1.502345889328928763e+00,1.728488792696492027e+00,5.161905350632821632e-01,5.122191983959408779e-01
2.891172019704828600e+01,1.352063974264921808e-01,4.610711952157934945e+00,4.552577989590699481e+00,3.833938130222630525e-01,3.861433762549342230e-01
1.672746854304027408e+01,1.165816166165857676e-01,9.392516734032710701e+00,4.504732910740055551e+00,2.618504673082803214e-01,2.637988629399755647e-01
2.906862029498857680e+01,1.361859888084738235e-01,6.207632529306721381e+00,2.142200706061667681e+00,4.664970154843758321e-01,4.748841954176308278e-01
2.143869065900761228e+01,2.432445943299484936e-01,3.026233543182349273e+00,4.482780016129344069e+00,3.053337552906663643e-01,3.050572624863403526e-01
1.681153103285113914e+01,6.098353082711360090e-02,3.086253724593252201e+00,4.130990906106427829e+00,2.398701824540296901e-01,2.476945003767987152e-01
1.444657551895483572e+01,1.721486188013476304e-01,3.679644931324083323e+00,4.748162668287646326e+00,2.382038932466710168e-01,2.124494630317838306e-01
1.452557120107700506e+01,1.125966471726782409e-01,3.556925707098097522e+00,9.292463164453906854e-01,3.248425054703074633e-01,3.136857346245641165e-01
2.077790508514972601e+01,2.012789580589455507e-01,7.518440508689971047e+00,4.242721437624919822e+00,3.267603244877800295e-01,3.438747524584060411e-01
7.800655694502558468e+00,1.712895136939890650e-01,5.199435810551820580e+00,1.685353886829949577e+00,2.219368605466082167e-01,2.096016715694282440e-01
2.174663261060445762e+01,5.591720073382733594e-03,8.903123212189690605e+00,4.843984339173671216e+00,4.156490391119962990e-02,3.863185622094746086e-02
1.523870237379674819e+01,2.360506672853028842e-01,2.328452280022972332e+00,9.632365542513621204e-02,4.914999790389714684e-01,4.984260143899174045e-01
2.056520433760746513e+01,1.722889567943411970e-01,7.864063891332437883e+00,1.228365450869578490e-01,5.142094176103484404e-01,5.052422215962288909e-01
2.828499076195496897e+01,1.283586494023022384e-01,2.760470492721624147e+00,1.538296455007652774e+00,5.058791174392756052e-01,5.129628623911832719e-01
7.770156771968891540e+00,1.614286344068188023e-02,5.162557269057879594e+00,3.184698984090692520e+00,4.329468383353447108e-02,2.887211937366913200e-02
1.269354003536956554e+01,1.884142971786601992e-02,6.240504796348966821e+00,2.891250334212436712e+00,7.766907727642732850e-02,5.839401543909791825e-02
8.979643740281474606e+00,2.594560663215742524e-01,4.923925465009286739e+00,4.414691586242604160e+00,1.719630752059488066e-01,1.585285521931435737e-01
2.527616026796815962e+00,1.772862597391936523e-01,5.171994556815773691e+00,6.516678387510677073e-01,1.078499947736500653e-01,9.117132063367364148e-02
1.904060150830245135e+01,1.312549507803287829e-01,4.020095291158705564e+00,1.566053810744339359e+00,3.818851060608111636e-01,3.815665123128734182e-01
1.922708043521813792e+01,2.633337562454883818e-01,6.975400530942835964e+00,9.467915301156726304e-01,5.042109295543678593e-01,5.008915362250223602e-01
2.998291465409499423e+01,1.347205679325445826e-01,4.680253186101007046e+00,4.180427552090185017e+00,4.031627382997383657e-01,4.063055142141815401e-01
1.842978020840655873e+01,7.833091629108715134e-03,2.151705125417788800e+00,9.280019073365547433e-01,5.927530620069537681e-02,4.877636149983100022e-02
1.248708741565476288e+01,2.016327195346479806e-01,9.857834555228793150e+00,4.881267881145755716e+00,2.172975844857901739e-01,2.425851582001132545e-01
2.713360286082304285e+01,1.566485875844777498e-01,8.567548904061174753e+00,1.222295586296876513e+00,5.126046986760721680e-01,5.115084903927968885e-01
1.446145314638663359e+00,1.910718501266630842e-01,7.464933552285202278e-01,3.517476863115559738e+00,4.863394914322133333e-02,4.803477525618340960e-02
9.778502108063452880e+00,1.573392493432667349e-01,2.992088434208738157e+00,4.555024296925008764e-01,3.030290924813680009e-01,3.074456938408213769e-01
2.280594236921374574e+01,6.076724432225210498e-02,6.317474429327397445e+00,5.833061978799419789e-01,3.196430511071425284e-01,3.170670535704298021e-01
5.683123392128550222e+00,1.218934617391957548e-01,5.603425950978210501e+00,2.137730904881263161e+00,1.435757991878114648e-01,1.371205913482201333e-01
1.147584328020429290e+01,2.294632982483095218e-01,1.939711869696795210e+00,1.338205846717503533e+00,3.368603381206084491e-01,3.375783235540616434e-01
2.562284546018267406e+01,1.666224441540795354e-01,3.355042516409749709e+00,4.673783470196161360e+00,3.550378951756282819e-01,3.640856709764973553e-01
1.099556483100874793e+01,1.993456661765919402e-01,2.053598119780495335e+00,4.755912508975703723e+00,2.013147296424147581e-01,2.078323201633051898e-01
8.045860559097135933e+00,2.395269403336751646e-01,5.171689089536746220e-01,3.312890973766520641e+00,1.948628587779950849e-01,2.041436623167006137e-01
2.682705978014463710e+01,2.330311972097092454e-01,9.130166844740699617e+00,2.790476365806991321e+00,4.550476763774872202e-01,4.492698693952463795e-01
3.245098952963961558e+00,8.672495443204027155e-02,4.012297920585855771e+00,5.291012344819506774e-01,8.535414753873273030e-02,7.747113042123718318e-02
2.584406241114085034e+01,9.634041903083830072e-02,6.485263326470225298e-01,3.093830215421877750e+00,5.011553410261733177e-01,5.210670117561865267e-01
1.014615390452673438e+01,9.430599746570754449e-02,4.587200929273327787e+00,1.134618287000908055e+00,2.215371052160060306e-01,2.190182075639870163e-01
7.025756797482550553e+00,1.185191780706196241e-01,4.861332924366213781e+00,3.209157096772340623e+00,1.531384657366476054e-01,1.577954031961769643e-01
1.514848412873368311e+01,2.201884553446383785e-01,7.596826937615183795e+00,2.240552914263393980e+00,3.478392668763117257e-01,3.550984852650682089e-01
1.501912532782438170e+01,2.611569123984930907e-01,5.244604220929431015e+00,1.785625098483766271e+00,3.752725023140016658e-01,3.893575258336918199e-01
2.897621263044898754e+01,3.680128229657717021e-02,6.729289052953938643e+00,1.021442602978102521e+00,2.718152860182672104e-01,2.581830036834184550e-01
2.282263628666296640e+01,9.015570432712312343e-02,1.438106484001152596e+00,3.127421808139859039e+00,4.215509831191987522e-01,4.166302908268067484e-01
1.434355057293710622e+01,2.020277486599164063e-01,6.079015598360932415e+00,7.056445679887979328e-01,4.085883562200681718e-01,4.041354231699155752e-01
1.722399720195434725e+01,1.612485916868686142e-01,4.703105806550372137e+00,3.032211808055853552e+00,3.193551052599244988e-01,3.162242983841323518e-01
1.023267974678888592e+01,2.358220735509497235e-01,7.966973446368275091e+00,4.758078473051884139e+00,1.873676450465868171e-01,1.631252938938397290e-01
2.949892617769752334e+01,1.779591659967711126e-01,9.733085152545848828e+00,2.468224598089005628e+00,4.877827550850339366e-01,4.867067941360658234e-01
1.219222529041928915e+01,2.684865321251653225e-01,5.828104887920754429e+00,2.996291514747508877e+00,2.722259957635214667e-01,2.431742630947665851e-01
2.668499338241132435e+01,2.290285880995517886e-01,3.566038182608373130e+00,2.911061397340926060e+00,4.220140933655877613e-01,4.248850273445698433e-01
2.002623838491302521e+01,1.352940237450590832e-01,1.802046182819564413e+00,2.753396129162679173e+00,3.956228255265691884e-01,4.008913026792729761e-01
2.756817810066083041e+01,1.328726167500640931e-01,5.431060783078545118e-01,2.459242353412629978e+00,5.470278899843779019e-01,5.529021133850987590e-01
1.128246215973339339e+01,6.219742331349382286e-02,6.156428129593016774e-01,4.388073164045244390e+00,2.172624346590884548e-01,2.051116180206340178e-01
1.308419637153295056e+01,2.435258434493415280e-01,2.991295721085122317e+00,2.301520146835933645e+00,3.081522068530637148e-01,3.176026850366224230e-01
1.171048192977689340e+01,2.858157075288558224e-01,6.744335859829730495e+00,3.102291948562494461e+00,2.646671410382192557e-01,2.559280683467228257e-01
2.498424172784019248e+01,2.698363352450948716e-01,6.678250314446980695e+00,1.451691520674687652e+00,5.243208936507408602e-01,5.119526221256068821e-01
2.864056019344778292e+01,1.707117876970465908e-01,1.631731256097963545e+00,3.706387990962636714e+00,4.545347301985602773e-01,4.446364404657592861e-01
2.491251063390581777e+01,2.625920693279407692e-01,1.168406429462864882e+00,2.974293179460067993e+00,4.032734130911821424e-01,3.947030304762396136e-01
1.409121690322962195e+01,1.422190147981750377e-02,6.774985415780189868e+00,3.542498340652585398e+00,6.600758705739714904e-02,6.764268144084190082e-02
2.504380509541372035e+01,9.613857870212916268e-02,5.875823785122902265e-01,2.098290456305585305e+00,5.155146851731715607e-01,5.236747922137209299e-01
2.217540470021350885e+01,1.898603190803838797e-02,8.740404207367634015e+00,4.161049062798872988e+00,1.239592042719566134e-01,1.028586438172438416e-01
1.605486389185546869e+01,1.566460546261227160e-01,6.116820384313708558e+00,8.734619211433841679e-01,3.878298036820876926e-01,3.823370333054624814e-01
6.321355278311266090e+00,2.375078613892840640e-02,4.505090079907184020e+00,2.186472625509516821e+00,5.177640718446767376e-02,6.071612369739102372e-02
7.898257069947685949e+00,1.609687436685855733e-01,7.369485815517724525e+00,1.525261139692590806e-02,2.735907411065267025e-01,2.755526905341671440e-01
2.140916340201342649e+01,3.964774236729703277e-02,2.201511561361801927e+00,4.464791896924173997e+00,2.473225229589089136e-01,2.523402558535784435e-01
6.763442802284647115e+00,2.665312464429082651e-01,6.265526761781883280e+00,1.870891056016063647e+00,2.236208005032882806e-01,2.085740908074534827e-01
1.725003355395297788e+01,2.491296711103226369e-01,9.648635476690786916e+00,3.177158687381729685e+00,3.403953835430726382e-01,3.498827576744437118e-01
2.432147251806824073e+01,1.164703080244177819e-01,1.234834384968149790e+00,3.415670082364430371e-01,5.562461520648485092e-01,5.405567103198667400e-01
1.996304424385067477e+01,1.982630860439618670e-01,4.514024011868706054e+00,3.444819252181806846e+00,3.383108226820986109e-01,3.402115373223901229e-01
1.868291579838817995e+01,1.986789371482631517e-01,4.103123316563412004e+00,4.089721311985685226e+00,3.007947328173024015e-01,3.144073067261823340e-01
8.474267537781583925e+00,1.753113416674074998e-01,9.301326206631010507e+00,3.832650048434082635e+00,1.796601187988081105e-01,1.984536226972777595e-01
4.478143089781815078e+00,2.656053846133769603e-01,9.901079632401259545e+00,2.754527590446920193e-02,2.510466074893191735e-01,2.561619729897822717e-01
1.983385642656275927e+00,1.969269630920743586e-01,5.854314056621653606e+00,9.145994450605332560e-01,8.907104769140165856e-02,9.788073971098457116e-02
2.343862713483103377e+00,1.297048751894783747e-01,2.524769306289462723e+00,3.769868922552627843e+00,6.250643029705983678e-02,5.644311395534226672e-02
7.721111355395291476e+00,1.121590122876074958e-01,6.490004652461091261e+00,2.996937343913045559e+00,1.629906996588171009e-01,1.581762583364579311e-01
1.717279769405287482e+01,6.094051088741485322e-02,7.698338925844994129e-01,4.287720002781211903e+00,3.046783893898786788e-01,3.163726231037544134e-01
1.328672757362027035e+01,1.132309012598325601e-02,2.880216463771213320e+00,5.921417145446011832e-01,5.816559455628722564e-02,5.818165838101186510e-02
6.918868994259449678e+00,7.969165667752170501e-02,3.782817144650076902e+00,2.251190155852338837e+00,1.408079274908323186e-01,1.395347892522223465e-01
9.777927021656179107e+00,1.807997848394733431e-01,9.071373271723274456e+00,2.652781188616053054e+00,2.351066446557833478e-01,2.210010636539126161e-01
1.437628743188125924e+01,2.222820353510649716e-01,4.471812148269281195e+00,3.873034755277026342e+00,2.601885986008549145e-01,2.616945083798023486e-01
2.416932466722052197e+01,1.572689078777563193e-03,7.200833079381379953e+00,2.259420075287382979e+00,1.381569590576368391e-02,2.027432997659006642e-02
2.002194531800224908e+01,2.854277797353656498e-01,8.712669294264868469e+00,2.573218310765912786e+00,4.041768000209981504e-01,3.962351052685936792e-01
2.186260394476915891e+00,2.743153923802434946e-01,3.548689518312748703e+00,3.569063255267177937e+00,6.186295035062136516e-02,5.679215212613402536e-02
1.496405088592944921e+01,1.917381043853141065e-01,4.191175803340741801e+00,3.444884098295203145e+00,2.816424418157281728e-01,2.974470077759371334e-01
6.393917084995328182e+00,2.909635012382227326e-01,2.257313512928704746e+00,3.433173760138720887e+00,1.535482360729624185e-01,1.553308975644510370e-01
2.579015316371390654e+01,1.703835674726109084e-02,2.125704061955929980e+00,3.261797759519226680e+00,1.597987304090763561e-01,1.569127939532263261e-01
2.666222277925314188e+01,7.552114044780194879e-02,6.032243765097629051e+00,1.894253456694703797e+00,3.744733273296476095e-01,3.631034994362542512e-01
1.708527662228108568e+01,3.059810870412415715e-02,9.367839493880188328e+00,1.109566842497264894e+00,1.526746736714767461e-01,1.464788833586662675e-01
2.235583323199531591e+01,2.205083996646083344e-01,5.077369063062864285e+00,6.314331930658712011e-01,5.352541996197729413e-01,5.327542371093578755e-01
2.091664907297107590e+01,2.688875691896191467e-01,7.045367719373074600e-01,2.792451159514875325e+00,3.679394188690802148e-01,3.816306973812174097e-01
2.468821116783724889e+01,2.868521530303004274e-01,3.618873346490695475e+00,2.451970088907202694e+00,4.274418388925900203e-01,4.213368919107675636e-01
9.085656585544471753e+00,1.865789959624093164e-01,5.251203955866445838e+00,2.187318139992988630e-01,3.180174171548998951e-01,3.359607748295604379e-01
7.649361109922519830e+00,1.236839933628990501e-01,9.457980245374134398e+00,2.769186184407974594e+00,1.706218456691901419e-01,1.613349674996815142e-01
2.264296261280473388e+01,3.689986246865128300e-02,9.532225314813052464e+00,1.129817675493588469e-01,2.275684752667705424e-01,2.239926072185099981e-01
2.881337585672143220e+01,5.886024520160729190e-02,3.869568810595542807e+00,1.258549371147796858e+00,3.791900013849341944e-01,3.876254378640433540e-01
7.664716862283329490e+00,1.110352623450820142e-01,2.229842045234668113e+00,3.593781046079090657e+00,1.723437229039570806e-01,1.699417735926062600e-01
1.746544552265680039e+01,6.927867754538701017e-02,9.560845021159080304e+00,3.341249768516003193e+00,2.436696017736876829e-01,2.353669813496816199e-01
1.678236586342399761e+01,2.925617301228679024e-01,6.663050984661548881e+00,1.172022083005583859e+00,4.624957885940714220e-01,4.611773544792546753e-01
1.183318847845813870e+01,6.390872811971075318e-02,7.501170027907022586e-01,4.717548573442212678e+00,2.246581956746761533e-01,2.291453206089654748e-01
2.275689581532677508e+01,1.259590896288450418e-02,3.883662517809570502e+00,1.271954428592175779e+00,9.990844639099080715e-02,8.275110424250031738e-02
4.821224082599309568e+00,4.775552936904087220e-02,4.888293987623695713e+00,9.745510616024910533e-02,7.692745393118292918e-02,7.444209047369622356e-02
1.178153514101467358e+01,1.021260266519648241e-02,4.363151661820029226e+00,4.622862201191527021e+00,4.269562788760451755e-02,4.160226164308806346e-02
1.350094962917979302e+01,9.585148432207722669e-03,3.644257709212317398e-01,9.490622950535360092e-01,6.160327995785074701e-02,5.756580235859408423e-02
2.863699360002911476e+01,3.893077130631635019e-02,1.850700754723036967e+00,4.706006098595227449e+00,3.210025586318462354e-01,3.283561192956361285e-01
2.084480992101677188e+01,2.350622052446230403e-01,3.433788530406046924e+00,4.470545859458161075e+00,3.025303570663253616e-01,2.968448353711666265e-01
2.161780748007717534e+01,2.075023030865044693e-01,8.771287611394840145e-01,4.680068273957878944e+00,3.370959221628366254e-01,3.334507736769732889e-01
2.999394316448958264e+01,2.347802729586659365e-02,4.432378322727474007e+00,1.387132648261027335e+00,2.087105995386622226e-01,2.090870254122874916e-01
7.576582445859148862e+00,1.546004158092590119e-01,3.633539676348304326e+00,8.171109473871790430e-01,2.369341422181978352e-01,2.442226331613524259e-01
1.850227233972154650e+01,1.670159754014525766e-01,1.967219264350228425e-01,1.507841908880757753e+00,4.489514850409194180e-01,4.467398588644423407e-01
4.122189177109172320e+00,2.504695082580469245e-01,8.030734123983933159e+00,4.089220368128387406e+00,9.671242669128003733e-02,1.118783994002976040e-01
