m,r,omega,theta_tilt,F,F_noisy
3.778512563002434543e+00,4.730920567628075779e-01,1.027556047299324860e+01,7.594037631898317153e-01,4.378139943618381835e+02,4.366571099378684266e+02
1.087909861072473117e+00,1.814157422187571367e+00,1.841195560141789755e+01,7.128079506134969989e-01,1.699415414816323846e+03,1.700630109164009127e+03
1.969034456772194019e+00,1.861071199154495037e+00,1.398399364121333921e+00,1.027367805772173348e+00,-1.186034256355216421e+00,-6.489615124290972759e-01
4.751170500193723889e+00,4.494628155007509562e-01,1.758272973628133684e+01,4.800353341380797501e-01,2.702480087854149133e+03,2.699987933324810911e+03
4.847095794031810456e+00,1.061795761164420204e+00,1.273634695286356688e+01,3.510205231150289595e-01,3.019858766368230135e+03,3.020993526308408036e+03
4.965749434110471761e+00,1.990704540028852776e+00,1.660016955519798643e+01,9.494105519784765690e-01,5.559049518786939007e+04,5.559424335055275151e+04
6.913662524972190582e-01,1.473092445297782493e+00,6.917133142946523705e+00,2.317538017252700200e-01,1.169095909052777671e+02,1.193036994634183401e+02
4.219289460103320621e+00,9.293545825842111086e-01,1.380416142582092043e+01,1.254427114560138501e-01,2.550381211028317011e+03,2.552363425923684190e+03
4.708741131473943575e+00,5.090338445236481935e-01,1.566202750296031532e+01,5.417625618122006159e-01,2.047997374211471424e+03,2.048037730068514065e+03
4.558749980248597566e+00,1.974568120371769098e+00,1.907816350762235302e+01,1.176199743119836549e+00,1.036456222603031929e+05,1.036475895230924798e+05
3.717235865662764205e+00,1.297424628071118358e+00,1.994801517873624874e+01,9.017625081658037223e-01,2.312124314961399432e+04,2.311931088397405620e+04
3.540287042995503342e+00,8.983397376560571246e-01,8.941055845658176793e+00,6.829109013034974085e-01,5.504979321092240525e+02,5.519999613832301293e+02
3.738229774197738831e+00,6.500640082947151122e-01,7.968333445817331828e+00,9.880977505487074097e-01,3.313388202992852030e+02,3.311643234603229189e+02
3.086986181661552031e+00,1.892840250693973436e+00,1.856811016630953759e+01,2.601431177731924893e-01,2.197024796671224976e+04,2.197250977810800759e+04
4.047890359294923357e+00,1.373847693002369086e+00,1.996475404259528474e+01,1.192102984816122646e+00,3.520813560276914359e+04,3.520906762387166236e+04
2.758683217102916974e+00,2.154604139479906477e-01,1.708599312331281794e+01,1.041904962078899599e+00,4.689664109663749514e+02,4.667866513949502405e+02
1.516718749510527653e+00,1.345449956851469064e+00,1.755514968517243801e+01,3.677079772377057632e-01,1.653006130439487151e+03,1.653262116346434141e+03
9.245706124017509797e-01,1.590654471675077897e+00,1.729366178147007815e+01,5.450558248172719944e-01,9.559447449797739864e+02,9.583811879193975756e+02
4.587150754860675583e+00,1.103246412918575059e+00,1.144430799745212468e+01,2.672611192803480695e-01,1.943718174758888381e+03,1.941459706988754760e+03
3.896955416313888865e+00,4.290748413785477888e-01,1.403110280692613365e+01,1.169722201597875433e+00,8.649265387574000670e+02,8.638082590010307058e+02
1.297588710921543820e+00,8.718994437735747560e-01,1.429593721777105131e+01,5.494096292039698515e-01,5.081984245660785291e+02,5.066610785493030562e+02
4.201062247955400508e+00,1.062895802646284915e+00,1.515997425113303620e+01,3.361784226491528749e-01,4.699483721228565628e+03,4.696492429347674260e+03
1.851560388158798531e+00,1.173295088931749275e+00,1.158291871084848879e+01,9.232744289389983594e-01,6.238870887941038745e+02,6.258096253446432229e+02
3.360447374488690464e+00,3.777521726133904467e-01,2.332981642110912190e+00,1.084903113484380732e+00,-1.365793410609466818e+01,-1.103593950012261438e+01
2.102687859869143860e+00,8.133876818031375855e-01,1.615000145465140946e+01,4.388924693955801315e-01,1.119059592174603495e+03,1.120659678588717497e+03
1.463733888487893431e+00,1.064283542363956059e+00,1.045658169953031269e+01,7.667275851221967420e-01,3.720389521708509619e+02,3.725240928017254873e+02
1.290239437022651980e+00,6.193943861810169427e-01,1.562212292672668035e+00,9.532939652445211465e-01,-6.105200300707879890e+00,-6.209263069336794949e+00
8.192763983498342339e-01,2.949566919409051802e-01,1.268560198500917835e+01,1.063326093949681583e+00,9.300944340920426612e+01,9.348820401025358251e+01
8.349735037759635770e-01,3.485567768840017733e-01,9.354759843839055122e+00,8.444220623631074618e-01,5.886882281088054469e+01,5.740571097669838707e+01
8.109059482966196608e-01,1.116564054282403351e+00,1.392029091090067539e+01,9.104353089548543609e-01,3.803145252203891005e+02,3.821022164212924395e+02
9.046344498681724300e-01,2.280028993499824963e-01,2.382319050623403545e+00,1.047085095079552497e+00,-5.066094168003451692e+00,-2.975109519926681045e+00
4.253131800500245419e+00,4.360661621814466704e-01,8.167300478077386572e+00,9.122750210913487257e-01,2.733518211443436030e+02,2.752169082123514272e+02
2.830137464823556215e+00,7.344546224690633451e-01,1.825630369134189479e+01,5.492405615068454150e-01,2.369820864358945983e+03,2.368758967923508408e+03
1.078628066597612012e+00,8.875549147104395686e-01,1.161416512317746630e+01,9.170801362934174472e-01,2.917976654712099389e+02,2.919544741551035258e+02
2.862475919972644167e+00,9.890184337394956060e-01,3.147187022221297426e+00,2.574950080420627119e-01,5.707277696137853695e+01,5.674121532341982999e+01
2.941834106993399089e+00,9.380552889947673112e-01,1.705206110101555339e+01,2.884632574351144729e-01,2.889362628686164044e+03,2.892939778262098571e+03
2.734664157248782423e+00,3.289933246919198861e-01,1.805692025565382153e+01,1.958459226485075866e-01,8.211993953915557540e+02,8.215587877954009173e+02
1.429188640776186237e+00,1.825425586399275657e+00,1.904553165833820216e+01,8.618714739500142885e-01,3.202570874886767797e+03,3.198806733098906989e+03
2.454790492510387168e+00,1.731642403037214839e+00,1.830893543606293861e+01,1.175839168808598068e+00,8.548966449185338206e+03,8.549763460486999975e+03
4.418854041062211913e+00,9.195683722999301590e-01,4.511663610007870417e+00,1.000175077461185336e-01,1.853421174818406030e+02,1.891066499799825635e+02
2.226809650032834043e+00,1.806575115183743696e+00,1.605119475323219547e+01,2.947501771378620017e-01,3.942151099412015810e+03,3.943521450844461015e+03
2.767933593104735301e+00,1.770427099258484072e+00,1.653040605501316662e+01,9.612114193366705361e-01,7.239749620203108861e+03,7.241508579623201513e+03
4.686090795837571044e+00,1.787367141710205276e+00,8.114194676934275208e+00,3.056019116356211152e-01,1.297051118892028171e+03,1.297123241425726064e+03
1.547606290749873548e+00,6.515929764826228210e-01,1.039713412396629622e+00,2.567866934454845484e-01,-1.557808634241840684e+00,-5.500587606612207026e+00
3.764784590628073691e+00,1.112277899865970143e+00,5.847546542963686811e+00,7.412497548826397775e-01,2.916191177271913944e+02,2.879986022190855124e+02
2.677286005267581093e+00,1.947224603986240199e+00,1.967833094350953616e+01,5.427659744205131087e-01,2.177058304760804458e+04,2.176809115205857233e+04
4.043155609848387400e+00,1.138709602082390138e+00,2.496686152650494428e+00,2.509574778915021342e-01,5.428713473077035445e+01,5.403347065669090199e+01
2.118530816716031495e+00,1.694460772971684737e+00,1.947277482866162046e+01,3.574785189701475963e-01,7.648770167831360595e+03,7.649390164824343628e+03
2.940613766932719475e+00,1.172537598362423328e+00,4.044001901040702229e+00,1.457713339762983229e-01,1.257851748276345916e+02,1.271640031319136313e+02
2.157286746431697821e+00,1.796232364086677302e+00,1.981658018699276269e+00,1.118102422038189214e+00,1.433966255856415373e+01,1.365874647303470724e+01
4.397671582038327642e+00,1.121722813661588658e+00,5.189335225255550910e+00,4.249060648738632873e-01,2.746245925576916989e+02,2.765384510745138869e+02
4.616680503463642893e+00,1.592431636997427180e+00,3.415897503104750932e+00,1.181459218328835270e+00,1.449659904028766277e+02,1.444064928861173769e+02
3.343195777343413333e+00,4.069307884166565303e-01,5.935722168344521599e+00,9.585282584067862377e-01,9.249878621779214427e+01,9.108980718709806013e+01
4.914591064082692640e+00,1.274244730988898899e+00,5.356337382648191259e+00,9.111480848119399845e-01,3.429914953470977252e+02,3.446947787779875512e+02
3.794250568585318284e+00,2.520591224594347368e-01,4.906768044938811357e+00,1.118368101720230712e-01,5.272652766743775743e+01,5.089763770122941366e+01
4.236907693857038915e+00,1.289129124049386510e+00,1.008549586483906069e+01,5.810404219912118640e-01,1.395371543845022188e+03,1.389913373983380097e+03
4.526242924378663268e+00,1.325366167277117313e+00,1.141825221241953514e+01,7.520081420576357756e-01,2.461764757017331249e+03,2.459644843499435410e+03
1.723575927947541109e+00,1.869626813699783341e+00,2.089011120993001569e+00,4.486928615132697029e-01,2.362960958248879706e+01,2.381792867349459186e+01
4.940050686426991078e+00,4.939466935261881408e-01,1.391800913455089983e+01,4.625797831474578459e-01,1.434039829161127045e+03,1.427879473643027723e+03
2.256863105042666628e+00,1.879310826578441063e+00,3.841002816705049838e+00,4.448935852908720845e-01,1.318478213256827303e+02,1.311335452333255773e+02
2.737456447171332741e+00,1.802247725556384905e+00,1.782189461297259214e+01,1.882204063710081199e-01,1.088644130889169537e+04,1.088577712817416977e+04
1.311456792483485900e+00,1.214535828443763066e+00,2.310453266884107570e+00,4.578825973817387540e-01,1.322880125047365141e+01,1.037588931253509372e+01
4.196654532514882519e+00,3.328745660740384249e-01,1.671916304110356322e+01,1.180143119297347054e+00,1.211882508948671102e+03,1.208917502019475478e+03
2.016039320110357025e+00,1.876807815536056356e+00,1.449136748622199811e+01,1.118824018121466146e+00,2.298695143800817277e+03,2.297770219904618898e+03
3.602050004681754736e+00,1.199193739706822637e+00,1.859206860494873581e+01,4.342667381445141084e-01,1.153367347929072457e+04,1.153257927895145440e+04
1.482600176907406198e+00,6.677020716893461438e-01,2.837655121687494120e+00,8.366604559901418270e-01,7.327884761906283018e+00,9.847721780689557391e+00
2.081133772498082735e+00,1.205207827439335411e+00,2.508173675987063866e+00,9.331810227841976779e-01,1.897429199424894719e+01,1.972401808451454741e+01
2.229100188273080541e+00,1.033261972604907042e+00,1.529861224107263062e+01,2.351265743458642865e-01,1.400474683819264101e+03,1.397312972928252975e+03
1.564807972710708039e+00,3.737340865693061787e-01,1.232410006280833237e+01,9.684318036169425881e-01,2.126796358888597354e+02,2.109703329491862576e+02
6.577854893113483925e-01,1.093912675883963015e+00,7.940711183208332358e+00,8.747826338028011905e-01,1.069948974724854196e+02,1.084051805267294810e+02
3.965940122437520809e+00,2.887709586639814474e-01,2.205622259619586245e+00,5.115066367851517359e-01,-6.608210145515556633e+00,-2.816256607599749717e+00
4.776595983755056452e+00,3.537320093908066787e-01,2.035314654797484746e+00,4.589116800348643777e-01,-5.241834671553421643e+00,-4.468835684064972114e+00
1.518115359003237907e+00,1.602506553738425321e+00,1.036258623147338298e+01,3.685793323636562535e-01,5.486703244204103385e+02,5.492917495097293568e+02
1.231931142368184906e+00,9.944759075199836040e-01,8.435513275142277223e+00,3.530817491055495694e-01,2.045581410820390147e+02,2.082796460103830327e+02
2.064218789100099816e+00,1.941326349683830887e+00,3.813768241318657992e+00,1.002628250868632831e+00,1.150688742358722720e+02,1.150235313478342363e+02
8.724470073337067255e-01,1.568123158177868293e+00,2.211165652341967824e+00,7.582755029985868145e-01,8.927431085572365532e+00,8.309229168902898977e+00
3.423797940934578232e+00,5.234427219626934802e-01,3.183231280139013020e+00,6.165863461873001272e-01,2.260560118373502547e+01,1.977910361915169091e+01
2.158486336398244720e+00,1.245631584740705566e+00,1.138652578295730144e+01,7.386927194868618818e-01,7.587748807008389349e+02,7.577488485363835480e+02
3.031153494200661491e+00,1.697999667503872212e+00,7.667153401962540471e+00,7.098477298986066719e-01,6.153735666381269311e+02,6.197309921233232899e+02
4.576324938642344797e+00,6.406797490516025206e-01,1.826318291945948502e+01,8.970275664989812991e-01,5.310421665006870171e+03,5.307578182221892348e+03
4.377106980022771765e+00,1.065887782998805600e+00,7.065116159294579923e+00,6.848456432634483226e-01,4.798918030601038254e+02,4.799141864737302967e+02
4.647545865711403046e+00,1.928028831969835544e+00,1.840517836822732622e+00,9.135462629767334697e-01,2.966142709567291291e+01,2.684477223976828242e+01
4.707759725471258427e+00,9.110233719612370606e-01,6.099958666864063517e+00,2.596461198665421799e-01,3.435263412860058452e+02,3.437832927821093563e+02
3.154187120389241983e+00,9.038168560239201454e-01,7.135562559427332197e+00,3.173268470454589929e-01,3.205979112971471068e+02,3.223732057040513723e+02
2.760351286383277980e+00,7.562545361641708208e-01,1.344442902396385620e+01,3.548364482665697928e-01,9.173021171773534661e+02,9.168148185377270920e+02
6.692682453668135079e-01,1.612191058024718293e+00,8.760676099435800168e+00,9.067492079840104857e-01,1.914898849745823384e+02,1.929505795151813459e+02
9.609859012103523224e-01,1.131948004741710978e+00,2.576770972835001672e+00,9.341985756033359678e-01,8.651452676228439387e+00,1.009314032724611643e+01
2.857655276935684441e+00,8.685632244009664493e-01,2.683324752620954712e+00,1.167850384944612685e+00,1.463969301648750942e+01,1.553374264870133814e+01
4.352037370750224454e+00,1.862413521215277701e+00,1.078839777229886820e+01,7.452385555868873412e-01,3.227438789227127018e+03,3.230871285225959127e+03
2.446855523202793314e+00,1.885229087468750953e+00,1.631246052161118598e+01,2.757257613099995397e-01,5.720650649762688772e+03,5.722208324870684919e+03
5.167821302887454227e-01,1.468576802369137457e+00,1.348022243930073572e+01,5.274433731050433005e-01,3.052478234484215136e+02,3.046379043161528557e+02
1.455363977878264548e+00,5.297650509314344447e-01,1.169009700022911247e+01,1.765314034357868822e-01,2.555845351312023581e+02,2.542228880342181299e+02
3.919866881988959939e+00,1.285455208726703047e+00,1.170206626975226349e+01,1.979819003051628834e-01,1.998478817150491523e+03,1.996788204455482855e+03
1.212880948384000845e+00,6.564869918415799921e-01,1.514167106902476512e+01,1.156511415645747443e+00,4.091007070454866152e+02,4.100524419207566211e+02
1.398093508199310442e+00,1.530024634383736482e+00,1.792858201335875634e+01,1.232498047669983443e-01,1.858566984254960516e+03,1.857919540626460275e+03
1.784912288915517564e+00,1.281072415481640192e+00,1.687723765876076243e+01,6.157474684066189807e-01,1.774766559334681688e+03,1.780224893412690335e+03
3.241775194526608228e+00,1.562702963618868957e+00,1.824353198378154772e+01,5.085577389607451870e-01,1.426542681395570980e+04,1.426911170916694573e+04
4.263824996468343898e+00,1.263303371512480400e+00,1.575896123437588869e+01,6.816962022852253167e-01,8.361634091482994336e+03,8.361205043483982081e+03
1.485026768425633747e+00,1.461843830059431415e+00,6.338076362033893574e+00,6.597016167059902569e-01,1.938667883043285087e+02,1.932085257960025331e+02
3.197605432016559224e+00,1.943143503669268135e+00,8.745111931019772911e+00,1.521782808116055596e-01,1.055625038315204165e+03,1.059005391421836975e+03
2.884732759160079762e+00,1.086026584563949404e+00,1.532351344507058677e+01,9.847869880613346893e-01,2.314812023542593124e+03,2.311045303979983146e+03
2.501888929142666917e+00,1.869536882241498166e+00,3.181625336566572759e+00,7.489579250559751378e-01,8.974184432711354020e+01,8.883874220850331938e+01
3.111892356451008368e+00,8.504635480207753950e-01,1.726721993112526388e+00,6.687712078224984369e-01,-1.746333154078008043e+00,1.551807479127360612e-01
4.163533356076171366e+00,5.714169073709323143e-01,1.704781717155633558e+01,7.647742423050536420e-01,2.632173851219500648e+03,2.630349656077662530e+03
1.478696255053072228e+00,1.993932721457109203e+00,8.571900413594297774e+00,8.293698123352080120e-01,4.452220219918154953e+02,4.442683620456285212e+02
2.737553678957417969e+00,1.401115198476594825e+00,1.521678153104432774e+01,9.443450351168818369e-01,3.081638795883631246e+03,3.080936513551441749e+03
9.406425251575776247e-01,3.334828091535079753e-01,1.404669230465426644e+01,2.372315505880803754e-01,1.557766976648530886e+02,1.570983146578662115e+02
2.809568997809169577e+00,1.786248091342771405e+00,1.717468148177637488e+01,9.049602268233927216e-01,9.361551974800579046e+03,9.361827028570225593e+03
4.059535357941205902e+00,1.496179132092500863e+00,1.988252045112674438e+01,5.592568174134524561e-01,4.335331576465290709e+04,4.335411993947348674e+04
4.993515007932668226e+00,2.286826001318518764e-01,5.992645248988401896e+00,2.455495416616639559e-01,9.348445213184908198e+01,9.467501958221576785e+01
2.640618743386027312e+00,1.098919396473729382e+00,1.002916498042634252e+01,3.938331590912672597e-01,6.362987560942315213e+02,6.363586325505857531e+02
1.834715303148904963e+00,1.999740444743153711e+00,1.140087035597521492e+01,3.515407572812019321e-01,1.055142149470559616e+03,1.057363281867056912e+03
3.107766118627372620e+00,9.340988325703512007e-01,1.631290701953179223e+01,5.060102516603004474e-01,2.683103201271910621e+03,2.681645283529699554e+03
2.172884246647917905e+00,1.904735894851485645e+00,1.872148523162409361e+01,9.291755452632267653e-01,8.618393886084775659e+03,8.615521643093521561e+03
1.026510751038019809e+00,9.894248489141279634e-01,6.286517441484207325e+00,6.995257074453321566e-01,9.155723307144162959e+01,8.800348946181674137e+01
2.860243574137228961e+00,1.644607170382158756e+00,1.135238324102183860e+01,9.563434579121142809e-01,1.512420919960478159e+03,1.509178900402553154e+03
4.096110609526451896e+00,1.755850074088853630e+00,1.937397364383888387e+01,3.647169494222199937e-01,5.795808317330142017e+04,5.795698214184232347e+04
4.510072793179064732e+00,1.255075376410891286e+00,3.561443572543137481e+00,9.579671028103908803e-01,1.243964763484122358e+02,1.264565701349248741e+02
4.901500344651861241e+00,1.124367397181387673e+00,1.404536494999832641e+01,1.510610335148706018e-01,5.272400411052827621e+03,5.272748744567571521e+03
2.154760802863533442e+00,1.601505141367414398e+00,1.278209757249780054e+01,5.420080251251797598e-01,1.367340065245015467e+03,1.366142972025944800e+03
1.632493299116859253e+00,7.929388034955213715e-01,1.382579318006570546e+01,7.534638104836398620e-01,5.496803365347934687e+02,5.475406253487620916e+02
9.986934809583916106e-01,1.064580575128910800e+00,1.591165017243528901e+01,9.839258652126993132e-01,5.738845302819845529e+02,5.728267589793233583e+02
2.463043627847341543e+00,1.018735087032581754e+00,1.887546467916901349e+01,3.874389446426659278e-01,3.480641941677356044e+03,3.479834608906563062e+03
4.131622221111745041e+00,1.735907236087782080e+00,5.510051598548607821e+00,4.780816589851624165e-01,4.275579273903370563e+02,4.264277286085387004e+02
1.555901544310329676e+00,1.858822014208163509e+00,1.331483073082495139e+01,1.623648979538248049e-01,1.169875835695863316e+03,1.167010747054377816e+03
4.323049241298194900e+00,5.184216374766158486e-01,1.987303907488896826e+01,5.930388006473265028e-01,4.705396098871728100e+03,4.704444483229483922e+03
3.702816580184050022e+00,1.737652487984292504e+00,1.658745654275897152e+01,4.800716150568467011e-01,1.564102818958695934e+04,1.564306246185371674e+04
1.404242692367195788e+00,8.278600811854872621e-01,1.128114916367955090e+01,3.317067846151952049e-01,3.372979525706678032e+02,3.329487346874768718e+02
3.342881926126830106e+00,9.870692320537264308e-01,1.960458921017832168e+01,1.097280125893324243e+00,8.141895379360055813e+03,8.141414162015166767e+03
4.188614822570786878e+00,2.992624914796851998e-01,2.027003397206442514e+00,7.357700337819146341e-01,-1.616241663910422233e+01,-2.040511334876927307e+01
4.697916647544380986e+00,1.517335103652807993e+00,1.561774147054268091e+01,6.031384785008034877e-01,1.587365604360677025e+04,1.587402213882792603e+04
1.229966436634644111e+00,1.206691834319340906e+00,5.489462356365670814e+00,5.368860447863468277e-01,1.011401848356175179e+02,9.964520605380090501e+01
4.199068371451216031e+00,8.410258644310295573e-01,1.634588422885434600e+00,8.157441735259087778e-01,-9.514881132051744572e+00,-1.368625646823707598e+01
3.991320895242762568e+00,9.787170149839368172e-01,1.302541876085660277e+01,7.576070585246003075e-01,1.993077075052701048e+03,1.993278479432567792e+03
1.596747382887141908e+00,1.836697994546640844e+00,1.804458605927301917e+01,8.479161083579770386e-01,3.268017669635407401e+03,3.271652480342512263e+03
1.825616348006644074e+00,5.530344846993935359e-01,3.900412994242305587e+00,1.939366021150687180e-01,3.278190665714078023e+01,3.299968972384510835e+01
4.806878145135135227e+00,1.009823759768212925e+00,8.052978496558198529e+00,8.700276611173930474e-01,6.712385972053988326e+02,6.735621801729635081e+02
2.129072260821602391e+00,1.147758582863883214e+00,1.560737665956638764e+01,1.147085890655329843e+00,1.575626660725145030e+03,1.575483651920807233e+03
1.800392473626994727e+00,1.740175361920868635e+00,1.011546723975543571e+01,7.056520662301423163e-01,6.671558617656137358e+02,6.628406801092895648e+02
3.740050036421226132e+00,1.877049848467680526e+00,1.209883663275319954e+01,8.111836356294942485e-01,3.847666440086907642e+03,3.848647407068155644e+03
1.098077047069788037e+00,6.655614007527835829e-01,1.386083869472563102e+01,8.713420692427324976e-01,3.203968529877362812e+02,3.195602943741118338e+02
2.674261924798526646e+00,3.435161761229907906e-01,9.311102870054192238e+00,1.152871544786493452e+00,1.807046914682300098e+02,1.777805216128842574e+02
2.111599068069265783e+00,5.173613538864221262e-01,1.928135635762436095e+01,1.012596622637223387e+00,1.092948546243978853e+03,1.094518219591825073e+03
2.947938543330598016e+00,3.034892052745762903e-01,1.359405532562353791e+01,2.696212905413141736e-01,4.265368766205704674e+02,4.271105917514781254e+02
3.214625647327275626e+00,8.646962520905832061e-01,8.919869153623896096e+00,2.235429304455882615e-01,4.918212379067281290e+02,4.907704186252917680e+02
3.380483542552148890e+00,6.342320997471537769e-01,1.908862310973261600e+01,8.471668940235879131e-01,3.203902413412310580e+03,3.205638552263114889e+03
2.445795761849614447e+00,2.002850049148344191e-01,2.244934711187906551e+00,9.621043871995924590e-01,-1.416886438518831959e+01,-1.591300832077438443e+01
4.491195839393061107e+00,1.741144277364253146e+00,1.638926445401619247e+01,6.039777443808015400e-01,2.609014442927437995e+04,2.609143129395186043e+04
4.260542415637816660e+00,1.778798750457831312e+00,2.091289963998704149e+00,7.084117140202845775e-01,4.525759420465438154e+01,4.337667326616778496e+01
4.700110034264162628e+00,4.676915847193666709e-01,1.107935847156931830e+00,6.943273438221772009e-01,-2.376609202000021881e+01,-2.269818249658806053e+01
2.506575387304617930e+00,6.618465626924108225e-01,4.963483802202739881e+00,2.777544377252481045e-01,9.174507675075754776e+01,8.954358086165890995e+01
3.785386615134360699e+00,1.965435403884732368e+00,1.640178743265724659e+00,9.633451391958169907e-01,1.271489359072707614e+01,1.569326999676929901e+01
2.438131040538228156e+00,1.600289711696650130e+00,2.604185972307359265e+00,6.909724389361991959e-01,4.400287104179308528e+01,4.451148604182489521e+01
1.754522395387921208e+00,1.154957793693455637e+00,5.296387526365813336e+00,2.076932849052417485e-01,1.312215709665975680e+02,1.340873211985837941e+02
3.433489012027643561e+00,8.013335670038610470e-01,8.157976423209234440e+00,4.538656481991505398e-01,4.024263472258830916e+02,4.007814552708433666e+02
4.756942208797838134e+00,1.196792447065493370e+00,1.727062265846043232e+01,8.337793517143975430e-01,1.675340355909289065e+04,1.675245135434695476e+04
4.119385464073384462e+00,1.559322767829785628e+00,1.799036297626361858e+01,6.668046612136343532e-01,2.677419106024919893e+04,2.677587038984622995e+04
1.783407984674078461e+00,4.058626457731628889e-01,1.473826803363338733e+01,5.753888052285226484e-01,3.788011294224369294e+02,3.733136951258182989e+02
1.526475903626917319e+00,4.111873600201267909e-01,8.876254264790393478e+00,5.391768321842106415e-01,1.181868008536595340e+02,1.160532191443650305e+02
3.972404575347201927e+00,3.277389025315959881e-01,1.227751583427696858e+01,3.344600767944497233e-01,5.052832421148536923e+02,5.073495960194170493e+02
3.673078157465555105e+00,6.542437401961662680e-01,1.587781637621749020e+01,1.964217847035709119e-01,1.961260900689845130e+03,1.962191119337633836e+03
4.386207858146601524e+00,1.830412574644855406e+00,7.451460711840198314e+00,1.095778178473722830e+00,9.398353091111764570e+02,9.417928477960120972e+02
1.158627249315024477e+00,3.087309460008513806e-01,1.566567040939285249e+01,7.398648174706708991e-01,2.163080183937894390e+02,2.156884966196199969e+02
4.377556562688109665e+00,1.227672516030323013e+00,8.522341390295139263e+00,7.037146297411628337e-01,8.576674332390487052e+02,8.587954320022549837e+02
2.446814536964370568e+00,1.599398026683094276e+00,3.307122923012220106e+00,8.446873795012205255e-01,7.922238667820735714e+01,7.776069813777371564e+01
1.730054652766494394e+00,8.858260160287634299e-01,1.050424467593563982e+01,1.032363668619305841e+00,3.704536758502032399e+02,3.677097551149584547e+02
2.044600981216829538e+00,1.877117416152916052e+00,1.911146804497755980e+01,7.532138018652945188e-01,7.922549296748224151e+03,7.919159706800791355e+03
4.970767568057348207e+00,9.501304400259615868e-01,1.439558688832082467e+01,1.179918918651345017e+00,4.403825992188037162e+03,4.402722573045975878e+03
4.802144562588479104e+00,1.692477710306398153e+00,1.350378811185317751e+01,6.992225289161390078e-01,9.664573551597302867e+03,9.663475668752453203e+03
8.768571596605442275e-01,4.580155240999413402e-01,3.836920592004706254e+00,3.009652918752471207e-01,1.132483757507997346e+01,1.006608277988654976e+01
1.918348104726902426e+00,1.480894311364656657e+00,9.453186561376528019e+00,1.582845539281897973e-01,5.390853588262652920e+02,5.319877488842694220e+02
3.738105610954106872e+00,6.272471750429398085e-01,5.794731538349237709e+00,1.151950837202511568e+00,1.555424641149364220e+02,1.515452569148633302e+02
6.589630922373004296e-01,9.777835155603891160e-01,9.016152314923562727e+00,8.071361460521941922e-01,1.247802559719018518e+02,1.237149909935149452e+02
6.616564449672333037e-01,1.215756950399311753e+00,1.383290341782572064e+01,8.264841302178175253e-01,3.370312583634916450e+02,3.376052916186867492e+02
7.020063203982456201e-01,1.150374278235400727e+00,2.401183312035843009e+00,9.217502354075914894e-01,4.904300216102605248e+00,3.746714966008513947e+00
4.408001749660330759e+00,1.929199724255887149e+00,1.479356060819511143e+01,4.462701703520302043e-01,1.726573709625239644e+04,1.726398330185169470e+04
2.001795978474432580e+00,1.624045891498925753e+00,1.624306883966793436e+01,9.176451992650896949e-01,2.742432330110635121e+03,2.737815383444331928e+03
1.934329247471803459e+00,3.692481321176135367e-01,1.100991809383187992e+01,4.017014099865779952e-01,2.132839399226725732e+02,2.173269380006244376e+02
4.070047194725677997e+00,1.478784956879608314e+00,5.894647606907853721e+00,7.334384960855788727e-01,4.109277972623000323e+02,4.087255747033661919e+02
1.933548311644709861e+00,5.223042398254258423e-01,6.131700792577459147e+00,3.719816151284639494e-01,8.706691755761835338e+01,9.043371083301654778e+01
3.822938850178506875e+00,8.583057065741299674e-01,1.598071103330582154e+01,5.728471768883902637e-01,3.275536065269766368e+03,3.278657437103753637e+03
2.162033277814490617e+00,2.407918386592169391e-01,1.155664673153153466e+01,1.081642570792183289e+00,1.658771269645062318e+02,1.664249850963080917e+02
1.838836910206243624e+00,4.155830078858728238e-01,3.026920083673587669e+00,1.089336397276875479e+00,7.973110624869228502e-02,-1.065487703876664138e+00
2.242519314329018520e+00,1.494825723054340472e+00,1.680645951969738761e+01,9.193414215532097478e-01,3.431738756679801554e+03,3.432003187742166119e+03
1.256167591730634747e+00,8.280462331115190366e-01,9.952352144927541389e+00,1.165048560630756791e+00,2.346804442237835815e+02,2.323743602757048734e+02
8.375501583832106745e-01,1.938061319048551612e+00,9.457061300082679978e+00,8.736013473087603787e-01,3.151236010538950723e+02,3.156450613072910301e+02
4.420406509266868511e+00,1.176917898703324861e+00,1.857799558987877475e+01,6.700137197573196035e-01,1.997912313392663418e+04,1.997912903822233420e+04
4.407724308940482061e+00,1.687986502254183563e+00,1.678342551742468824e+00,3.849287314499877377e-01,2.908485491876745144e+01,3.014879145466397503e+01
2.573696042885753599e+00,1.986747601299764021e+00,1.489342852040494236e+01,1.185301810188298943e-01,4.695597808768126924e+03,4.697498682465414277e+03
3.597693015760211388e+00,1.961722875043611092e+00,3.940996760896159135e+00,1.107256648890603268e+00,2.028985148975152697e+02,2.063641918723409674e+02
4.381923273180678535e+00,1.079900398138182283e+00,1.739920816409156856e+01,1.188371471197737783e+00,1.085160467171457094e+04,1.085082804004553691e+04
2.258255191539329854e+00,1.240157841884848011e+00,8.153045900042203087e+00,1.214522395498722762e-01,4.053013498179875569e+02,4.073881266535061059e+02
3.703146477915917334e+00,4.467508684466042768e-01,8.346295314221141126e+00,6.490809075148366025e-01,2.635143718820348226e+02,2.619310327207770115e+02
