t,Pr,J,K,N,dPr_dt,dPr_dt_noisy
2.464492898579715874e+00,8.265386802587355586e-01,1.446537136679350299e-01,3.130331498954794234e-02,8.645816593265835959e-01,-5.589596009787478614e-03,-2.350476233473195418e-03
2.472494498899779902e+00,8.264772471427532796e-01,1.446462412817960952e-01,2.647962559461449622e-02,8.642192063121486578e-01,-9.763523699454733362e-03,-2.433050194567167035e-04
2.480496099219843931e+00,8.263824662997891757e-01,1.446255898627173131e-01,2.166265076366203496e-02,8.638572713603125397e-01,-1.392480825085044144e-02,-1.693236677589587263e-02
2.488497699539907959e+00,8.262544400526957711e-01,1.445917916588416174e-01,1.685274361615420741e-02,8.634958628663412794e-01,-1.807316961477327746e-02,-3.705804213883893278e-03
2.496499299859971988e+00,8.260932729357386428e-01,1.445448817294297805e-01,1.205025608741587193e-02,8.631349891348180092e-01,-2.220832963649039399e-02,-2.853527176169151636e-02
2.504500900180036016e+00,8.258990716774740060e-01,1.444848979217430995e-01,7.255538996630325754e-03,8.627746583767751387e-01,-2.633001198859030029e-02,-3.441328900745155295e-02
2.512502500500100044e+00,8.256719452007493798e-01,1.444118808710432300e-01,2.468942046839277260e-03,8.624148787096937996e-01,-3.043794216420878454e-02,-3.410061235271130697e-02
2.520504100820164073e+00,8.254120046227026997e-01,1.443258740005923246e-01,-2.309186175057112433e-03,8.620556581575046229e-01,-3.453184747021734169e-02,-3.567902138988870986e-02
2.528505701140228101e+00,8.251193632537636713e-01,1.442269235195043631e-01,-7.078498194146580665e-03,8.616970046504042191e-01,-3.861145701669577157e-02,-5.262463901768628383e-02
2.536507301460292130e+00,8.247941365448369089e-01,1.441150783009546299e-01,-1.183864735532108581e-02,8.613389260139090453e-01,-4.267650145297336578e-02,-4.302744929426183251e-02
2.544508901780356158e+00,8.244364421368266527e-01,1.439903899687932365e-01,-1.658928787879292155e-02,8.609814299747707844e-01,-4.672671301382892717e-02,-6.340157891822313652e-02
2.552510502100420187e+00,8.240463998099382126e-01,1.438529128039438554e-01,-2.133007482109183783e-02,8.606245241541445878e-01,-5.076182547406828116e-02,-3.684044146861329555e-02
2.560512102420484215e+00,8.236241314428595084e-01,1.437027036606735586e-01,-2.606066394483961754e-02,8.602682160607677542e-01,-5.478157402547229743e-02,-5.559154353954923883e-02
2.568513702740548243e+00,8.231697610127610698e-01,1.435398219665928732e-01,-3.078071171875008255e-02,8.599125130909596182e-01,-5.878569527007484335e-02,-6.520527251703459037e-02
2.576515303060612272e+00,8.226834145952961475e-01,1.433643297226557534e-01,-3.548987531762906600e-02,8.595574225286216619e-01,-6.277392721341300275e-02,-7.185730839624872301e-02
2.584516903380676300e+00,8.221652203646008239e-01,1.431762915031595806e-01,-4.018781262237448165e-02,8.592029515452376254e-01,-6.674600925775119042e-02,-7.059031399983316246e-02
2.592518503700740329e+00,8.216153085715595106e-01,1.429757743827350103e-01,-4.487418210738982477e-02,8.588491071954323930e-01,-7.070168209621294220e-02,-7.293247678051720251e-02
2.600520104020804357e+00,8.210338115457869179e-01,1.427628478750607721e-01,-4.954864261534096259e-02,8.584958964120884550e-01,-7.464068751263804036e-02,-8.508579716875164234e-02
2.608521704340868386e+00,8.204208637263190607e-01,1.425375840379131120e-01,-5.421085354955998414e-02,8.581433260127403484e-01,-7.856276854364088735e-02,-8.776071948186922600e-02
2.616523304660932414e+00,8.197766015779750504e-01,1.423000572516226192e-01,-5.886047466192712019e-02,8.577914026870937514e-01,-8.246766928088011817e-02,-8.433941933149548265e-02
2.624524904980995998e+00,8.191011635885930842e-01,1.420503442110438719e-01,-6.349716604310973178e-02,8.574401329965587459e-01,-8.635513485576790105e-02,-9.156297233372430455e-02
2.632526505301060027e+00,8.183946902690294456e-01,1.417885239255551322e-01,-6.812058812256339968e-02,8.570895233742490404e-01,-9.022491143284433468e-02,-8.083278039606112131e-02
2.640528105621124055e+00,8.176573241531595038e-01,1.415146777190585403e-01,-7.273040166853031452e-02,8.567395801249825249e-01,-9.407674620313394298e-02,-8.269804246067868903e-02
2.648529705941188084e+00,8.168892097978770472e-01,1.412288892299800869e-01,-7.732626778804035927e-02,8.563903094252812709e-01,-9.791038737748974929e-02,-9.775017534149085807e-02
2.656531306261252112e+00,8.160904937548300042e-01,1.409312442754824257e-01,-8.190784778309008474e-02,8.560417173177938821e-01,-1.017255840535238876e-01,-9.698958833297860460e-02
2.664532906581316141e+00,8.152613246098376898e-01,1.406218308502047432e-01,-8.647480297537525618e-02,8.556938097099806573e-01,-1.055220860629025870e-01,-1.188739697991537947e-01
2.672534506901380169e+00,8.144018530060087580e-01,1.403007392622148963e-01,-9.102679489965945225e-02,8.553465923798815318e-01,-1.092996441332869662e-01,-1.029254670389608134e-01
2.680536107221444198e+00,8.135122315512761659e-01,1.399680618218174799e-01,-9.556348510838343080e-02,8.550000709642249230e-01,-1.130580097043841076e-01,-1.133638443995167444e-01
2.688537707541508226e+00,8.125926148170613539e-01,1.396238928364506582e-01,-1.000845351675377221e-01,8.546542509582267799e-01,-1.167969349178203942e-01,-1.119502517583120249e-01
2.696539307861572254e+00,8.116431593382749110e-01,1.392683286106862761e-01,-1.045896066566625870e-01,8.543091377155909161e-01,-1.205161726106937226e-01,-1.045126112947571267e-01
2.704540908181636283e+00,8.106640236133161315e-01,1.389014674462296928e-01,-1.090783611688480870e-01,8.539647364485086767e-01,-1.242154763091222053e-01,-1.470240538725658408e-01
2.712542508501700311e+00,8.096553681040731254e-01,1.385234096419199756e-01,-1.135504603107340138e-01,8.536210522276591606e-01,-1.278946002217911104e-01,-1.252851184312568367e-01
2.720544108821764340e+00,8.086173552359230410e-01,1.381342574937296785e-01,-1.180055657025099319e-01,8.532780899822088871e-01,-1.315532992335000373e-01,-1.425444898651786751e-01
2.728545709141828368e+00,8.075501493700626421e-01,1.377341150738655151e-01,-1.224433388212088497e-01,8.529358544943724807e-01,-1.351913287616180182e-01,-1.292693618475731498e-01
2.736547309461892397e+00,8.064539168790462176e-01,1.373230882897369387e-01,-1.268634408200236263e-01,8.525943503995145889e-01,-1.388084446032999408e-01,-1.519415789775845904e-01
2.744548909781956425e+00,8.053288261533558812e-01,1.369012850859414876e-01,-1.312655327590297738e-01,8.522535821913963527e-01,-1.424044031274808164e-01,-1.473583987975207454e-01
2.752550510102020453e+00,8.041750475046514079e-01,1.364688150303202674e-01,-1.356492754696560776e-01,8.519135542128283278e-01,-1.459789611422148692e-01,-1.439516235846111381e-01
2.760552110422084482e+00,8.029927531650504768e-01,1.360257893101299020e-01,-1.400143295527931930e-01,8.515742706555803343e-01,-1.495318758867549835e-01,-1.433967820224012479e-01
2.768553710742148510e+00,8.017821172871286706e-01,1.355723207320425339e-01,-1.443603553787936311e-01,8.512357355603817899e-01,-1.530629050253383971e-01,-1.523149641319726799e-01
2.776555311062212539e+00,8.005433159439196977e-01,1.351085237221456847e-01,-1.486870130874717311e-01,8.508979528169214879e-01,-1.565718066409844678e-01,-1.645001160308625920e-01
2.784556911382276567e+00,7.992765271289150597e-01,1.346345143259424504e-01,-1.529939625881037990e-01,8.505609261638479301e-01,-1.600583392293061791e-01,-1.655936614064602574e-01
2.792558511702340596e+00,7.979819307560646058e-01,1.341504102083513894e-01,-1.572808635594279414e-01,8.502246591887688831e-01,-1.635222616923363570e-01,-1.546772327798425772e-01
2.800560112022404624e+00,7.966597086596625132e-01,1.336563306529064965e-01,-1.615473754495599934e-01,8.498891553282444944e-01,-1.669633333322875779e-01,-1.670183294891529613e-01
2.808561712342468653e+00,7.953100445676696273e-01,1.331523961570211523e-01,-1.657931573529231595e-01,8.495544178637700616e-01,-1.703813137375260189e-01,-1.872194577059365928e-01
2.816563312662532681e+00,7.939331242485435647e-01,1.326387288230383155e-01,-1.700178678231415164e-01,8.492204499241630122e-01,-1.737759626327694540e-01,-1.653393355500725470e-01
2.824564912982596709e+00,7.925291354414456535e-01,1.321154523520441382e-01,-1.742211650758581365e-01,8.488872544861657543e-01,-1.771470400387708533e-01,-1.729845552416361121e-01
2.832566513302660738e+00,7.910982677761331239e-01,1.315826916411409475e-01,-1.784027070103728907e-01,8.485548343710529462e-01,-1.804943062761477646e-01,-1.717601508236283048e-01
2.840568113622724766e+00,7.896407127729591080e-01,1.310405727834474954e-01,-1.825621512096423649e-01,8.482231922446316075e-01,-1.838175219593858878e-01,-1.871837966231527095e-01
2.848569713942788351e+00,7.881566638428725291e-01,1.304892230680988474e-01,-1.866991549402796657e-01,8.478923306172408969e-01,-1.871164479908703493e-01,-1.788348828066042562e-01
2.856571314262852379e+00,7.866463162874183235e-01,1.299287709802462720e-01,-1.908133751525553645e-01,8.475622518437522235e-01,-1.903908455549483403e-01,-2.010014947549650932e-01
2.864572914582916408e+00,7.851098672987373295e-01,1.293593462010575179e-01,-1.949044684803961647e-01,8.472329581235694684e-01,-1.936404761120217866e-01,-1.879404780033671896e-01
2.872574514902980436e+00,7.835475159595662875e-01,1.287810796077165088e-01,-1.989720912413856235e-01,8.469044515006284302e-01,-1.968651013926753235e-01,-2.017689044889559025e-01
2.880576115223044464e+00,7.819594632432380621e-01,1.281941032734236208e-01,-2.030158994367642078e-01,8.465767338633976014e-01,-2.000644833918396315e-01,-1.933209663426381786e-01
2.888577715543108493e+00,7.803459120060032284e-01,1.275985504022461303e-01,-2.070355487783146486e-01,8.462498069452099037e-01,-2.032383843850447125e-01,-1.931819432208808085e-01
2.896579315863172521e+00,7.787070670009692552e-01,1.269945547785766016e-01,-2.110306947523596932e-01,8.459236723265356472e-01,-2.063865669786331958e-01,-2.137464684987184782e-01
2.904580916183236550e+00,7.770431350769764212e-01,1.263822517040497639e-01,-2.150009920680563680e-01,8.455983314294360786e-01,-2.095087936561195185e-01,-2.100210884511069520e-01
2.912582516503300578e+00,7.753543249839500717e-01,1.257617774298449287e-01,-2.189460951754260698e-01,8.452737855211770457e-01,-2.126048271924073363e-01,-2.122152809278473329e-01
2.920584116823364607e+00,7.736408473329746682e-01,1.251332689519678021e-01,-2.228656583838253824e-01,8.449500357153725272e-01,-2.156744307444407316e-01,-2.037777825660344599e-01
2.928585717143428635e+00,7.719029145962936767e-01,1.244968640112504854e-01,-2.267593358619457711e-01,8.446270829719839668e-01,-2.187173678453690207e-01,-2.116117869316712086e-01
2.936587317463492663e+00,7.701407411073095677e-01,1.238527010933515027e-01,-2.306267816378137769e-01,8.443049280973211612e-01,-2.217334023987619085e-01,-2.339261778388664892e-01
2.944588917783556692e+00,7.683545430605835946e-01,1.232009194287558146e-01,-2.344676495987909337e-01,8.439835717440413720e-01,-2.247222986728762695e-01,-2.201462160657906841e-01
2.952590518103620720e+00,7.665445385118361266e-01,1.225416589927747629e-01,-2.382815934915737954e-01,8.436630144111498808e-01,-2.276838212949769957e-01,-2.202329292011856177e-01
2.960592118423684749e+00,7.647109473779467592e-01,1.218750605055461261e-01,-2.420682669221939920e-01,8.433432564439999890e-01,-2.306177352457131624e-01,-2.093796762864357230e-01
2.968593718743748777e+00,7.628539914369537600e-01,1.212012654320340638e-01,-2.458273233560180349e-01,8.430242980342926851e-01,-2.335238058535515637e-01,-2.503152968210934914e-01
2.976595319063812806e+00,7.609738943280544010e-01,1.205204159820291721e-01,-2.495584161177475391e-01,8.427061392200767553e-01,-2.364017987892698680e-01,-2.417653217886097661e-01
2.984596919383876834e+00,7.590708815033765378e-01,1.198326546923000752e-01,-2.532611988684048132e-01,8.423887798943444638e-01,-2.392514804596721223e-01,-2.259177685787987777e-01
2.992598519703940863e+00,7.571451804521254214e-01,1.191381245767048763e-01,-2.569353251084326994e-01,8.420722198012879911e-01,-2.420726176046360811e-01,-2.556233205907030293e-01
3.000600120024004891e+00,7.551970207001885704e-01,1.184369696885943096e-01,-2.605804476653899582e-01,8.417564585246289921e-01,-2.448649768575999475e-01,-2.568595826968472218e-01
3.008601720344068919e+00,7.532266335824245873e-01,1.177293343764790612e-01,-2.641962197787084410e-01,8.414414955032412102e-01,-2.476283256351418938e-01,-2.424575036813389206e-01
3.016603320664132948e+00,7.512342522409827250e-01,1.170153632763659690e-01,-2.677822951097381665e-01,8.411273300313102386e-01,-2.503624321394087304e-01,-2.401783455306208959e-01
3.024604920984196976e+00,7.492201116253031090e-01,1.162952013117580646e-01,-2.713383277417472095e-01,8.408139612583335198e-01,-2.530670653522807401e-01,-2.597538702260362986e-01
3.032606521304261005e+00,7.471844484921164042e-01,1.155689936936545453e-01,-2.748639721799217561e-01,8.405013881891206795e-01,-2.557419950296117017e-01,-2.503407233066911042e-01
3.040608121624325033e+00,7.451275014054442591e-01,1.148368859205507464e-01,-2.783588833513661043e-01,8.401896096837929706e-01,-2.583869916955451873e-01,-2.572174390012457179e-01
3.048609721944389062e+00,7.430495107365989726e-01,1.140990237784382244e-01,-2.818227166051027743e-01,8.398786244577834958e-01,-2.610018266369093509e-01,-2.458143362967220025e-01
3.056611322264453090e+00,7.409507186641836052e-01,1.133555533408046878e-01,-2.852551277120721762e-01,8.395684310818376517e-01,-2.635862718976920149e-01,-2.636014562947793793e-01
3.064612922584517118e+00,7.388313691740920897e-01,1.126066209686339692e-01,-2.886557728651331090e-01,8.392590279820124621e-01,-2.661401002735974131e-01,-2.562376271539167361e-01
3.072614522904580703e+00,7.366917080595090095e-01,1.118523733104062057e-01,-2.920243086790619835e-01,8.389504134396766899e-01,-2.686630853066857005e-01,-2.776942638998283752e-01
3.080616123224644731e+00,7.345319828590644029e-01,1.110929570448511011e-01,-2.953603927825751430e-01,8.386425856015788938e-01,-2.711550017733831974e-01,-2.730037902680034212e-01
3.088617723544708760e+00,7.323524429953007786e-01,1.103285185960637127e-01,-2.986636842570084549e-01,8.383355424912372067e-01,-2.736156260635608239e-01,-2.745826706011790241e-01
3.096619323864772788e+00,7.301533400216957403e-01,1.095592051194920202e-01,-3.019338413739955929e-01,8.380292819699204365e-01,-2.760447342912389912e-01,-2.646536548163867519e-01
3.104620924184836817e+00,7.279349272059930653e-01,1.087851636786627829e-01,-3.051705237306373553e-01,8.377238017683263926e-01,-2.784421040478601284e-01,-2.726459736526555822e-01
3.112622524504900845e+00,7.256974595094216607e-01,1.080065411887441984e-01,-3.083733923871811999e-01,8.374190994887751316e-01,-2.808075145101141534e-01,-2.883250458230498525e-01
3.120624124824964873e+00,7.234411935866953414e-01,1.072234844165458473e-01,-3.115421098670212441e-01,8.371151726052099562e-01,-2.831407464337923341e-01,-2.763210687969929746e-01
3.128625725145028902e+00,7.211663877860129412e-01,1.064361399805187347e-01,-3.146763401566982088e-01,8.368120184631968606e-01,-2.854415821477394588e-01,-2.777352693834633235e-01
3.136627325465092930e+00,7.188733021490584241e-01,1.056446543507552349e-01,-3.177757487058995300e-01,8.365096342799243079e-01,-2.877098055479069827e-01,-2.888262627711014607e-01
3.144628925785156959e+00,7.165621984110006615e-01,1.048491738489892022e-01,-3.208400024274592477e-01,8.362080171442041188e-01,-2.899452020915073702e-01,-2.925218252418254616e-01
3.152630526105220987e+00,7.142333400004936550e-01,1.040498446485958323e-01,-3.238687696973580610e-01,8.359071640164704720e-01,-2.921475587912713556e-01,-2.940855912454969356e-01
3.160632126425285016e+00,7.118869920396764250e-01,1.032468127745917730e-01,-3.268617203547232730e-01,8.356070717287806815e-01,-2.943166642098095642e-01,-3.112665882696983854e-01
3.168633726745349044e+00,7.095234213441730109e-01,1.024402241036350691e-01,-3.298185257018290684e-01,8.353077369848145306e-01,-2.964523084540800490e-01,-2.945648783728338493e-01
3.176635327065413072e+00,7.071428964102042247e-01,1.016302243387626481e-01,-3.327388585993676373e-01,8.350091563614160384e-01,-2.985542832487388942e-01,-2.962085039564660849e-01
3.184636927385477101e+00,7.047456872335255973e-01,1.008169584251248641e-01,-3.356223956287733845e-01,8.347113263450486320e-01,-3.006223837297486434e-01,-3.092776689673385482e-01
3.192638527705541129e+00,7.023320659083310824e-01,1.000005713716866085e-01,-3.384688139327940437e-01,8.344142432824146471e-01,-3.026564058432618665e-01,-2.952319433445111940e-01
3.200640128025605158e+00,6.999023062146673135e-01,9.918120795129159450e-02,-3.412777924411006802e-01,8.341179033963289635e-01,-3.046561473281651500e-01,-3.183858166864014239e-01
3.208641728345669186e+00,6.974566834196145315e-01,9.835901240115348110e-02,-3.440490130162842108e-01,8.338223028036159112e-01,-3.066214086525107518e-01,-3.121395368664403036e-01
3.216643328665733215e+00,6.949954742772866956e-01,9.753412842285598405e-02,-3.467821604538554037e-01,8.335274375151090487e-01,-3.085519930067841532e-01,-3.133041836966996563e-01
3.224644928985797243e+00,6.925189570288317054e-01,9.670669918235277884e-02,-3.494769224822446563e-01,8.332333034356510515e-01,-3.104477062972887946e-01,-2.905726079773995885e-01
3.232646529305861272e+00,6.900274114024307348e-01,9.587686730996752837e-02,-3.521329897628023287e-01,8.329398963640941567e-01,-3.123083571396502722e-01,-3.283001977722290743e-01
3.240648129625925300e+00,6.875211186132991203e-01,9.504477490039393850e-02,-3.547500558897985212e-01,8.326472119932998295e-01,-3.141337568524379398e-01,-3.085074543003752945e-01
3.248649729945989328e+00,6.850003613636854727e-01,9.421056351269566087e-02,-3.573278173904230193e-01,8.323552459101388745e-01,-3.159237194509073032e-01,-3.065024866750176713e-01
3.256651330266053357e+00,6.824654238428724540e-01,9.337437417030637621e-02,-3.598659737247855706e-01,8.320639935954913247e-01,-3.176780616408624858e-01,-3.139008060004638279e-01
3.264652930586117385e+00,6.799165917271761117e-01,9.253634736102976655e-02,-3.623642272859156632e-01,8.317734504242465521e-01,-3.193966028126395962e-01,-3.075785233691056830e-01
3.272654530906181414e+00,6.773541521724988357e-01,9.169662302889020067e-02,-3.648222834423281991e-01,8.314836116659977128e-01,-3.210791650701132482e-01,-3.311065419413774524e-01
3.280656131226245442e+00,6.747783935111577591e-01,9.085534014269926184e-02,-3.672398528395522943e-01,8.311944725230668851e-01,-3.227255751215361568e-01,-3.455281611446580636e-01
3.288657731546309471e+00,6.721896059019246694e-01,9.001263721498883874e-02,-3.696166487771685993e-01,8.309060280881369609e-01,-3.243356621408775564e-01,-3.166674832511749416e-01
3.296659331866373499e+00,6.695880809858016924e-01,8.916865217731087534e-02,-3.719523877312571614e-01,8.306182733508423732e-01,-3.259092581646400588e-01,-3.378675398113509809e-01
3.304660932186437083e+00,6.669741115777448881e-01,8.832352209819770150e-02,-3.742467908001005927e-01,8.303312032210089511e-01,-3.274461992644232544e-01,-3.307101980298826072e-01
3.312662532506501112e+00,6.643479916666633622e-01,8.747738318316189421e-02,-3.764995837041845705e-01,8.300448125286544743e-01,-3.289463255395226882e-01,-3.407347855137704551e-01
3.320664132826565140e+00,6.617100164154204878e-01,8.663037077469651348e-02,-3.787104967861966709e-01,8.297590960239882296e-01,-3.304094811096521256e-01,-3.198860625401568347e-01
3.328665733146629169e+00,6.590604821608327946e-01,8.578261935227490809e-02,-3.808792650110274236e-01,8.294740483774114548e-01,-3.318355141077931614e-01,-3.231840117591189276e-01
3.336667333466693197e+00,6.563996864136709686e-01,8.493426253235079881e-02,-3.830056279657698681e-01,8.291896641795168943e-01,-3.332242766731687844e-01,-3.404249132922387289e-01
3.344668933786757226e+00,6.537279278586586306e-01,8.408543306835825071e-02,-3.850893298597195535e-01,8.289059379410891326e-01,-3.345756249443421204e-01,-3.255407064982455134e-01
3.352670534106821254e+00,6.510455063544737797e-01,8.323626285071167308e-02,-3.871301195243745941e-01,8.286228640931044831e-01,-3.358894190524405188e-01,-3.346766464592433321e-01
3.360672134426885282e+00,6.483527229337474607e-01,8.238688290680587500e-02,-3.891277504134357801e-01,8.283404369867307659e-01,-3.371655231145035958e-01,-3.385594114201010418e-01
3.368673734746949311e+00,6.456498796378037364e-01,8.153742328180579868e-02,-3.910819813660610378e-01,8.280586509068101897e-01,-3.384038058477231714e-01,-3.378296392272995274e-01
3.376675335067013339e+00,6.429372794416965409e-01,8.068801287619212226e-02,-3.929925778696799488e-01,8.277775000933370597e-01,-3.396041416083694364e-01,-3.416316352068690110e-01
3.384676935387077368e+00,6.402152268602766538e-01,7.983877988844011175e-02,-3.948593091967457225e-01,8.274969786901226199e-01,-3.407664080540037110e-01,-3.346163554158940179e-01
3.392678535707141396e+00,6.374840272153328158e-01,7.898985141257051923e-02,-3.966819507104712428e-01,8.272170807859593467e-01,-3.418904879887291193e-01,-3.387870122842983056e-01
3.400680136027205425e+00,6.347439865891731925e-01,7.814135340899468207e-02,-3.984602840423401293e-01,8.269378004177775354e-01,-3.429762694987329441e-01,-3.464709409630711834e-01
3.408681736347269453e+00,6.319954118246242647e-01,7.729341070451450912e-02,-4.001940970921067930e-01,8.266591315706455223e-01,-3.440236459443219985e-01,-3.339610884861664020e-01
3.416683336667333482e+00,6.292386105250317163e-01,7.644614699232249455e-02,-4.018831840277960477e-01,8.263810681777696843e-01,-3.450325159520764573e-01,-3.511472720997146912e-01
3.424684936987397510e+00,6.264738910542603234e-01,7.559968483200164846e-02,-4.035273452857034981e-01,8.261036041204943281e-01,-3.460027834071208175e-01,-3.431334469764463213e-01
3.432686537307461538e+00,6.237015625366932881e-01,7.475414564952560792e-02,-4.051263875703954298e-01,8.258267332283016904e-01,-3.469343574455118207e-01,-3.427128037329886800e-01
3.440688137627525567e+00,6.209219348572332375e-01,7.390964973725858145e-02,-4.066801238547087527e-01,8.255504492788121595e-01,-3.478271524467411169e-01,-3.330390818483758286e-01
3.448689737947589595e+00,6.181353186613013362e-01,7.306631625395530738e-02,-4.081883733797510017e-01,8.252747459977839428e-01,-3.486810880263527812e-01,-3.537355016598424662e-01
3.456691338267653624e+00,6.153420251307131217e-01,7.222426311993108972e-02,-4.096509623605755213e-01,8.249996170740727663e-01,-3.494960895945715129e-01,-3.320652651314674464e-01
3.464692938587717652e+00,6.125423659341194815e-01,7.138360693677511803e-02,-4.110677248217833868e-01,8.247250561746272135e-01,-3.502720890386334385e-01,-3.485104395224091767e-01
3.472694538907781681e+00,6.097366537995173585e-01,7.054446326500075914e-02,-4.124385006478150650e-01,8.244510569028404845e-01,-3.510090231464657595e-01,-3.529487922529914723e-01
3.480696139227845709e+00,6.069252017539805699e-01,6.970694632652629785e-02,-4.137631372680426467e-01,8.241776128365717602e-01,-3.517068349287442164e-01,-3.584315624381303467e-01
3.488697739547909737e+00,6.041083230914440216e-01,6.887116899095778455e-02,-4.150414897418578386e-01,8.239047175300073800e-01,-3.523654736781432484e-01,-3.465025394875979048e-01
3.496699339867973766e+00,6.012863313727031533e-01,6.803724277558889644e-02,-4.162734207586716861e-01,8.236323645136606197e-01,-3.529848949609249997e-01,-3.524955425165011702e-01
3.504700940188037794e+00,5.984595404254148265e-01,6.720527784540104854e-02,-4.174588006379148508e-01,8.233605472943720249e-01,-3.535650606086271908e-01,-3.646011532679050426e-01
3.512702540508101823e+00,5.956282643440965474e-01,6.637538301306336597e-02,-4.185975073290375548e-01,8.230892593553094105e-01,-3.541059387098458577e-01,-3.653848104724322088e-01
3.520704140828165851e+00,5.927928174901266889e-01,6.554766573893262838e-02,-4.196894264115093587e-01,8.228184941559671950e-01,-3.546075036021124061e-01,-3.601626956801177171e-01
3.528705741148229436e+00,5.899535144917450458e-01,6.472223213105339490e-02,-4.207344510948193839e-01,8.225482451321673993e-01,-3.550697358638639223e-01,-3.618297959025755794e-01
3.536707341468293464e+00,5.871106702211448258e-01,6.389918693822112250e-02,-4.217324822565290954e-01,8.222785056972796713e-01,-3.554926223360177495e-01,-3.445895984187456462e-01
3.544708941788357492e+00,5.842645992753912054e-01,6.307863337897888500e-02,-4.226834295285947229e-01,8.220092692742092533e-01,-3.558761569686559878e-01,-3.421207739889541855e-01
3.552710542108421521e+00,5.814156167629740413e-01,6.226067335629748012e-02,-4.235872103435183167e-01,8.217405292596536848e-01,-3.562203400916004181e-01,-3.475347438529253208e-01
3.560712142428485549e+00,5.785640378365508596e-01,6.144540734468950660e-02,-4.244437502095917414e-01,8.214722790385116102e-01,-3.565251785919811844e-01,-3.529464896916705285e-01
3.568713742748549578e+00,5.757101773713462212e-01,6.063293429820332259e-02,-4.252529831544131222e-01,8.212045119991947528e-01,-3.567906862446562632e-01,-3.610730683231023197e-01
3.576715343068613606e+00,5.728543499651506110e-01,5.982335165042305253e-02,-4.260148517248868449e-01,8.209372215336272482e-01,-3.570168837036038489e-01,-3.564720515944013735e-01
3.584716943388677635e+00,5.699968699383213266e-01,5.901675531446859413e-02,-4.267293069872236111e-01,8.206704010372464220e-01,-3.572037984933831845e-01,-3.483567284330977287e-01
3.592718543708741663e+00,5.671380513337818119e-01,5.821323968299560447e-02,-4.273963085269403273e-01,8.204040439090020120e-01,-3.573514650006595073e-01,-3.360417426634264015e-01
3.600720144028805692e+00,5.642782079170218790e-01,5.741289762819554165e-02,-4.280158244488601049e-01,8.201381435513569462e-01,-3.574599244657937769e-01,-3.483309324127758511e-01
3.608721744348869720e+00,5.614176531760981526e-01,5.661582050179559539e-02,-4.285878313771124271e-01,8.198726933702866759e-01,-3.575292249744932427e-01,-3.603333464174404699e-01
3.616723344668933748e+00,5.585567003213752768e-01,5.582209813500847717e-02,-4.291123144552543289e-01,8.196076867752914996e-01,-3.575594214496000123e-01,-3.571791706918911458e-01
3.624724944988997777e+00,5.556956618415119786e-01,5.503181874758405340e-02,-4.295892676508957786e-01,8.193431172023266651e-01,-3.575505758579007876e-01,-3.623760248694191111e-01
3.632726545309061805e+00,5.528348499321835696e-01,5.424506901645817503e-02,-4.300186938377615342e-01,8.190789781001895919e-01,-3.575027573058303654e-01,-3.653267430653245329e-01
3.640728145629125834e+00,5.499745764644938806e-01,5.346193407867698422e-02,-4.304006045561897809e-01,8.188152629246984171e-01,-3.574160418290750485e-01,-3.592584618512547068e-01
3.648729745949189862e+00,5.471151524722369652e-01,5.268249743504981736e-02,-4.307350201705190118e-01,8.185519651602854996e-01,-3.572905124711572289e-01,-3.553343655491060793e-01
3.656731346269253891e+00,5.442568881518974333e-01,5.190684095014923283e-02,-4.310219698690876400e-01,8.182890783199968654e-01,-3.571262592750349407e-01,-3.387672434082593109e-01
3.664732946589317919e+00,5.414000928626501175e-01,5.113504485231098323e-02,-4.312614916642343310e-01,8.180265959454926517e-01,-3.569233792747340539e-01,-3.564030545752001067e-01
3.672734546909381947e+00,5.385450751263600733e-01,5.036718773363403623e-02,-4.314536323922977257e-01,8.177645116070467735e-01,-3.566819764870096665e-01,-3.431083957373752824e-01
3.680736147229445976e+00,5.356921426275831344e-01,4.960334654998055370e-02,-4.315984477136166619e-01,8.175028189035473680e-01,-3.564021619030351973e-01,-3.387272710917877960e-01
3.688737747549510004e+00,5.328416022135651353e-01,4.884359662097591259e-02,-4.316960021125301195e-01,8.172415114624961285e-01,-3.560840534801175683e-01,-3.552959747775205068e-01
3.696739347869574033e+00,5.299937598930782867e-01,4.808801162989535111e-02,-4.317463688965992308e-01,8.169805829400582642e-01,-3.557277761327048982e-01,-3.396497872565424903e-01
3.704740948189638061e+00,5.271489204006596374e-01,4.733666357964715771e-02,-4.317496299544527072e-01,8.167200270414940455e-01,-3.553334614916216494e-01,-3.481841074459328111e-01
3.712742548509702090e+00,5.243073876291362012e-01,4.658962282809944733e-02,-4.317058761928940780e-01,8.164598375077758430e-01,-3.549012482905158916e-01,-3.590766012401120366e-01
3.720744148829766118e+00,5.214694645377622173e-01,4.584695807912696208e-02,-4.316152073708282577e-01,8.162000081134951346e-01,-3.544312822117541284e-01,-3.517794819632653613e-01
3.728745749149830147e+00,5.186354527090776267e-01,4.510873634015261091e-02,-4.314777317674916013e-01,8.159405326839525019e-01,-3.539237155705384219e-01,-3.536949373900891147e-01
3.736747349469894175e+00,5.158056523489082945e-01,4.437502292214744182e-02,-4.312935661824521261e-01,8.156814050951568529e-01,-3.533787073070943641e-01,-3.557020976065438655e-01
