t,K,I,C,dK_dt,dK_dt_noisy
5.137027405481096487e+00,6.801029639917530178e-02,6.297039352377848953e-01,4.527045232083585780e-01,-5.790591366861372324e-03,1.447020983783181038e-03
5.145029005801160515e+00,6.796421695946286423e-02,6.294884725353082633e-01,4.523033054486544358e-01,-5.727069583819119347e-03,6.882765454848083567e-03
5.153030606121224544e+00,6.791864367382838275e-02,6.292725873577998952e-01,4.519023542747366839e-01,-5.664073991612464387e-03,-9.283601741804781496e-03
5.161032206441288572e+00,6.787357235441844605e-02,6.290562818696905367e-01,4.515016739824081471e-01,-5.601597714174191833e-03,-1.206674143976610436e-02
5.169033806761352601e+00,6.782899886996351935e-02,6.288395582312636956e-01,4.511012688113779090e-01,-5.539633948174277345e-03,-3.546673288880750237e-03
5.177035407081416629e+00,6.778491914577797206e-02,6.286224185986557522e-01,4.507011429452613682e-01,-5.478175962738168758e-03,3.436319450052113811e-03
5.185037007401480658e+00,6.774132916376003621e-02,6.284048651238557381e-01,4.503013005115800160e-01,-5.417217099156323989e-03,-5.445147713326624339e-03
5.193038607721544686e+00,6.769822496239184806e-02,6.281868999547054466e-01,4.499017455817614919e-01,-5.356750770584645105e-03,-3.957192269371941420e-03
5.201040208041608714e+00,6.765560263673939256e-02,6.279685252348997659e-01,4.495024821711397500e-01,-5.296770461736266533e-03,-5.565678394180292692e-03
5.209041808361672743e+00,6.761345833845257280e-02,6.277497431039860132e-01,4.491035142389548929e-01,-5.237269728563448412e-03,-2.125123513721717105e-03
5.217043408681736771e+00,6.757178825654057419e-02,6.275305557003324486e-01,4.487048457112550182e-01,-5.178242182885581246e-03,1.109187945688872891e-03
5.225045009001800800e+00,6.753058857849564278e-02,6.273109651699289024e-01,4.483064805250636664e-01,-5.119681462682393325e-03,-1.218031070179722425e-02
5.233046609321864828e+00,6.748985560923621840e-02,6.270909736486077746e-01,4.479084224863832397e-01,-5.061581325112585183e-03,-9.886919686387128647e-03
5.241048209641927969e+00,6.744958570627719585e-02,6.268705832685923518e-01,4.475106753501856827e-01,-5.003935594231317951e-03,-4.568046317278470075e-03
5.249049809961991997e+00,6.740977527168716399e-02,6.266497961595701716e-01,4.471132428301258233e-01,-4.946738154396876364e-03,-1.160405952280925412e-02
5.257051410282056025e+00,6.737042075208847514e-02,6.264286144486933550e-01,4.467161285985417063e-01,-4.889982950029667097e-03,-3.528728449398042723e-03
5.265053010602120054e+00,6.733151863865713405e-02,6.262070402605782737e-01,4.463193362864543712e-01,-4.833663985364333726e-03,5.278271691527081436e-04
5.273054610922184082e+00,6.729306546712288117e-02,6.259850757173053282e-01,4.459228694835679074e-01,-4.777775324195265849e-03,-4.994993903401587568e-03
5.281056211242248111e+00,6.725505781776919267e-02,6.257627229384193912e-01,4.455267317382695103e-01,-4.722311089616196278e-03,-1.075780780301040067e-02
5.289057811562312139e+00,6.721749231543322489e-02,6.255399840409299195e-01,4.451309265576293694e-01,-4.667265463753095256e-03,-1.243928871170115087e-02
5.297059411882376168e+00,6.718036562950585600e-02,6.253168611393101761e-01,4.447354574074008360e-01,-4.612632687490902939e-03,1.289962168789852287e-02
5.305061012202440196e+00,6.714367447393167210e-02,6.250933563454980080e-01,4.443403277120200889e-01,-4.558407060193517268e-03,4.226651345023198919e-03
5.313062612522504224e+00,6.710741560720898113e-02,6.248694717688955125e-01,4.439455408546066906e-01,-4.504582939418244614e-03,-1.570379790262719719e-02
5.321064212842568253e+00,6.707158583238979899e-02,6.246452095163692597e-01,4.435511001769629758e-01,-4.451154740623283756e-03,-1.286142246070162178e-02
5.329065813162632281e+00,6.703618199707984948e-02,6.244205716922498484e-01,4.431570089795745515e-01,-4.398116936869214677e-03,1.434033016590198495e-02
5.337067413482696310e+00,6.700120099343855051e-02,6.241955603983322387e-01,4.427632705216099085e-01,-4.345464058514741934e-03,1.076751299677817207e-02
5.345069013802760338e+00,6.696663975817908343e-02,6.239701777338758637e-01,4.423698880209206985e-01,-4.293190692905374251e-03,-3.011427499679755152e-03
5.353070614122824367e+00,6.693249527256828202e-02,6.237444257956042959e-01,4.419768646540415680e-01,-4.241291484056997074e-03,7.337197514082592631e-03
5.361072214442888395e+00,6.689876456242674352e-02,6.235183066777055805e-01,4.415842035561902690e-01,-4.189761132332325833e-03,-1.905957411222115178e-02
5.369073814762952424e+00,6.686544469812873148e-02,6.232918224718319022e-01,4.411919078212676593e-01,-4.138594394112501962e-03,-4.125474842875287429e-03
5.377075415083016452e+00,6.683253279460224516e-02,6.230649752670996966e-01,4.407999805018575357e-01,-4.087786081461347587e-03,3.320305745432368567e-03
5.385077015403080480e+00,6.680002601132900564e-02,6.228377671500898716e-01,4.404084246092268007e-01,-4.037331061784818487e-03,-2.263700457566478891e-02
5.393078615723144509e+00,6.676792155234441417e-02,6.226102002048476969e-01,4.400172431133254625e-01,-3.987224257483726331e-03,-1.181716655805119080e-02
5.401080216043208537e+00,6.673621666623762161e-02,6.223822765128825818e-01,4.396264389427865238e-01,-3.937460645600854292e-03,3.891087837782841036e-03
5.409081816363272566e+00,6.670490863256511860e-02,6.221539981546181375e-01,4.392360150012480924e-01,-3.888035247385526749e-03,7.428263590490371063e-03
5.417083416683336594e+00,6.667399470860783939e-02,6.219253672168465474e-01,4.388459742296952903e-01,-3.838943089237434325e-03,-9.772017854752916913e-03
5.425085017003400623e+00,6.664347225612225756e-02,6.216963857800730242e-01,4.384563194534827901e-01,-3.790179296786849727e-03,-8.920849069997942998e-04
5.433086617323464651e+00,6.661333868436192240e-02,6.214670559219888091e-01,4.380670534532509208e-01,-3.741739051198747501e-03,1.226538649087384816e-02
5.441088217643528679e+00,6.658359143704596639e-02,6.212373797186681035e-01,4.376781789807618339e-01,-3.693617579158980924e-03,-7.512948438991005201e-03
5.449089817963592708e+00,6.655422799235911901e-02,6.210073592445682911e-01,4.372896987588996698e-01,-3.645810152607134591e-03,-1.697945068677496686e-02
5.457091418283656736e+00,6.652524586295166520e-02,6.207769965725298267e-01,4.369016154816703912e-01,-3.598312088466670833e-03,-4.212388151362799101e-03
5.465093018603720765e+00,6.649664259593947302e-02,6.205462937737761253e-01,4.365139318142017832e-01,-3.551118748369219702e-03,-7.482695163458465658e-03
5.473094618923784793e+00,6.646841577290403535e-02,6.203152529179138952e-01,4.361266503927435090e-01,-3.504225538376301574e-03,9.506257222997352083e-03
5.481096219243848822e+00,6.644056300989238661e-02,6.200838760729326937e-01,4.357397738246672203e-01,-3.457627908696275787e-03,-1.856472309308299963e-03
5.489097819563912850e+00,6.641308195741714437e-02,6.198521653052051494e-01,4.353533046884663360e-01,-3.411321353396945533e-03,-1.143226726001719817e-02
5.497099419883976879e+00,6.638597030045653713e-02,6.196201226794870731e-01,4.349672455337562083e-01,-3.365301410115026370e-03,2.064014428326917810e-02
5.505101020204040907e+00,6.635922575845433491e-02,6.193877502589173467e-01,4.345815988812740116e-01,-3.319563659760466079e-03,-8.320733680133547000e-03
5.513102620524104935e+00,6.633284608531994642e-02,6.191550501050178124e-01,4.341963672228787985e-01,-3.274103726218113852e-03,1.450354254080575209e-03
5.521104220844168964e+00,6.630682906942830801e-02,6.189220242776933834e-01,4.338115530215516102e-01,-3.228917276043727358e-03,3.533398153951232065e-03
5.529105821164232992e+00,6.628117253361996697e-02,6.186886748352321552e-01,4.334271587113951996e-01,-3.184000018157634448e-03,4.659220853483036356e-03
5.537107421484297021e+00,6.625587433520105374e-02,6.184550038343051837e-01,4.330431866976342525e-01,-3.139347703533357237e-03,-1.410188725114686547e-03
5.545109021804361049e+00,6.623093236594326805e-02,6.182210133299667065e-01,4.326596393566153886e-01,-3.094956124882961013e-03,2.771782263264063739e-03
5.553110622124425078e+00,6.620634455208390667e-02,6.179867053756538109e-01,4.322765190358071052e-01,-3.050821116337795735e-03,-3.729842411457986312e-03
5.561112222444489106e+00,6.618210885432582180e-02,6.177520820231868770e-01,4.318938280537996111e-01,-3.006938553126281555e-03,-1.719875831071733877e-02
5.569113822764553134e+00,6.615822326783749041e-02,6.175171453227692453e-01,4.315115687003052147e-01,-2.963304351246948132e-03,-5.161410543808467831e-03
5.577115423084617163e+00,6.613468582225294490e-02,6.172818973229874384e-01,4.311297432361579363e-01,-2.919914467138032266e-03,-4.904035073170026626e-03
5.585117023404681191e+00,6.611149458167180082e-02,6.170463400708108281e-01,4.307483538933137290e-01,-2.876764897343439542e-03,-4.653967469183328647e-03
5.593118623724745220e+00,6.608864764465927077e-02,6.168104756115919685e-01,4.303674028748504243e-01,-2.833851678174334476e-03,-1.472934340680579195e-03
5.601120224044809248e+00,6.606614314424612278e-02,6.165743059890665956e-01,4.299868923549677868e-01,-2.791170885367594279e-03,-9.038199731234417000e-03
5.609121824364873277e+00,6.604397924792873575e-02,6.163378332453532948e-01,4.296068244789872925e-01,-2.748718633739793971e-03,1.048385624272608029e-02
5.617123424684937305e+00,6.602215415766904405e-02,6.161010594209539448e-01,4.292272013633524619e-01,-2.706491076838027365e-03,1.296065792256189189e-02
5.625125025005001334e+00,6.600066609069403512e-02,6.158639865566394311e-01,4.288480251201299276e-01,-2.664484393484475855e-03,-2.466810055685923417e-02
5.633126625325065362e+00,6.597951323605394380e-02,6.156266166989370348e-01,4.284692979106772270e-01,-2.622694758539753646e-03,-2.529434529433797693e-03
5.641128225645129390e+00,6.595869388202567352e-02,6.153889518878994380e-01,4.280910217826776609e-01,-2.581118429730938635e-03,-9.687063749155962189e-03
5.649129825965193419e+00,6.593820635218738957e-02,6.151509941618311661e-01,4.277131987539792846e-01,-2.539751702811010592e-03,-2.860219036937113393e-02
5.657131426285257447e+00,6.591804899655613614e-02,6.149127455580786217e-01,4.273358308240209347e-01,-2.498590905198883050e-03,1.602768111312777646e-03
5.665133026605321476e+00,6.589822019158786404e-02,6.146742081130303070e-01,4.269589199738320073e-01,-2.457632395714837159e-03,-8.645628506401093621e-03
5.673134626925385504e+00,6.587871834017737516e-02,6.144353838621168240e-01,4.265824681660323470e-01,-2.416872564311917104e-03,-6.174218530099463004e-03
5.681136227245449533e+00,6.585954187165840579e-02,6.141962748398108740e-01,4.262064773448326349e-01,-2.376307831806381832e-03,-8.892087355180027658e-03
5.689137827565513561e+00,6.584068924180357107e-02,6.139568830796270360e-01,4.258309494360340008e-01,-2.335934649604284874e-03,8.534120303942051289e-03
5.697139427885576701e+00,6.582215893282437891e-02,6.137172106141222105e-01,4.254558863470281893e-01,-2.295749499426624762e-03,1.009723140799605005e-02
5.705141028205640730e+00,6.580394945337121604e-02,6.134772594748951757e-01,4.250812899667975597e-01,-2.255748893031067626e-03,5.122049187996154281e-04
5.713142628525704758e+00,6.578605933853337584e-02,6.132370316925868092e-01,4.247071621659150864e-01,-2.215929371931962821e-03,4.715159383796836343e-03
5.721144228845768787e+00,6.576848714983903055e-02,6.129965292968800883e-01,4.243335047965443585e-01,-2.176287507117277698e-03,-3.300570544876201082e-03
5.729145829165832815e+00,6.575123147525524514e-02,6.127557543165002008e-01,4.239603196924394690e-01,-2.136819898763284153e-03,-7.352275003904506188e-04
5.737147429485896843e+00,6.573429092918799121e-02,6.125147087792139899e-01,4.235876086689452369e-01,-2.097523175946733320e-03,-9.515149433752114611e-03
5.745149029805960872e+00,6.571766415248211923e-02,6.122733947118308429e-01,4.232153735229969849e-01,-2.058393996354740407e-03,-1.712965975440565013e-03
5.753150630126024900e+00,6.570134981242138628e-02,6.120318141402019130e-01,4.228436160331207061e-01,-2.019429045991727456e-03,-9.156133988164222651e-03
5.761152230446088929e+00,6.568534660272840053e-02,6.117899690892203424e-01,4.224723379594329531e-01,-1.980625038884534228e-03,1.749637357851306380e-03
5.769153830766152957e+00,6.566965324356470457e-02,6.115478615828217057e-01,4.221015410436408932e-01,-1.941978716784517611e-03,6.331333331365786993e-03
5.777155431086216986e+00,6.565426848153071981e-02,6.113054936439833442e-01,4.217312270090422532e-01,-1.903486848867652625e-03,1.206940745741496429e-03
5.785157031406281014e+00,6.563919108966574656e-02,6.110628672947246987e-01,4.213613975605254303e-01,-1.865146231431746848e-03,9.976144776459812402e-03
5.793158631726345043e+00,6.562441986744800559e-02,6.108199845561074204e-01,4.209920543845693253e-01,-1.826953687591906239e-03,2.507549906382802035e-02
5.801160232046409071e+00,6.560995364079456882e-02,6.105768474482349273e-01,4.206231991492435651e-01,-1.788906066972434372e-03,-2.285451793930538128e-02
5.809161832366473099e+00,6.559579126206142863e-02,6.103334579902530699e-01,4.202548335042082805e-01,-1.751000245398121047e-03,-1.614160052176132889e-03
5.817163432686537128e+00,6.558193161004347016e-02,6.100898182003495762e-01,4.198869590807142171e-01,-1.713233124580784694e-03,-7.400038530977309272e-03
5.825165033006601156e+00,6.556837358997445742e-02,6.098459300957541629e-01,4.195195774916027354e-01,-1.675601631805814784e-03,-6.242556440075494942e-03
5.833166633326665185e+00,6.555511613352703326e-02,6.096017956927387571e-01,4.191526903313057550e-01,-1.638102719614301095e-03,-1.521985372715846906e-02
5.841168233646729213e+00,6.554215819881276106e-02,6.093574170066172746e-01,4.187862991758458664e-01,-1.600733365484358073e-03,-1.075380958674435321e-03
5.849169833966793242e+00,6.552949877038209692e-02,6.091127960517457307e-01,4.184204055828362745e-01,-1.563490571508716065e-03,-4.146217667930882263e-03
5.857171434286857270e+00,6.551713685922434804e-02,6.088679348415221293e-01,4.180550110914806883e-01,-1.526371364071216208e-03,-7.854078261936675923e-03
5.865173034606921298e+00,6.550507150276774215e-02,6.086228353883866848e-01,4.176901172225734316e-01,-1.489372793519710969e-03,-4.032599049874665588e-03
5.873174634926985327e+00,6.549330175485124084e-02,6.083774997056357048e-01,4.173257254942017158e-01,-1.452491927820695472e-03,-7.379929551607006082e-03
5.881176235247049355e+00,6.548182662552647082e-02,6.081319298182304989e-01,4.169618375134360733e-01,-1.415725816589108454e-03,-2.484494509686837813e-02
5.889177835567113384e+00,6.547064520672404853e-02,6.078861277399073559e-01,4.165984547776340197e-01,-1.379071566545528316e-03,9.395018098863811007e-03
5.897179435887177412e+00,6.545975662757380631e-02,6.076400954812983812e-01,4.162355787485098602e-01,-1.342526313681507988e-03,-4.377252963626384295e-03
5.905181036207241441e+00,6.544916003792457249e-02,6.073938350529204389e-01,4.158732108783336212e-01,-1.306087213041748352e-03,-1.080246068531232409e-02
5.913182636527305469e+00,6.543885460834407419e-02,6.071473484651753738e-01,4.155113526099313837e-01,-1.269751438466457105e-03,1.794369379878279960e-03
5.921184236847369498e+00,6.542883953011902065e-02,6.069006377283500120e-01,4.151500053766848941e-01,-1.233516182332944355e-03,-7.857900012014596910e-03
5.929185837167433526e+00,6.541911401525506153e-02,6.066537048526156051e-01,4.147891706025319536e-01,-1.197378655294054073e-03,-2.293735379088062201e-02
5.937187437487497554e+00,6.540967729647684248e-02,6.064065518480284966e-01,4.144288497019661399e-01,-1.161336086016651059e-03,7.707687605550852042e-03
5.945189037807561583e+00,6.540052862722790794e-02,6.061591807245299002e-01,4.140690440800369188e-01,-1.125385720917734811e-03,-1.789247719754160845e-02
5.953190638127625611e+00,6.539166728167078446e-02,6.059115934919457880e-01,4.137097551323497546e-01,-1.089524823898832540e-03,-3.273595705152742858e-03
5.961192238447689640e+00,6.538309255468696679e-02,6.056637921599868912e-01,4.133509842450657223e-01,-1.053750676079351356e-03,1.478117876272751121e-04
5.969193838767753668e+00,6.537480376187686237e-02,6.054157787382488110e-01,4.129927327949020066e-01,-1.018060575527848788e-03,1.247862238751281869e-02
5.977195439087817697e+00,6.536680023955987462e-02,6.051675552362121291e-01,4.126350021491316244e-01,-9.824518369922347061e-04,1.091815486782623558e-02
5.985197039407881725e+00,6.535908134477436127e-02,6.049191236632419644e-01,4.122777936655834252e-01,-9.469217916278360736e-04,7.105589536479473087e-04
5.993198639727945753e+00,6.535164645527759275e-02,6.046704860285885275e-01,4.119211086926420906e-01,-9.114677867242543252e-04,-8.545383515643829864e-03
6.001200240048009782e+00,6.534449496954582159e-02,6.044216443413867879e-01,4.115649485692483012e-01,-8.760871854307517026e-04,-5.035058779702015000e-03
6.009201840368073810e+00,6.533762630677426853e-02,6.041726006106564739e-01,4.112093146248984588e-01,-8.407773664795420432e-04,1.003623960591852778e-02
6.017203440688137839e+00,6.533103990687709473e-02,6.039233568453022949e-01,4.108542081796450751e-01,-8.055357239083321685e-04,1.705895776806036837e-02
6.025205041008201867e+00,6.532473523048740183e-02,6.036739150541134968e-01,4.104996305440962168e-01,-7.703596667801432263e-04,4.667526809684629206e-03
6.033206641328265896e+00,6.531871175895727355e-02,6.034242772457645287e-01,4.101455830194161156e-01,-7.352466189028128429e-04,-7.183691798031204348e-03
6.041208241648329924e+00,6.531296899435773406e-02,6.031744454288144874e-01,4.097920668973247249e-01,-7.001940185458882526e-04,9.593526957936891059e-03
6.049209841968393953e+00,6.530750645947874800e-02,6.029244216117072286e-01,4.094390834600978857e-01,-6.651993181569643143e-04,-4.417600058240055833e-03
6.057211442288457981e+00,6.530232369782926205e-02,6.026742078027714777e-01,4.090866339805673824e-01,-6.302599840748157600e-04,-4.708753320521706816e-03
6.065213042608522009e+00,6.529742027363714951e-02,6.024238060102209413e-01,4.087347197221208317e-01,-5.953734962432233324e-04,-3.385060066245823129e-03
6.073214642928586038e+00,6.529279577184927963e-02,6.021732182421539736e-01,4.083833419387017383e-01,-5.605373479209280196e-04,5.340952489988323726e-03
6.081216243248650066e+00,6.528844979813142047e-02,6.019224465065539098e-01,4.080325018748094390e-01,-5.257490453919322348e-04,2.226999662749973730e-03
6.089217843568714095e+00,6.528438197886833605e-02,6.016714928112887328e-01,4.076822007654992142e-01,-4.910061076724425710e-04,9.437008088078395474e-03
6.097219443888778123e+00,6.528059196116374474e-02,6.014203591641114066e-01,4.073324398363821208e-01,-4.563060662179374560e-04,1.250762683646950389e-02
6.105221044208842152e+00,6.527707941284027759e-02,6.011690475726597649e-01,4.069832203036252150e-01,-4.216464646273621053e-04,4.710809416406478572e-03
6.113222644528906180e+00,6.527384402243958939e-02,6.009175600444561782e-01,4.066345433739513848e-01,-3.870248583462965186e-04,-2.370965990942746487e-02
6.121224244848970208e+00,6.527088549922221983e-02,6.006658985869083311e-01,4.062864102446393511e-01,-3.524388143685414088e-04,-1.731841413920344117e-02
6.129225845169034237e+00,6.526820357316769072e-02,6.004140652073082229e-01,4.059388221035237221e-01,-3.178859109360804291e-04,1.267997276350089604e-03
6.137227445489098265e+00,6.526579799497450596e-02,6.001620619128329448e-01,4.055917801289949942e-01,-2.833637372368774665e-04,-9.304386955367638292e-04
6.145229045809161406e+00,6.526366853606009599e-02,5.999098907105446798e-01,4.052452854899996071e-01,-2.488698931022576000e-04,2.134309106934504513e-02
6.153230646129225434e+00,6.526181498856083174e-02,5.996575536073898149e-01,4.048993393460397772e-01,-2.144019887015541359e-04,-5.165425897669466936e-04
6.161232246449289462e+00,6.526023716533206620e-02,5.994050526102000509e-01,4.045539428471736088e-01,-1.799576442357425643e-04,-1.706056972596154938e-03
6.169233846769353491e+00,6.525893489994809282e-02,5.991523897256917364e-01,4.042090971340150940e-01,-1.455344896291177470e-04,9.293346495265378260e-03
6.177235447089417519e+00,6.525790803987803479e-02,5.988995669649097575e-01,4.038648033572683205e-01,-1.111301610027953801e-04,1.053320408153862742e-02
6.185237047409481548e+00,6.525715640867686684e-02,5.986465863642276286e-01,4.035210627762738089e-01,-7.674228263460092236e-05,-2.430843749677196863e-03
6.193238647729545576e+00,6.525667987845580609e-02,5.983934499357378423e-01,4.031778765453904456e-01,-4.236850095079569556e-05,4.689652480802021343e-03
6.201240248049609605e+00,6.525647834759723542e-02,5.981401596871765980e-01,4.028352457925577501e-01,-8.006473654897927617e-06,-1.134347320916512247e-02
6.209241848369673633e+00,6.525655173268359033e-02,5.978867176276460027e-01,4.024931716436624951e-01,2.634613436142130283e-05,-9.405171616694237707e-03
6.217243448689737662e+00,6.525689996849740049e-02,5.976331257676141817e-01,4.021516552225389840e-01,6.069165129352072086e-05,1.239142310272272826e-02
6.225245049009801690e+00,6.525752300802131756e-02,5.973793861189152787e-01,4.018106976509686623e-01,9.503239870045643301e-05,-1.397632370194164253e-02
6.233246649329865718e+00,6.525842082243805964e-02,5.971255006947491228e-01,4.014703000486803952e-01,1.293706917828013614e-04,9.352496956987683616e-03
6.241248249649929747e+00,6.525959340113046681e-02,5.968714715096818946e-01,4.011304635333504676e-01,1.637088396615055119e-04,6.942592676624854270e-03
6.249249849969993775e+00,6.526104075168147334e-02,5.966173005796453488e-01,4.007911892206023619e-01,1.980491456585603549e-04,7.895601538715718223e-03
6.257251450290057804e+00,6.526276289987406609e-02,5.963629899219375918e-01,4.004524782240069802e-01,2.323939075777187169e-04,9.360709002559006869e-03
6.265253050610121832e+00,6.526475988969138164e-02,5.961085415552223044e-01,4.001143316550825335e-01,2.667454179877404297e-04,5.905375612831932804e-03
6.273254650930185861e+00,6.526703178331663691e-02,5.958539574995292964e-01,3.997767506232945967e-01,3.011059645059016576e-04,-2.111348229589529377e-02
6.281256251250249889e+00,6.526957866113311524e-02,5.955992397762545076e-01,3.994397362360561088e-01,3.354778300828642479e-04,-9.708317308731761672e-03
6.289257851570313917e+00,6.527240062172422197e-02,5.953443904081594518e-01,3.991032895987272067e-01,3.698632932897100156e-04,-5.643253135926630179e-03
6.297259451890377946e+00,6.527549778187347052e-02,5.950894114193719941e-01,3.987674118146155577e-01,4.042646286044754289e-04,9.552469457264784261e-03
6.305261052210441974e+00,6.527887027656442687e-02,5.948343048353856855e-01,3.984321039849760826e-01,4.386841067016145068e-04,-1.083936866754376706e-02
6.313262652530506003e+00,6.528251825898079286e-02,5.945790726830602058e-01,3.980973672090110105e-01,4.731239947417670288e-04,-6.575826419106876701e-03
6.321264252850570031e+00,6.528644190050633678e-02,5.943237169906210315e-01,3.977632025838699348e-01,5.075865566627341119e-04,-3.120533858700038146e-03
6.329265853170634060e+00,6.529064139072494888e-02,5.940682397876597687e-01,3.974296112046498131e-01,5.420740534723550441e-04,1.370639158659103449e-02
6.337267453490698088e+00,6.529511693742059975e-02,5.938126431051338194e-01,3.970965941643949115e-01,5.765887435419253526e-04,-1.383393908718498488e-02
6.345269053810762117e+00,6.529986876657734030e-02,5.935569289753666045e-01,3.967641525540968606e-01,6.111328829013773500e-04,-1.292816268880669570e-02
6.353270654130826145e+00,6.530489712237935729e-02,5.933010994320476739e-01,3.964322874626945437e-01,6.457087255352378374e-04,6.917320637234048754e-03
6.361272254450890173e+00,6.531020226721089006e-02,5.930451565102322631e-01,3.961009999770743750e-01,6.803185236805842084e-04,-2.057496030907882828e-02
6.369273854770954202e+00,6.531578448165629991e-02,5.927891022463417370e-01,3.957702911820698555e-01,7.149645281253613760e-04,4.034743852876244812e-03
6.377275455091018230e+00,6.532164406450002847e-02,5.925329386781632568e-01,3.954401621604620720e-01,7.496489885088220007e-04,-3.790760232950845902e-03
6.385277055411082259e+00,6.532778133272663934e-02,5.922766678448502242e-01,3.951106139929792538e-01,7.843741536224940747e-04,-1.498514000368978555e-02
6.393278655731146287e+00,6.533419662152074869e-02,5.920202917869218373e-01,3.947816477582971051e-01,8.191422717131191522e-04,-3.383571688836082073e-03
6.401280256051210316e+00,6.534089028426709467e-02,5.917638125462630905e-01,3.944532645330385834e-01,8.539555907867146800e-04,-9.167414085283044980e-03
6.409281856371274344e+00,6.534786269255052349e-02,5.915072321661252186e-01,3.941254653917740103e-01,8.888163589132885845e-04,2.566663903117073157e-03
6.417283456691338372e+00,6.535511423615594784e-02,5.912505526911251419e-01,3.937982514070210716e-01,9.237268245337049155e-04,4.561947579549345370e-03
6.425285057011402401e+00,6.536264532306838848e-02,5.909937761672461320e-01,3.934716236492447616e-01,9.586892367674376692e-04,1.584830508499552801e-02
6.433286657331466429e+00,6.537045637947296040e-02,5.907369046418369241e-01,3.931455831868574946e-01,9.937058457221703556e-04,8.658534856757125163e-04
6.441288257651530458e+00,6.537854784975487277e-02,5.904799401636126044e-01,3.928201310862188267e-01,1.028778902803437201e-03,2.034313927022222707e-03
6.449289857971594486e+00,6.538692019649942899e-02,5.902228847826540559e-01,3.924952684116358448e-01,1.063910661027275828e-03,-4.709197257269709044e-03
6.457291458291658515e+00,6.539557390049205443e-02,5.899657405504081797e-01,3.921709962253629445e-01,1.099103375332866062e-03,8.627521723835924767e-04
6.465293058611722543e+00,6.540450946071822702e-02,5.897085095196876736e-01,3.918473155876017744e-01,1.134359302897264277e-03,1.163038394167200187e-02
6.473294658931786572e+00,6.541372739436353279e-02,5.894511937446714755e-01,3.915242275565014585e-01,1.169680703451136949e-03,-1.808747639506613769e-02
6.481296259251850600e+00,6.542322823681367971e-02,5.891937952809042089e-01,3.912017331881582627e-01,1.205069839596312198e-03,7.796358604767709630e-03
6.489297859571914628e+00,6.543301254461880712e-02,5.889363161930153412e-01,3.908798335566558424e-01,1.240528975888929852e-03,-4.111240394999858723e-03
6.497299459891978657e+00,6.544308090237438424e-02,5.886787585846119386e-01,3.905585298385803039e-01,1.276060376244475547e-03,2.014962674408123447e-03
6.505301060212042685e+00,6.545343389121065225e-02,5.884211245225976494e-01,3.902378231202434655e-01,1.311666317269810644e-03,4.562114517580248552e-03
6.513302660532106714e+00,6.546407210809135346e-02,5.881634160699852343e-01,3.899177144728472322e-01,1.347349080552770473e-03,9.853290788138034662e-03
6.521304260852170742e+00,6.547499616929032540e-02,5.879056352936223862e-01,3.895982049717798823e-01,1.383110951553592760e-03,3.767143356230625000e-03
6.529305861172234771e+00,6.548620671039150076e-02,5.876477842641920635e-01,3.892792956966158457e-01,1.418954219944368322e-03,-2.506147434179891928e-03
6.537307461492298799e+00,6.549770438628899072e-02,5.873898650562127122e-01,3.889609877311159258e-01,1.454881179949296666e-03,4.571824628882965175e-03
6.545309061812362827e+00,6.550948987118693223e-02,5.871318797480373775e-01,3.886432821632272439e-01,1.490894130686329366e-03,1.609625564970725313e-03
6.553310662132426856e+00,6.552156385859965460e-02,5.868738304218550361e-01,3.883261800850832390e-01,1.526995376510492664e-03,-5.180031139585027436e-04
6.561312262452490884e+00,6.553392706135155454e-02,5.866157191636891532e-01,3.880096825930035020e-01,1.563187227357834552e-03,3.614664048854426652e-03
6.569313862772554913e+00,6.554658021157716563e-02,5.863575480633990145e-01,3.876937907874941081e-01,1.599471999091037211e-03,1.033527687219260895e-02
6.577315463092618941e+00,6.555952406072110272e-02,5.860993192146786157e-01,3.873785057732473391e-01,1.635852013846930686e-03,3.019172466486840997e-03
6.585317063412682970e+00,6.557275937953811751e-02,5.858410347150573294e-01,3.870638286591416843e-01,1.672329600383756776e-03,3.227022140241730952e-03
6.593318663732746998e+00,6.558628695809307074e-02,5.855826966658999044e-01,3.867497605582421172e-01,1.708907094431416640e-03,-1.116619692075174718e-02
6.601320264052810138e+00,6.560010760576096001e-02,5.853243071724060220e-01,3.864363025877998181e-01,1.745586839042079230e-03,4.754744765542609324e-04
6.609321864372874167e+00,6.561422215122683643e-02,5.850658683436106289e-01,3.861234558692521746e-01,1.782371184942413422e-03,-1.679780396003154735e-02
6.617323464692938195e+00,6.562863144248594349e-02,5.848073822923839371e-01,3.858112215282229474e-01,1.819262490887207928e-03,9.019368942731632172e-03
6.625325065013002224e+00,6.564333634684355046e-02,5.845488511354314243e-01,3.854996006945222708e-01,1.856263124014004284e-03,-7.536273982303057922e-03
6.633326665333066252e+00,6.565833775091511892e-02,5.842902769932936113e-01,3.851885945021464308e-01,1.893375460199617222e-03,1.484719117459287752e-02
6.641328265653130281e+00,6.567363656062616406e-02,5.840316619903461737e-01,3.848782040892781420e-01,1.930601884417695868e-03,3.186497313047011865e-02
6.649329865973194309e+00,6.568923370121236560e-02,5.837730082548000521e-01,3.845684305982863260e-01,1.967944791097325785e-03,-2.006047542795835574e-03
