A,Z,beta2,B_per_A,B_per_A_noisy
2.234563129985718888e+02,7.753458069148923926e+01,1.568725386023078761e-02,nan,nan
2.601930064707180534e+01,1.755947011391167933e+01,1.645660575537998549e-01,nan,nan
1.998646961362233299e+02,5.887681695637860457e+01,2.433160114716755584e-01,nan,nan
6.907078942112650566e+01,4.711519661425372618e+01,8.540791040412944179e-02,nan,nan
1.954493370722491647e+02,2.251017445934368055e+01,3.439269006406914242e-02,nan,nan
1.599019770151015791e+02,6.940117300476181583e+01,1.681184976420958543e-01,nan,nan
1.955459912896268690e+02,2.280575634900998239e+01,7.887563825016062624e-02,nan,nan
1.058228755842636275e+02,7.269848274013506284e+01,1.407666721307693491e-01,nan,nan
1.168483946428143980e+02,6.389285791344625665e+01,2.750082481487236552e-01,nan,nan
2.230426008387852903e+02,2.939827956183065538e+01,8.250967807765362261e-02,nan,nan
3.195634893720820813e+01,1.414429324412472333e+01,2.514804100081240446e-01,nan,nan
5.098896280377964274e+01,6.432789035964447066e+01,1.700215586799646295e-01,nan,nan
2.339144599545175538e+02,6.348384004302914008e+01,2.932477925286433584e-01,nan,nan
2.205682926957637164e+02,3.736174558377641119e+01,1.605245313493796622e-01,nan,nan
4.889844415699106861e+01,3.170439194119887816e+01,1.639436868576941431e-01,nan,nan
2.340548646106635999e+02,7.665841768065781991e+01,3.412962818197649850e-02,nan,nan
7.546201666020620280e+01,5.943184679389077729e+01,2.249981825221310516e-01,nan,nan
2.158319380443236639e+02,4.945299940902085467e+01,2.835075543622614935e-01,nan,nan
2.186696509779778808e+02,4.950605451108075528e+01,5.548687478603819400e-04,nan,nan
2.131905777640607980e+01,9.300587344269681012e+01,1.528466573530965211e-01,nan,nan
1.817540623286435064e+01,9.334033823309720646e+00,1.867643909359259849e-02,nan,nan
8.924684893183363954e+01,8.970818327100954548e+01,1.523882139683285829e-03,nan,nan
2.245839789276370482e+02,4.813033828472298836e+01,1.861556918304707597e-02,nan,nan
1.932609861903454203e+02,1.099367612262760829e+01,2.881865822957190293e-01,nan,nan
1.026546191750689161e+02,7.261250340123457647e+01,7.492337755712243086e-02,nan,nan
2.081944222959502895e+02,2.274132690890609609e+01,8.185503876202629425e-02,nan,nan
8.489384998540970173e+01,5.206264473263763648e+01,2.188281748820428141e-01,nan,nan
9.382149818332034386e+01,4.728002526493266799e+01,7.351697730362252714e-02,nan,nan
5.866714409187995471e+01,9.369989928985012284e+01,1.919272211085461810e-01,nan,nan
2.309394473916272830e+02,7.112936535980185226e+01,2.142521550125791319e-01,nan,nan
1.960132618375854747e+02,8.986133319190869884e+01,1.995013497910166078e-01,nan,nan
1.195831564120092594e+02,8.853200657142356533e+01,8.143307108847099018e-02,nan,nan
7.519795181179682686e+01,7.035158486705194036e+01,2.817161180700302608e-02,nan,nan
2.323794305184295013e+02,9.109396262605403649e+01,2.018513770214156455e-01,nan,nan
1.048876722854131458e+02,2.632804109885264410e+01,7.206051628796709962e-02,nan,nan
6.319804644057394682e+01,8.016164717450061517e+01,2.932130048992243609e-01,nan,nan
1.111230294299483319e+02,6.766084138171066797e+01,2.098817515684789636e-01,nan,nan
1.770832630962504766e+02,9.461428315568743130e+01,1.772034363358844788e-01,nan,nan
1.886333949722078955e+02,6.884590890130132834e+01,1.123270567335079850e-01,nan,nan
4.041276367857469864e+01,7.203934729610388388e+01,1.456842396836771081e-01,nan,nan
2.278884919320426832e+02,5.658318747723050279e+01,3.665836163529395675e-02,nan,nan
1.671038485860941023e+02,6.837251881604316850e+01,1.397063624692672090e-01,nan,nan
2.999905070268729546e+01,6.018426809411261047e+01,4.063678372301904318e-02,nan,nan
2.035857620356198368e+02,2.448439494211876166e+01,5.902112932994282163e-02,nan,nan
2.337064370643065274e+02,1.977907121812402025e+01,2.949153853176827988e-01,nan,nan
2.036554718685846694e+02,5.793775034001689761e+01,1.513259360048251241e-02,nan,nan
1.819181296195877451e+01,5.987791910113239879e+01,2.540058302408377752e-02,nan,nan
1.219719154321083039e+02,8.368329276918505855e+01,7.310531765301672702e-02,nan,nan
1.479749253669100426e+02,8.063697031783102886e+01,2.360504386619363126e-01,nan,nan
2.149117073893887380e+02,7.999142412280396286e+01,1.867124273789703692e-01,nan,nan
1.286183487329194861e+02,6.795432574679193749e+01,2.850617869541863247e-01,nan,nan
3.332053464565771606e+01,4.003718405988753659e+01,2.062869191300914229e-01,nan,nan
2.251097131280720873e+02,8.242361702725634842e+00,4.738432192104029272e-02,nan,nan
2.291888187108655472e+02,8.983913667703303929e+01,3.261132896492208166e-02,nan,nan
1.249003361631307030e+02,7.402246719844688982e+01,2.242953527725195240e-01,nan,nan
2.797117297226586530e+01,9.358372076429067477e+01,1.639841679980942046e-01,nan,nan
2.039115121328869407e+02,7.333746353096550763e+01,2.601673129992807532e-01,nan,nan
1.821346795227885593e+02,8.944171875215394252e+00,2.435758811096353504e-01,nan,nan
2.335564338754062987e+02,1.880223400949415691e+01,1.503228880671405587e-01,nan,nan
1.763826757637746212e+01,2.451749850754705662e+01,1.794693261873552270e-01,nan,nan
1.135507566925016931e+02,3.965639482283506112e+01,2.261390903304539013e-01,nan,nan
7.957173729365095483e+01,5.386522134634108738e+01,5.947694748690241645e-02,nan,nan
4.012594143306618832e+01,2.958299138741345757e+01,2.036501739091129901e-02,nan,nan
1.806701509987736074e+02,9.970051747131451236e+01,5.273858146923126634e-03,nan,nan
9.243214126846237377e+01,1.063606794228261165e+01,5.930365826483952052e-02,nan,nan
2.472908716313938271e+01,4.782928390454982548e+01,6.142862228444997963e-02,nan,nan
4.593240448271470910e+01,4.422958763659069348e+01,5.304048782979357834e-02,nan,nan
1.965440665790048342e+02,7.741774664541220830e+01,1.591409084531256179e-01,nan,nan
1.517151080296211205e+02,4.943397461304207496e+01,2.382510192388009318e-01,nan,nan
6.417134003888969573e+01,1.714606624994629414e+01,1.542692178741500164e-01,nan,nan
1.719134590723972451e+02,3.943507613007721346e+01,8.484981676657057936e-02,nan,nan
4.521067379166061073e+01,7.063298029034885417e+01,2.503885674903414404e-01,nan,nan
1.667940576804432453e+02,8.730553949525481983e+01,8.840123349317788315e-02,nan,nan
1.627290172146835801e+02,9.014073809839098317e+01,1.111117444794000875e-01,nan,nan
1.723776386330144206e+01,3.230674550035683978e+01,5.630947079688086720e-02,nan,nan
1.305794661197267601e+02,8.989659347125176225e+01,8.041192788592339824e-02,nan,nan
1.786946567529181777e+02,9.292905528273234950e+01,7.159566820794804540e-03,nan,nan
1.859115576755846462e+02,5.029629028881969788e+01,2.195485522259895128e-01,nan,nan
1.740786679868632802e+02,4.738733809296336119e+01,1.110323546668667838e-02,nan,nan
2.142502175070856651e+02,4.320080294819224775e+01,1.311343969776919416e-01,nan,nan
1.853905562657983239e+02,6.935838294672188908e+01,1.685905590969926926e-01,nan,nan
2.225257376061553884e+02,9.814662821880513377e+01,1.158108522436611387e-01,nan,nan
1.089167688023935341e+02,7.298115423933755608e+01,2.538310625763272044e-01,nan,nan
2.365206101299464336e+01,5.511140438397818997e+01,1.181623443822010372e-01,nan,nan
5.654476496161649379e+01,3.515565619572379319e+01,8.757430884803744930e-02,nan,nan
8.046323103047716074e+01,9.460607785008960491e+01,2.697838917653267443e-01,nan,nan
2.536132149194474295e+01,6.452772546541308429e+01,1.337094801470601335e-01,nan,nan
4.022773737575485598e+01,8.656349485838836699e+01,2.817959297696946419e-01,nan,nan
1.322065231337705882e+02,5.869126073692294199e+01,2.026570703216642733e-01,nan,nan
7.255762182154310835e+01,3.281090293789751655e+01,1.751852435318906609e-01,nan,nan
7.995987021665946770e+01,8.159975564777515444e+01,9.656437193561381860e-02,nan,nan
1.820891739648156431e+02,9.760032690477392237e+01,1.434669757631022169e-01,nan,nan
2.074482380862457092e+02,4.130012873323936162e+01,9.291265786083724096e-03,nan,nan
2.090969170444232077e+02,8.005941722880319844e+01,2.985959247766884483e-01,nan,nan
9.901923781817242798e+01,4.293066551920326646e+01,2.904574575012613402e-01,nan,nan
1.749571364207937734e+02,8.164769352677707559e+01,9.806898738257084636e-02,nan,nan
2.069162377724802298e+02,2.628938713878514832e+01,1.049824792211188212e-01,nan,nan
4.981448897369686080e+01,7.457268754668029942e+01,1.774552690945338795e-01,nan,nan
6.092402151375587493e+01,9.261462890064539977e+01,2.274629060147820570e-01,nan,nan
1.611431056532948958e+02,3.823613827387010389e+01,1.269383351313086161e-01,nan,nan
7.548328062217419188e+01,1.142258603057493893e+01,1.700288648639532718e-01,nan,nan
5.915968245233705147e+01,9.446856501066274348e+01,4.461086989002722297e-02,nan,nan
9.832453092025636465e+01,5.966992809783936025e+01,1.011922443758772518e-03,nan,nan
1.958024736658001430e+01,3.011427692165435133e+01,6.700631977294770059e-02,nan,nan
1.141835179272150640e+02,1.184470479969642653e+01,1.515203457826071465e-01,nan,nan
2.658846705511568231e+01,3.970633014277049710e+01,1.912962614098502045e-01,nan,nan
7.081509564148744573e+01,6.026252604734363416e+01,1.143008183545524137e-01,nan,nan
6.472945299293979815e+01,5.539691075577125901e+01,1.957407388363278933e-01,nan,nan
8.979573238877422625e+01,3.699301134968372651e+01,2.916302317118245613e-01,nan,nan
4.408735025213298542e+01,6.459540515861560550e+01,1.669928450403135312e-01,nan,nan
1.215479972790782881e+02,7.900090065236659598e+01,1.370219479518120786e-01,nan,nan
1.700798881047263649e+02,4.522144977562456347e+01,1.520283880977549018e-01,nan,nan
9.192007886493901481e+01,7.473214919481493723e+01,4.777366957063702152e-02,nan,nan
2.236912810080078771e+02,9.439753228730046430e+01,1.196232039992608104e-01,nan,nan
2.085877808709928445e+02,1.707052406598638683e+01,1.083994435832202341e-01,nan,nan
8.454739033697784123e+01,2.739467537562881461e+01,3.400718622250981094e-02,nan,nan
2.471369038896004966e+01,6.659926165125894215e+01,7.817279855972721070e-02,nan,nan
1.880749409723061092e+02,7.474854604314441531e+01,2.024001256152157813e-01,nan,nan
6.976275809074012102e+01,8.865915051306393480e+01,1.376887498334835869e-01,nan,nan
9.040407308964036304e+01,3.713851129688568165e+01,2.276838202307510939e-01,nan,nan
1.457710907016910653e+02,8.348870098925192451e+01,7.052672880153328105e-02,nan,nan
2.397490476227245040e+02,9.841233557526673792e+01,1.158028106006904132e-02,nan,nan
8.312777492108617139e+01,2.095299767214708808e+01,5.922745859986130318e-02,nan,nan
1.209491526549747960e+02,9.451737624051607156e+01,1.116097717914920351e-01,nan,nan
1.565489977613307531e+02,8.844195640694940153e+01,3.242551439534001323e-02,nan,nan
1.690754129311409883e+02,3.604613256520624276e+01,1.917223424322972991e-01,nan,nan
6.352522509275529217e+01,6.454224522705298739e+01,1.406453668091532383e-01,nan,nan
1.493520714405057959e+02,6.464780716676273187e+01,1.242923483574010363e-01,nan,nan
1.378798432110552028e+02,1.931953391791538621e+01,1.114746976491546443e-01,nan,nan
1.635218892689044026e+02,4.241335996095332916e+01,2.654586548637204446e-01,nan,nan
4.175932240744778312e+01,3.921132330979091307e+01,2.201335395069089207e-01,nan,nan
4.428997156986045525e+01,7.978467692657676480e+01,2.274173807358879640e-01,nan,nan
2.345181578531744719e+02,9.658433534504059992e+01,2.277615030415068298e-01,nan,nan
1.999715504581636765e+02,1.262641682347781824e+01,7.863774572288495524e-02,nan,nan
2.013728385813919601e+02,8.444136977858140369e+01,9.142564363410722594e-02,nan,nan
2.252393874146031862e+02,6.312745760888436308e+01,4.044484622369591553e-02,nan,nan
2.311850982440127780e+02,7.593191056479031431e+01,7.722723314532874139e-02,nan,nan
1.041412071903848471e+02,7.363089730668696120e+01,7.212755280829093174e-02,nan,nan
1.849110474770561154e+02,7.977223246539244883e+01,2.113787607478151143e-01,nan,nan
1.597229007324362726e+02,7.600302331898693353e+01,9.652086682130729678e-02,nan,nan
1.414064603593471361e+02,4.555775947789684466e+01,1.748297011337577034e-01,nan,nan
1.681740378640235463e+02,9.288521791253695881e+01,1.847884040219708868e-01,nan,nan
8.755309305189311431e+01,3.363078403367355662e+01,9.018186087888856867e-03,nan,nan
2.091280328175240584e+02,8.575888134502893934e+01,2.339621100161798362e-01,nan,nan
1.071730015184975287e+02,6.419400919070565692e+01,1.554699122265925937e-01,nan,nan
4.919202604714118365e+01,1.487848969835282986e+01,5.285414790716168321e-02,nan,nan
1.845971062710464849e+01,5.843162602623287682e+01,1.994518339769281445e-01,nan,nan
1.591784103827564252e+02,2.188938616817287652e+01,1.120821163812192184e-01,nan,nan
6.788549832814331353e+01,8.308716956366768613e+01,1.560300265706959788e-02,nan,nan
2.301586854194355851e+02,6.884901066821629456e+01,1.339213166703098236e-02,nan,nan
5.968099846031219613e+01,7.223299451120333003e+01,1.641968526994025956e-01,nan,nan
8.682418740357178422e+01,9.130476798446008502e+01,1.741780550996684385e-01,nan,nan
2.364454971562877290e+02,9.365250152160537311e+01,2.184395051286003031e-01,nan,nan
1.324474349450559885e+02,7.770499021150736496e+01,6.047981251477022036e-02,nan,nan
2.225335101661441115e+02,9.235907534390121043e+01,1.667659985948780899e-01,nan,nan
1.910420389376218679e+02,9.656621818290452097e+01,1.476450058666833320e-01,nan,nan
4.264831533716014889e+01,8.472095409304172620e+01,9.655433986036650318e-02,nan,nan
6.438028988361591587e+01,1.563276261447742499e+01,2.257507864796905461e-01,nan,nan
1.027277728592129051e+02,2.989647122812935720e+01,1.912345090584961771e-01,nan,nan
2.133342001618981101e+02,8.122734736120955290e+01,2.946818604455936907e-01,nan,nan
9.081337524533188343e+01,3.555021576902048253e+01,9.265937022806601531e-02,nan,nan
1.197303766361685859e+02,7.324513299075368877e+01,2.165826825681848034e-01,nan,nan
1.236914679723286241e+02,4.175325472045857822e+01,1.837834569320237754e-01,nan,nan
8.874517535096443055e+01,6.470835411771324175e+01,3.990225541490320660e-02,nan,nan
1.921727037242399945e+02,9.966342337374561566e+01,6.615448887538551148e-02,nan,nan
2.828118697482459609e+01,8.121919161836865442e+01,2.985214902938960191e-01,nan,nan
6.660387611934946506e+01,4.249535197477263182e+01,2.019436049593530680e-01,nan,nan
2.008190863887398336e+02,1.344924723733909033e+01,1.078953284186845163e-01,nan,nan
1.540605415625404362e+02,7.185427675651698110e+01,4.244104162702481975e-02,nan,nan
1.306487618715779320e+02,5.293209522248108811e+01,7.401912393989774908e-02,nan,nan
9.876978388288330279e+01,9.508419490068985169e+01,2.065553974290625650e-01,nan,nan
4.515126520160062285e+01,8.082116837889176963e+01,9.319764632701497964e-02,nan,nan
1.183196852615536585e+02,6.443458459318036091e+01,1.376628746222446631e-01,nan,nan
2.371091625819709350e+02,6.100961149412436413e+01,2.982229858474504391e-01,nan,nan
1.492998183467518629e+02,7.046363167570699204e+01,2.862399154553232350e-01,nan,nan
1.451537745661165673e+02,6.571099478037879749e+01,2.949463598383563201e-01,nan,nan
2.377865630302225952e+02,2.847713952384418690e+01,7.104567310251198864e-02,nan,nan
2.143303571772084410e+02,8.522214582350207479e+01,5.548536567098000943e-02,nan,nan
2.398206472943746519e+02,3.622227357387599511e+01,8.935487880501293001e-02,nan,nan
2.296138680618043395e+02,2.494922532526730663e+01,1.023635972842804748e-01,nan,nan
1.655192947894460076e+02,4.083058964539726077e+01,1.275417612563536640e-01,nan,nan
8.438993137994216909e+01,5.939023085692920034e+01,2.950474043456955964e-01,nan,nan
1.567040718780830275e+02,4.386157509267767551e+01,1.822482989396126962e-01,nan,nan
9.399900322228523919e+01,1.503088459798355814e+01,4.975477689362537564e-02,nan,nan
1.976123748973885199e+02,6.162081534089738000e+01,1.754355323036295711e-01,nan,nan
4.675530328096907340e+01,7.647468659522553480e+01,2.672445940343250448e-01,nan,nan
1.196103786991908180e+02,9.196913583941092440e+01,5.747230173613925019e-02,nan,nan
2.043338289609025651e+02,1.005013018115731427e+01,6.257172073809137702e-02,nan,nan
1.178107073659658681e+02,3.517796223113666088e+01,1.393035039969141853e-01,nan,nan
1.506279982700533253e+02,2.725632524416526792e+01,1.813985330206754898e-01,nan,nan
3.801537810856899569e+01,5.002491855317064307e+01,1.856864495121555436e-01,nan,nan
7.986351629424368070e+01,2.007147658942071899e+01,1.952923054432837147e-01,nan,nan
2.298046912260486181e+02,4.787787572082525145e+01,2.653033138936143898e-01,nan,nan
1.631544581544781352e+02,6.850560191291646106e+01,1.464971090443708823e-01,nan,nan
9.774637379438905782e+01,2.506166511149678300e+01,6.817514634434831966e-02,nan,nan
1.317813834163447382e+02,7.887161100251385903e+01,7.666803701804769666e-02,nan,nan
1.895705615019004711e+02,1.435648999901977341e+01,6.256558979093103379e-02,nan,nan
1.923933583880975107e+02,5.144231251381909686e+01,1.668947433230780208e-01,nan,nan
2.014648183313099139e+02,6.607192944457240458e+01,2.421809927578599253e-01,nan,nan
8.087996005065065219e+01,9.193685503638013756e+01,1.657678817049277331e-01,nan,nan
6.938053029077231315e+01,4.066718282276841734e+01,9.762444669808944750e-03,nan,nan
1.590259000798342868e+02,1.392241812478942364e+01,6.281636227022080118e-03,nan,nan
1.340929450121242894e+02,8.280852919030920134e+01,1.641515932266255154e-02,nan,nan
1.425346323355657603e+02,8.887967352936118459e+01,1.301860080760770533e-01,nan,nan
6.407374167770804263e+01,4.828321459081463729e+01,1.770264870180560390e-01,nan,nan
8.737180470904974072e+01,8.167118244210752209e+01,1.237318636494781632e-01,nan,nan
1.844599124468475964e+02,9.087930026722015953e+01,2.541646275944947631e-01,nan,nan
9.626440961404048835e+01,1.975448746230328112e+01,2.479557324722712897e-01,nan,nan
1.856767633380807752e+02,8.904034848084620535e+01,7.927967337740292331e-02,nan,nan
2.644840447307510445e+01,8.921610594958703899e+00,2.003128107737431607e-01,nan,nan
2.289940242538236248e+02,4.493739202057606263e+01,1.095539514093243350e-01,nan,nan
6.260836066631092223e+01,4.778952227502592365e+01,1.143019905738145436e-01,nan,nan
1.231185098033917029e+02,8.005518945769576078e+01,2.317433865641676805e-01,nan,nan
2.222782967240154335e+02,9.095002585731528200e+01,1.246394699001648378e-02,nan,nan
7.277944891103645375e+01,9.472960885192433977e+01,6.938964547760743951e-02,nan,nan
6.693407705850913203e+01,6.830611690083929943e+01,1.413807922996954958e-01,nan,nan
2.367835181288479021e+02,9.155404002234740801e+01,2.592969507409854102e-01,nan,nan
2.185923574574313477e+02,8.161969875936074459e+01,2.060377953167676079e-01,nan,nan
1.352231481770823507e+02,1.535120865308191540e+01,2.353499913243705943e-01,nan,nan
2.966891569320914712e+01,8.711486422988330958e+01,2.715451837835517468e-01,nan,nan
1.514457906387817445e+02,3.763729453886433163e+01,2.313810751107996666e-01,nan,nan
7.235351401718222064e+01,5.440569643277083145e+01,1.430238773523318796e-01,nan,nan
6.393834660271602388e+01,1.511574381228400199e+01,7.363243947872487316e-02,nan,nan
2.248000402146770682e+02,7.336282715624172113e+01,3.400188316648700138e-02,nan,nan
1.547508062566747924e+02,6.100451874549194997e+01,1.101145443883373015e-01,nan,nan
1.154648535948296626e+02,6.135253648190641229e+01,7.784625036007203347e-02,nan,nan
3.003558432318866167e+01,7.045431400186602389e+01,2.674947247520810811e-01,nan,nan
9.924319328707434806e+01,5.128624682533192214e+01,1.594454457487357035e-01,nan,nan
2.095322255465025307e+02,2.616970571287486536e+01,2.854657765537070846e-01,nan,nan
8.379948730793213940e+01,4.034361521530102834e+01,6.347980662669945595e-02,nan,nan
8.830591716742058850e+01,3.284626654196453188e+01,1.456991395086768837e-01,nan,nan
1.519357589657564063e+02,2.748909737568165212e+01,2.502381574582048795e-01,nan,nan
7.247951201099795071e+01,2.002894700977191178e+01,1.552083172335372852e-01,nan,nan
1.407533868693470538e+02,3.341061940227665161e+01,2.856813027494918278e-01,nan,nan
1.881848875761681654e+02,3.752270427808956299e+01,5.578472526829249961e-02,nan,nan
8.021492597059167906e+01,7.324937387789201182e+01,1.822142904446147904e-01,nan,nan
1.218961950580341380e+02,9.184802882210829011e+01,2.939260505589953998e-01,nan,nan
1.450838834060820091e+02,3.064225971169055285e+01,3.133134381111483263e-02,nan,nan
9.738623168374138572e+01,6.026482178519649580e+01,1.803562327742894711e-01,nan,nan
6.609051590023133826e+01,7.481237802387263969e+01,7.548557654734594502e-02,nan,nan
4.162601821191962870e+01,3.127315339685011253e+01,2.995980758997531246e-01,nan,nan
1.426683694285469812e+02,5.290916634497025228e+01,5.953320238231796062e-03,nan,nan
2.259841448030757647e+02,9.036937941077989933e+01,1.383230345470298685e-03,nan,nan
2.020362936166857182e+01,7.671315470009312776e+01,1.767825772920714467e-01,nan,nan
2.099086154589126352e+02,4.279763711322290476e+01,4.507037667986785873e-02,nan,nan
2.315939766944419489e+02,4.929427613122836505e+01,1.383213585647380672e-01,nan,nan
1.374811363324490117e+02,4.356357434356485214e+01,2.817755020209813388e-01,nan,nan
2.328058946923255519e+02,4.959568886414579936e+01,1.862289758792016470e-01,nan,nan
1.738712657799208614e+02,8.253679825536876535e+01,9.078700629547048484e-02,nan,nan
1.381304465985743093e+02,2.645647102372726067e+01,9.258761173779755937e-02,nan,nan
1.198632040084787320e+02,6.066111347733773584e+01,1.103893479397224930e-01,nan,nan
1.204733775531465199e+02,4.233742989928561684e+01,1.067077712129429201e-01,nan,nan
1.687672668646047782e+02,6.962429478736785882e+01,2.255532152606991025e-01,nan,nan
6.852920260581286982e+01,6.039677344430432981e+01,1.559830743165545874e-01,nan,nan
1.762498518888068304e+02,9.412836945656225751e+00,2.670936963656906915e-01,nan,nan
1.259817010941541895e+02,8.032328224163165942e+01,6.985356840068916717e-02,nan,nan
1.671243369525542164e+02,6.070429439825883122e+01,2.359219167399731198e-01,nan,nan
2.267530320923418117e+02,4.718727673916992416e+01,8.281411478164871220e-02,nan,nan
6.829362472141488638e+01,1.265934259713288768e+01,1.548767180717363634e-01,nan,nan
1.063225161352683728e+02,1.348967068242031431e+01,1.872151438904690046e-01,nan,nan
7.763586889045001271e+01,8.752494348356131582e+01,1.477177639502786077e-01,nan,nan
2.779951689663747416e+01,6.224192607359805152e+01,1.551598367044731974e-01,nan,nan
1.553480944089568823e+02,4.807844639394731701e+01,1.206028587347611480e-01,nan,nan
1.567884833616849107e+02,8.871807884476565675e+01,2.092620159282850556e-01,nan,nan
2.398680304316303022e+02,4.914479013309064470e+01,1.404075955830302036e-01,nan,nan
1.506300264373471975e+02,1.010248973203345102e+01,6.455115376253366122e-02,nan,nan
1.047278476243678256e+02,6.973314447219937051e+01,2.957350366568637923e-01,nan,nan
2.178595531318745202e+02,5.589187310291623589e+01,2.570264671218351893e-01,nan,nan
1.944608794755381354e+01,6.648364619281940691e+01,2.239480065685560753e-02,nan,nan
8.380636111055908088e+01,5.610438441331284309e+01,8.976265302626214304e-02,nan,nan
1.844321065759958458e+02,2.638992132992372319e+01,1.895242328798219245e-01,nan,nan
5.217309102885501204e+01,4.519798822744484568e+01,1.681027785293462973e-01,nan,nan
9.691685844019868057e+01,7.829639946101832493e+01,5.819135609090385353e-02,nan,nan
2.061902545889972203e+02,5.896075204740908760e+01,1.006512754922924829e-01,nan,nan
9.320712145330895737e+01,6.902943574664368498e+01,6.160794359341485726e-02,nan,nan
7.042319880130202137e+01,8.139290471805389870e+01,1.551506726861023866e-02,nan,nan
2.154917720949103170e+02,7.939421452606438834e+01,2.739050053422209530e-01,nan,nan
3.334145398151473927e+01,3.437690905601239422e+01,1.203689376175756665e-01,nan,nan
2.078989648308810558e+02,3.733551354795024935e+01,1.945578997941067520e-02,nan,nan
8.664615429703408722e+01,3.670953768175617427e+01,1.376160278781998203e-01,nan,nan
6.254377664262383973e+01,4.415974709865219694e+01,1.458399877309864145e-01,nan,nan
1.252848429253912030e+02,7.544260164450412276e+01,2.279048081284555105e-01,nan,nan
1.242856577045745325e+02,8.804828073799788513e+01,1.573381266278829071e-01,nan,nan
2.320921251455370111e+02,1.901577916817759117e+01,2.018786715886181360e-01,nan,nan
1.845610526969828982e+02,3.543252440834557859e+01,4.314319452003457372e-02,nan,nan
1.190674251151004057e+02,6.985469189535889711e+01,1.823704679508279802e-01,nan,nan
1.413163921806128656e+02,5.730725898057496437e+01,1.410931741965111563e-01,nan,nan
8.731449183726587648e+01,8.025294570798453719e+01,2.390092033910482527e-01,nan,nan
2.361296366829050157e+02,6.244897415285265652e+01,2.919925545763754626e-01,nan,nan
1.024502918984110522e+02,9.030354834620472104e+01,1.748431466376226262e-01,nan,nan
2.143944316434530037e+02,7.816264249216978044e+01,1.069811454782511884e-01,nan,nan
1.629612895938109602e+02,4.932123807540279614e+01,5.406138548458692961e-02,nan,nan
2.212162722257940004e+02,4.857618976925049026e+01,1.629318234923563327e-02,nan,nan
9.542315599242346025e+01,2.682997640415194596e+01,1.846928438877904963e-02,nan,nan
1.093399995594269285e+02,8.262333644595123872e+01,8.973887163255366006e-02,nan,nan
9.872923973344910564e+01,9.563560231657102406e+01,2.023300757948919282e-01,nan,nan
2.012575912771104356e+02,9.071887238310611679e+01,2.003475094334094264e-01,nan,nan
2.294994994252518552e+02,6.021901159909126022e+01,4.895193768293890774e-02,nan,nan
2.007035304136173579e+02,8.848986748552025006e+01,3.505219288388594645e-02,nan,nan
1.171183650456356986e+02,1.206827737840538717e+01,2.032495624734056983e-01,nan,nan
2.017176669438852912e+02,3.727340883142436212e+01,1.762747135536870541e-02,nan,nan
1.795617466499250270e+02,1.353416366401181214e+01,2.622121262210290182e-01,nan,nan
1.322858452336422488e+02,5.589109373111467960e+01,1.835046115294112490e-01,nan,nan
5.710288214971460263e+01,1.500024188890104782e+01,1.351527023972154962e-01,nan,nan
6.928308909200970334e+01,5.722115189802633495e+01,2.210845744655317302e-01,nan,nan
1.736431931741726657e+02,1.989161303609139253e+01,6.604534684085405782e-02,nan,nan
6.051762716247451124e+01,8.970192198243331916e+01,1.879658028534564873e-01,nan,nan
1.415175005546713010e+02,8.434759111086850680e+01,2.894590643007236008e-01,nan,nan
1.961382704843891531e+02,4.352932554597470016e+01,3.704503154904448953e-02,nan,nan
1.624731693318121017e+02,6.869633416737288201e+01,1.354207203560611750e-01,nan,nan
1.525852806496190510e+02,6.882428835331174355e+01,1.230936994969023535e-01,nan,nan
7.373227339527844038e+01,6.163425897458692759e+01,2.790397861989302730e-01,nan,nan
4.286565696934918890e+01,8.941704141950060603e+01,2.970323889720377641e-01,nan,nan
2.359580634327606319e+01,6.828521941294596331e+01,1.756294216986495904e-01,nan,nan
2.638018095931776230e+01,4.760150005830103481e+01,7.574307918868387890e-02,nan,nan
6.791479115891536367e+01,4.220277301157153715e+01,1.947001395738327256e-01,nan,nan
1.409209201195808419e+02,2.644323411920456834e+01,2.309501677753498031e-02,nan,nan
1.109043784996876099e+02,1.117633542337946295e+01,8.640649391313640071e-02,nan,nan
6.171816050738333104e+01,3.221281743923744756e+01,1.134845143395022959e-01,nan,nan
8.380191906382704303e+01,6.332301071983795282e+01,2.721411981516982381e-01,nan,nan
1.193202891290138723e+02,7.608678010801999392e+01,1.341543644480784059e-01,nan,nan
1.949630594985309244e+02,8.176212024239250198e+00,2.160249923814414053e-01,nan,nan
1.629281293528449623e+02,9.551623991857405827e+01,2.613800788279460607e-01,nan,nan
2.516283890906307619e+01,9.209704380930568846e+01,1.064606855493824555e-01,nan,nan
1.238602551189033250e+02,6.668864750317356993e+01,1.257352741002222551e-01,nan,nan
5.766335955306736594e+01,9.721953884253007061e+01,6.771940538786114239e-02,nan,nan
2.074825623679970761e+02,1.293487899915725770e+01,6.377112185867789274e-02,nan,nan
2.142185483638863275e+02,3.092958167624675525e+01,1.809673129529288660e-01,nan,nan
1.402448952893435603e+02,1.710711037049973982e+01,2.810351848164056032e-01,nan,nan
1.809554015161017446e+02,7.554104605064871691e+01,1.523210718918859286e-01,nan,nan
1.698389445636386483e+02,9.042694436603666475e+01,2.113610315811922241e-02,nan,nan
1.989710103998463353e+02,9.595450862470782738e+01,1.085662003947208548e-01,nan,nan
