model,task,trial,status,official_reward,recomputed_r2,fixed_scale_r2,rmse,abs_diff_vs_official
opus-4.8,SRBench0826_m2_physiology_and_homeostasis_0_004,SRBench0826_m2_physiology_and_ho__mqjgxS2,ok,0.999101,0.999101208230247,0.9999996702087738,0.0001733612668369813,2.0823024693417125e-07
opus-4.8,SRBench0826_m2_population_ecology_0_002,SRBench0826_m2_population_ecolog__2PuMya9,ok,0.999949,0.999949159069767,0.9999003814444231,0.045652734428580304,1.5906976702506626e-07
opus-4.8,SRBench0826_m2_population_ecology_0_002,SRBench0826_m2_population_ecolog__NmY9dcn,ok,0.999949,0.9999491590139061,0.9999003813349685,0.045652759508751764,1.5901390615358224e-07
opus-4.8,SRBench0826_m2_population_ecology_0_002,SRBench0826_m2_population_ecolog__tr8X7vd,ok,0.999949,0.9999491591088389,0.9999003815209812,0.04565271688623092,1.5910883888192728e-07
opus-4.8,SRBench0826_m2_population_ecology_0_004,SRBench0826_m2_population_ecolog__7fv6NYv,ok,0.999975,0.9999752458283471,0.9999999596920645,0.00021369429604490965,2.45828347122945e-07
opus-4.8,SRBench0826_m2_population_ecology_0_004,SRBench0826_m2_population_ecolog__AjJqJ3D,ok,0.999974,0.9999738743857649,0.9999999574589048,0.00021953409879436778,1.256142351246936e-07
opus-4.8,SRBench0826_m2_population_ecology_0_004,SRBench0826_m2_population_ecolog__fj9L4XC,ok,0.971017,0.9710168279822254,0.9999528058605671,0.007312092693683107,1.7201777458009104e-07
opus-4.8,SRBench0826_m2_quantum_mechanics_0_003,SRBench0826_m2_quantum_mechanics__cTbQQe2,ok,1.0,1.0,1.0,5.713397947264523e-17,0.0
opus-4.8,SRBench0826_m2_quantum_mechanics_0_003,SRBench0826_m2_quantum_mechanics__py9zGhJ,ok,1.0,1.0,1.0,5.713397947264523e-17,0.0
opus-4.8,SRBench0826_m2_quantum_mechanics_0_003,SRBench0826_m2_quantum_mechanics__ygP5hxC,ok,1.0,1.0,1.0,5.713397947264523e-17,0.0
opus-4.8,SRBench0826_m2_quantum_mechanics_0_007,SRBench0826_m2_quantum_mechanics__GDfFfRJ,ok,1.0,1.0,1.0,4.02531992927221e-17,0.0
opus-4.8,SRBench0826_m2_quantum_mechanics_0_007,SRBench0826_m2_quantum_mechanics__TeUGka4,ok,1.0,1.0,1.0,4.02531992927221e-17,0.0
opus-4.8,SRBench0826_m2_quantum_mechanics_0_007,SRBench0826_m2_quantum_mechanics__WfXM2ju,ok,1.0,1.0,1.0,4.02531992927221e-17,0.0
