r,q,T,n_ext,phi,phi_noisy
1.917926683845538882e+00,1.193800305138972728e+00,9.274356101924503548e-01,1.215168990054162013e+00,2.732250416965285589e-01,2.817026531510047893e-01
2.575885642747015591e+00,6.656766951207198080e-01,8.816836222507686838e-01,4.732751616375716619e-01,8.777705243209285579e-02,9.398040859430493998e-02
1.742009367207193904e+00,8.652007965577173110e-01,6.012493695940779315e-01,4.973946777941122832e-01,2.206409457649915473e-01,2.134389448516574861e-01
1.025920051126432364e+00,6.196820733910644030e-01,1.015468599224285562e+00,1.884751117001706167e+00,3.953137264559663522e-01,3.439158977204568313e-01
2.577569624663814896e+00,6.664018044981843136e-01,8.465890281414591989e-01,1.776651696620441978e+00,9.619571663049959753e-02,9.549328992954014828e-02
3.373556039814399554e+00,9.737816894723454464e-01,1.236413607157332395e+00,1.153210179099135368e+00,8.677964872901453020e-02,9.631636785380455479e-02
3.009512576258834837e+00,7.863649025213960142e-01,1.458476602150349022e+00,4.975738632449373533e-01,8.250237536786175774e-02,9.302573226570827469e-02
3.741549406583942972e+00,1.635363967283185449e+00,1.751626704809494228e+00,1.676355524887031878e+00,1.400416723930807406e-01,1.369723723775669866e-01
1.812657264074851060e+00,8.807533065652402016e-01,1.936853774683148233e+00,4.954691027054898278e-01,2.262649254587331127e-01,2.353312208480012602e-01
2.004609946879792881e-01,2.415889337918655677e+00,1.671647046801580716e+00,1.758374932405859736e+00,1.847970302053816738e+01,1.850026939934690517e+01
1.220765713806046593e+00,2.106720238313901206e+00,1.652909785539956156e+00,1.547261597391720311e+00,1.135602471104436351e+00,1.126197465453159019e+00
1.590537798901479505e+00,1.141664313906626038e+00,1.028043295344762686e+00,1.883988758482914250e+00,3.830107759264939071e-01,4.123363568348664687e-01
2.854903361649876903e+00,2.827162129924909451e+00,1.556771905912054610e+00,6.106236889875267249e-01,3.353345861699197350e-01,2.962314201335012331e-01
2.069367273668446749e+00,7.313809812188292181e-01,8.630438413976126988e-01,1.044108051694787154e+00,1.445161899177754283e-01,1.192952192433940212e-01
3.356825025165221632e+00,1.111619602231182613e+00,1.973966540517857915e+00,2.478964635211606815e-01,9.614618082805999333e-02,7.804328182055163265e-02
1.274926009193918075e+00,1.421961684308332696e+00,1.605778268574973078e+00,4.193827398894245384e-02,5.833637878205003569e-01,5.344744536309895544e-01
2.446482966219691857e+00,2.745463990064844761e+00,1.198107315377054949e+00,1.707807461940159977e+00,4.659146414015615800e-01,4.459193889809058287e-01
2.107814937913922160e-01,1.901034417284383604e+00,5.608457168928440151e-01,1.162255689235089928e+00,1.780837185891085639e+01,1.783333929842358501e+01
3.494241909550796610e+00,2.224180111479052258e+00,1.071510895717484146e+00,1.075189221369995618e+00,1.786045901027350780e-01,2.034351714077867468e-01
4.353722072437635759e+00,2.166140513855800975e+00,1.656795562144584233e+00,1.598884131326893554e+00,1.342140842867194928e-01,1.361612535412435876e-01
4.321556580650876889e+00,2.705765060145664425e+00,1.836068275379286741e+00,1.095373487906199372e-01,1.278612767284820484e-01,1.622813160632415319e-01
4.398480315606246194e+00,1.197218139441937446e+00,6.958889878020991793e-01,5.278315865610005986e-02,2.624128511544620429e-02,3.103108951437009294e-02
1.141433551718892270e+00,2.456499197608487783e+00,8.860926075600679130e-01,7.543765362424499354e-01,1.248858191239692328e+00,1.238901952107367199e+00
4.910822185424201791e+00,6.131101373289022938e-01,8.332153754628481845e-01,5.145657798442868636e-01,1.553036775883721334e-02,2.036298314649353375e-02
2.846576266581996695e+00,1.060849144313179337e+00,1.690112951166942823e+00,1.909837526714210254e+00,1.524748577022002893e-01,1.497319254949222578e-01
1.090782994317837762e+00,1.528593755877500016e+00,1.190981190258073141e+00,5.960089707973714734e-01,8.199776487193226604e-01,8.346963179293226398e-01
6.370594997835983264e-01,1.337787615375532368e+00,1.769889824887900698e+00,5.207806617481280931e-01,1.614525468982708656e+00,1.584464456187640646e+00
5.406832503150352798e-01,6.998868329754466266e-01,1.618281902561140129e+00,5.503907548553068629e-01,1.012464537042029100e+00,1.032452835908653777e+00
3.257443212751146788e+00,2.830566480119042438e+00,1.365027107191928657e+00,6.119749355150687631e-01,2.570133302334114411e-01,2.478227956096410445e-01
3.217222138621774086e+00,2.301292620880649231e+00,1.371836547529833972e+00,9.019764575647977178e-01,2.221645476666895547e-01,2.392710079968947134e-01
3.976437513462091733e+00,1.557241229088014656e+00,1.105510728061491976e+00,1.608747265841276697e+00,1.041066620550215593e-01,7.328585801809384126e-02
3.361351414092830669e+00,1.247971162679589296e+00,1.779939344320317973e+00,1.398197180540245999e+00,1.255481273949151655e-01,1.171629542858693973e-01
2.693137310730875811e+00,7.198394990079290956e-01,1.393916852798958050e+00,9.930833758470567485e-01,9.672654617309647818e-02,9.828781058010079008e-02
9.815438998655179326e-01,2.570605626848200931e+00,1.402920030990770783e+00,1.139303035655178098e+00,1.830559172202839147e+00,1.848588224781862355e+00
3.725474465819587078e+00,1.157577059432454814e+00,7.217936128873125856e-01,8.126983354199504017e-01,6.970477292986693163e-02,4.535415154642977176e-02
2.194917400412455533e-01,2.864998886946288348e+00,1.437655345006592533e+00,9.163829163664034549e-01,2.078450891669176670e+01,2.081785780180994294e+01
3.369467036588334796e+00,1.193687177525518894e+00,1.944926380098746632e+00,1.492505612061179043e+00,1.241165367041114631e-01,1.337698062041817737e-01
9.934910750486332098e-01,2.964643091187004309e+00,5.825132657863173469e-01,7.402958100377412531e-01,1.880649675663884191e+00,1.870134167295822047e+00
9.623000023717376283e-01,2.573241719954766360e+00,1.282465260156615106e+00,1.800049488511846318e+00,2.017201746799266449e+00,2.041547787483028120e+00
4.549241515145683756e+00,2.269645979343812403e+00,8.822996694087066327e-01,1.773450846544783799e+00,1.096678863566127315e-01,1.117221068170653336e-01
4.650890233906713966e+00,2.959638884467970410e+00,1.588440576170576435e+00,1.215903507795298433e+00,1.477060360385706872e-01,1.708719756527952716e-01
3.657369989007038580e+00,1.701035941082310377e+00,1.256290402322056021e+00,1.871600056922372524e+00,1.432248795679350040e-01,1.896878357428704587e-01
1.297343719768573544e+00,1.375706011906563164e+00,9.676769828953172281e-01,5.146789591024731880e-01,5.509609412298123177e-01,5.663315087829838834e-01
2.453006587608855149e+00,7.355147041817579057e-01,1.539862741853819328e+00,1.110464516772934340e+00,1.197843374142966155e-01,1.092507481428959260e-01
1.861751653155186537e+00,2.659291118283689137e+00,1.422611544837825592e+00,1.276379225949313634e+00,7.001592693229163888e-01,6.916451206150934228e-01
7.645018308299471599e-01,8.104510288024429077e-01,8.705666183772140521e-01,1.207101342575884750e+00,7.379197036877813698e-01,7.495707906153507016e-01
1.336717489567997852e+00,6.938722955294341910e-01,1.715227590271791946e+00,1.843646831963039912e+00,3.277368811230770840e-01,3.334949894649522628e-01
4.782505864312641686e-01,1.952996684344826095e+00,1.411514829666642434e+00,8.625668239897834599e-01,3.827347805233549671e+00,3.810687205962489887e+00
4.867034907763262197e+00,6.740346781381207908e-01,1.037217555168894911e+00,1.359813740411503824e+00,2.710493510660744176e-02,1.374274479408785915e-02
1.334216879198506511e+00,8.749068394896609702e-01,1.404355979787645481e+00,1.415202204774382411e+00,3.837697994712350180e-01,3.970854400568789022e-01
2.058225455984239893e+00,1.255013231666277207e+00,1.427054760942934486e+00,1.776096548639141126e+00,2.942097230761878679e-01,3.411436904934138648e-01
1.383742584701620704e+00,1.173713575754501637e+00,9.391028525310121111e-01,1.362460339699175460e+00,4.571139656608591562e-01,4.045066180347003937e-01
3.326029260310467084e+00,7.553514937675138707e-01,1.498380269613087679e+00,1.724478691361834848e+00,7.762702820342670673e-02,9.210535095988114929e-02
2.900140755759419431e+00,1.735225589147360470e+00,7.674751583804008126e-01,8.582286079128231826e-01,1.859174175136198981e-01,1.816964738531864076e-01
3.875195816473303356e+00,1.402450295427025262e+00,6.281295289247048608e-01,2.803281365281622417e-01,5.552121498284178641e-02,7.110850925764551633e-02
2.548015159357117088e-01,1.564303777280032559e+00,1.543034199148994423e+00,1.973709986373340053e+00,7.536019811760865217e+00,7.553374239322170780e+00
1.182441685826796762e+00,2.127040839418522289e+00,1.286878694855987160e+00,1.837890980369684790e+00,1.200610429868598672e+00,1.201667191569369741e+00
3.073941096750222979e+00,1.115464306198722166e+00,1.735186336574697119e+00,3.610654088053977251e-01,1.135651469445859707e-01,9.324567600414207513e-02
2.967521264710505591e+00,2.633263488803887498e+00,8.986081477778747884e-01,2.966586296654667443e-01,2.567971680349583896e-01,2.288561301648985025e-01
4.157305070842012285e+00,7.474418490996538322e-01,1.399359959502586737e+00,9.035784260450205885e-01,4.324936159570905159e-02,5.765787823845756888e-03
5.866249499617188778e-01,1.457922133352554717e+00,1.605144110409437275e+00,5.749934953678266236e-01,1.990759653258314277e+00,2.015206565263012450e+00
1.981531966875633266e+00,2.227201956476509093e+00,1.144324196471745436e+00,9.598238102494576207e-01,4.895955475383084732e-01,4.854015002231685805e-01
2.138029469129600901e+00,2.053408602267598138e+00,1.885006576565756653e+00,5.855096769095307074e-01,4.100499552283149995e-01,3.992444558811438782e-01
2.662529224536842154e+00,2.273693148217099669e+00,1.043898452310051628e+00,6.855726781960447269e-01,2.923988539511523932e-01,2.868444657346245208e-01
1.886860252298973695e+00,2.866139481139466039e+00,1.740861056922903272e+00,1.251010076007832428e-01,6.598379023262328502e-01,6.330485479583014552e-01
3.726414998946747215e+00,1.513104908207838051e+00,1.973219394469056809e+00,1.949291308763413610e+00,1.409983561104815597e-01,1.470906477009027435e-01
7.007008133275025585e-01,1.591590424135491677e+00,1.397870775703426549e+00,1.639600902523588255e+00,1.872918049094306481e+00,1.899292079015182377e+00
4.910074341117035002e-01,2.883937127078785245e+00,1.184946806370630323e+00,1.509501649481795438e+00,6.361802725937651282e+00,6.384571938553070147e+00
1.704785435332970112e+00,1.085076656901119652e+00,8.826452062294598555e-01,1.107636129252228541e+00,2.948951824801648858e-01,2.635792010556105014e-01
6.289681201088963558e-01,7.418938565626521653e-01,1.222944871214908469e+00,1.336010683286759315e+00,9.226981790476427303e-01,9.499684167238218180e-01
2.083574291577023452e+00,2.251910319802957972e+00,1.309226229169156541e+00,8.736483607408103147e-01,4.600579256429968567e-01,4.447731877484701335e-01
2.976466094125584938e+00,2.600820008524715732e+00,1.237774611499651511e+00,9.500049236847012413e-01,2.868961201530607630e-01,2.486370748482054638e-01
6.041102412146340805e-01,1.139209434881122363e+00,1.934227201959894504e+00,1.680789709167492152e+00,1.620187914789552819e+00,1.595598470081340592e+00
2.407020268519825645e+00,6.461385580756185965e-01,6.447825795794582815e-01,1.914149751636980312e+00,1.018666641443332632e-01,8.253638191943218905e-02
2.865524664454171866e+00,2.190736775058772512e+00,1.282036338065124514e+00,1.249434655813735251e+00,2.692410666593449409e-01,2.691021098525441801e-01
2.909788573805613954e+00,2.704347454951480323e+00,1.123014996182989167e+00,1.618787946492358909e+00,3.298384621958208585e-01,3.091989527360959333e-01
3.449730146446798873e-01,2.671032285492735525e+00,7.507446897849479051e-01,3.924895569747168800e-01,9.951312522178216824e+00,9.921107612962618560e+00
3.911524599786162071e+00,8.029823172918416629e-01,1.629434428779660271e+00,1.423950519736736586e+00,5.947625061183474393e-02,5.418636990920869950e-02
3.665573177968318941e+00,1.419762074242687522e+00,7.489452217115035726e-01,4.727399291188814079e-01,8.170181093344974776e-02,1.201798897893212037e-01
1.625653656679035386e+00,1.828878904006675077e+00,5.130764953206161660e-01,1.986707077177331193e+00,5.491911278248834405e-01,5.351441101771113873e-01
2.462458066177493077e+00,6.893613745778832680e-01,1.055399541613769143e+00,3.014343520778091090e-01,9.897431229760818294e-02,1.082593826066030884e-01
3.748073021353961476e+00,1.252381000505631725e+00,1.670996076442264222e+00,8.103564621780587895e-01,9.229152885084548896e-02,9.389046547543480892e-02
4.203558707830767460e+00,1.401659054406127147e+00,6.466863947132690527e-01,1.441554202525224149e+00,6.933009486280761191e-02,1.224914491466990996e-01
1.389038806150133087e+00,1.103618550624605454e+00,1.989323202754396558e+00,1.139819297664099729e+00,4.710443983357801567e-01,4.330792351425905573e-01
3.899994062589635657e+00,1.705618444141897116e+00,1.238530282402337424e+00,1.536303073028585819e+00,1.207111331131972276e-01,1.426187660574967930e-01
2.236152173937187904e+00,1.835421259704391073e+00,1.942831264809393943e+00,1.715865005344885841e+00,4.021139463280301030e-01,3.764862464120278251e-01
4.775170342577783167e+00,2.063290036292098062e+00,1.157251029998012104e+00,1.947255948455894226e+00,1.000629722853110387e-01,8.821466720490832303e-02
4.416154376078790023e+00,2.573644363413319702e+00,1.347153749717519666e+00,1.472235306354965134e+00,1.430435470827174649e-01,1.411099140148492359e-01
1.918359310918750893e+00,1.268982783250599988e+00,5.778381006758797067e-01,1.887365623729833963e+00,2.892261280760086706e-01,3.529478521119694956e-01
1.927196068267860163e+00,1.894869610418458583e+00,1.348015888926469508e+00,1.237879535593299885e+00,4.605211178293686092e-01,4.452610116237020743e-01
2.532012134714728635e+00,8.734983665789726182e-01,1.060378642191988519e+00,1.472192896294824305e+00,1.313102872698505841e-01,9.353260500488383422e-02
4.811095024028959166e+00,1.958908895772271119e+00,1.330111794380603119e+00,8.100371419877447909e-01,7.781468417929636450e-02,1.037619561861208850e-01
8.911065977500887136e-01,8.172716967212896311e-01,1.206366904581129162e+00,1.386188748625336586e-01,5.500017646203416710e-01,5.332170424537395759e-01
2.834726079259487275e+00,2.248256525930837135e+00,6.675329181099970421e-01,1.231290820605601910e+00,2.556897736787741016e-01,2.508307666049602869e-01
3.309011621328111996e+00,1.014218136345080179e+00,8.503890742486801546e-01,1.295203367294317509e-02,6.805571380145680749e-02,6.757487734257167089e-02
3.656264357238040663e+00,1.604692451763917393e+00,1.164359036281477300e+00,1.915150986989040183e+00,1.333858287227652206e-01,1.353256044343830733e-01
5.221512835424706456e-01,2.765405898483210390e+00,9.176418470795100202e-01,1.230714796018950397e+00,5.474923072465841756e+00,5.471520299898704032e+00
3.076713524623527096e+00,9.875364300609206225e-01,1.581747122044661946e+00,1.998522550471385273e+00,1.230922626261161668e-01,1.284473913455972394e-01
2.362116965297023086e+00,8.147666195469747130e-01,1.024593310634192456e+00,1.534163066149999866e+00,1.378094665899280702e-01,1.455566586346429547e-01
1.829201084175427372e+00,2.331915972902300016e+00,8.844935750042591804e-01,5.305210755387101962e-01,5.546726161085561158e-01,5.717510724729149008e-01
4.858571577899479799e+00,1.976727526345711361e+00,9.670584967052824332e-01,1.110410610950385513e+00,7.300448083203744942e-02,6.445981811404420669e-02
7.089397847870979597e-01,2.692348725220709227e+00,1.972653006308490831e+00,5.470724689427788334e-01,2.998126952224040576e+00,2.983152349356942512e+00
3.601720555863546114e+00,8.790753459476423615e-01,6.800882913206798275e-01,1.253008583431978407e+00,6.143292577453165343e-02,4.016192020119057488e-02
1.180930219089296296e+00,2.903774455100504248e+00,1.087557850453613417e+00,1.714361662533963937e+00,1.628867933483353347e+00,1.640722111486737411e+00
4.750890989473370851e+00,2.079382646795131517e+00,1.776579514947548510e+00,1.081169005585950860e+00,9.981331505395987791e-02,9.888735215003757739e-02
2.601509883647060928e+00,2.856476829177861720e+00,5.328537247105923358e-01,5.841083877899786447e-01,3.512985956897519135e-01,3.623626871183085463e-01
2.376260438364095062e+00,9.696946113229055753e-01,8.248966372915862433e-01,9.305034825581135483e-01,1.509779265768941559e-01,1.617418514132115681e-01
1.392808064056988648e+00,2.654052978782047045e+00,1.835718362900228939e+00,1.121040200039269852e+00,1.140284367582492298e+00,1.174001906249584337e+00
2.762141083212047210e+00,2.093705584202607550e+00,1.213374276981711519e+00,1.389326534150103987e+00,2.762841276841866422e-01,2.804342295955273845e-01
4.348778988996768291e+00,1.924914516606771153e+00,1.573644033974090917e+00,1.826481960338937727e+00,1.220800287625486702e-01,1.371274550963499372e-01
5.459517498153306780e-01,2.753888671646495201e+00,1.877529045536300067e+00,6.398374654151242069e-01,4.564799673203241426e+00,4.540747876677345474e+00
3.359487208417674342e+00,2.730027689813478098e+00,1.773763313659390661e+00,1.137180333705945179e+00,2.649623979539429963e-01,2.433563644301439399e-01
9.034610574136898720e-01,2.833547408473648055e+00,1.648450771172850660e+00,5.792676359307231682e-01,2.181171652129552108e+00,2.174936897213465059e+00
1.280338275146461591e+00,2.791271040211128707e+00,8.982212697660285627e-01,7.151426769634006142e-02,1.143193916564803736e+00,1.118859563048514749e+00
4.298491988639687733e+00,1.555401868533811793e+00,1.911387196535653921e+00,1.621476997472482529e+00,1.034736502039096256e-01,1.172655145597325810e-01
5.469035025435898811e-01,1.922474029068990564e+00,1.650971257036916384e+00,1.336397229812729570e+00,3.214244440160257010e+00,3.187583384394770736e+00
3.712020239368634122e+00,2.731927220538832746e+00,7.782298802775020619e-01,1.361148937220856059e+00,1.878905069833692321e-01,1.892581673580835122e-01
4.776949940315803889e-01,8.995229269132580807e-01,1.609007283248271136e+00,5.864522637624691725e-02,1.479044204183291633e+00,1.429882291753299617e+00
2.645807724899590152e+00,5.889238994192598220e-01,1.097658516935696049e+00,6.854320241120692714e-02,7.268327467033433575e-02,5.058768020222742523e-02
3.192838340005393238e+00,9.298673707664277810e-01,8.324062272030574583e-01,1.077320633293465724e+00,8.525616528062213151e-02,7.847545855524318270e-02
9.055929759787635369e-01,1.704979062033710857e+00,1.141719589456270390e+00,7.217810261124135707e-01,1.234034310036241866e+00,1.228853516298937354e+00
4.050126049019242558e+00,1.097919435846715697e+00,1.356027468640729206e+00,1.915712400887182865e+00,7.778382129450657489e-02,4.195090642718106444e-02
1.260851743909502609e+00,1.873884951587005521e+00,5.204620320556589963e-01,1.129871509504799976e+00,8.006586956505119534e-01,8.028320772323612742e-01
2.483275931826613103e+00,1.220628343916578151e+00,1.804729203393212300e+00,4.089853811945534101e-01,1.836610419728801624e-01,2.031583225469458243e-01
1.353349814207048807e+00,1.103484448699701748e+00,1.650289342439378082e+00,4.966423103137742601e-01,4.359358504231254927e-01,4.489006585278775274e-01
3.865212427571530718e+00,1.140369676853053127e+00,7.467095807892714099e-01,1.041996325679515945e+00,6.689032904163574877e-02,5.371866775287757745e-02
1.405478335025918790e+00,1.022844465005701808e+00,8.496430289910147371e-01,1.052338675755470909e-01,3.592538975803262202e-01,3.475079608169554524e-01
1.458476472928265544e+00,2.979642553680053041e+00,1.424802781814681563e+00,3.111051261120982847e-01,1.032622722326742792e+00,1.008896716692754048e+00
2.584485286112819802e-01,1.424475164988322939e+00,9.259994098123427442e-01,1.370445731454630112e+00,7.121651926803421517e+00,7.134247686695660562e+00
4.519220471247034077e+00,1.293798917965212514e+00,1.439729942620630920e+00,6.079422236906861787e-01,5.844207155839053341e-02,8.727524831342962919e-02
3.612654212330845827e-01,6.207723676719760775e-01,1.810593181457674561e+00,1.251675984540724818e+00,1.583049873662766727e+00,1.572530764152756166e+00
1.710014948703021398e+00,1.597608514743296793e+00,1.570895849278358458e+00,7.267365068976405773e-02,4.215343376447825419e-01,3.875779763058269101e-01
3.305634378591474576e+00,2.368228751615933270e+00,1.024954723328874273e+00,1.283773827187093541e+00,2.156558912492769764e-01,2.196559761013749390e-01
1.794011522309213014e+00,1.012619973486787783e+00,1.656860168000860112e+00,2.445248351527826713e-01,2.516666453374553636e-01,2.658220338195860233e-01
3.066589279478276975e+00,2.871150948317425566e+00,1.175244946081897890e+00,1.145895615436793191e+00,3.040660108130514572e-01,2.496235338185495978e-01
1.949911390953415591e+00,2.309652074818789647e+00,1.152055417436613993e+00,1.483341448833199960e+00,5.539609652620451907e-01,5.567280860546888199e-01
4.423765390841839285e+00,2.498319961281664447e+00,5.736518276421211926e-01,9.805177244301859218e-01,8.753642004361984752e-02,1.308241596372366478e-01
9.631002382030984243e-01,1.943039774211456239e+00,1.588844508995651328e+00,8.724890314205129282e-01,1.366178848148966951e+00,1.382591800337560795e+00
2.883700696769340155e-01,2.573184112596523132e+00,1.572718441573422332e+00,1.711827241029220792e+00,1.186097449233693446e+01,1.187198366835538366e+01
6.785600175901895792e-01,9.561448463958578392e-01,9.174383123302174425e-01,1.426555403524247811e+00,1.075070866566326444e+00,1.083113292112827697e+00
2.715161777720064062e+00,1.737438603980850482e+00,1.681096480573253338e+00,7.409266879583864540e-01,2.311970099434117465e-01,2.524349863693049478e-01
3.042889758174924797e+00,5.767755080578071958e-01,1.991875013375521197e+00,7.144667129471333755e-01,6.428328897918859919e-02,4.545994390304967936e-02
4.202733528197213353e+00,1.889815452905959203e+00,1.863222344592020185e+00,4.116446583820037031e-01,1.043607973816617629e-01,8.745404133292189464e-02
4.782310313113694811e+00,1.355715955255648808e+00,1.913808152544123953e+00,5.570990076890958154e-01,5.822174236637893407e-02,6.637312854426166697e-02
2.126261239399587222e+00,1.902543532665541548e+00,1.703719746564045678e+00,1.106843770268590710e+00,4.043364529274509622e-01,3.906298660376435472e-01
4.153736837398542825e+00,2.699233446869455655e+00,8.639172233366996245e-01,1.668246746783878853e+00,1.561740367163914345e-01,1.613480851206873234e-01
2.144814784876837965e+00,1.526622316028668713e+00,1.838956165135773979e+00,2.983191505184248360e-01,2.907154667432395589e-01,2.524642170706317135e-01
1.979153714945114828e+00,1.874948964944549878e+00,1.827384329824749187e+00,1.526468685647432100e+00,4.820079176132676668e-01,4.971670108875603233e-01
8.369325826842071159e-01,2.922368474462933019e+00,1.025926669097576127e+00,1.173495432840554242e+00,2.668811001956006290e+00,2.685750430200002814e+00
4.369536240863319598e+00,1.988593244686999384e+00,1.640434629040093295e+00,2.095409829667427282e-01,9.069063915212671745e-02,9.156419719407188351e-02
1.813314866313233020e+00,2.571851465558008254e+00,6.088364198068573208e-01,2.629700175107938520e-01,6.218289943575490142e-01,6.251174531805109291e-01
3.304117285342480947e+00,2.230594214638792039e+00,7.396361859591358279e-01,2.897433106010252057e-01,1.582925780690724038e-01,1.907055997831372807e-01
2.682394298725642390e+00,1.023713849581747937e+00,8.489973716895580225e-01,7.701122834278151252e-01,1.276440124641924634e-01,1.059821199065523745e-01
4.984820119671592664e+00,2.780367904736384954e+00,1.202612737486933980e+00,1.180334191685920464e+00,1.070221061872057011e-01,8.875897306150126731e-02
1.427043114676996405e+00,1.392065544415103551e+00,8.839917319563226350e-01,1.319497305591264436e+00,5.129330559554620139e-01,4.910569300771529533e-01
2.847193498876834372e+00,2.651309523680831948e+00,8.080089211321335174e-01,6.377846361079844151e-01,2.903841589901114961e-01,2.818895555650005602e-01
3.990234834183104429e+00,1.606274451852647278e+00,5.096489896246110263e-01,5.280024975195500847e-01,5.722407244023041545e-02,3.700107402006299478e-02
1.117188798310041031e+00,1.077038472349485909e+00,6.256672402651644038e-01,1.875724733861744875e+00,5.803034521409649038e-01,5.810444216847436838e-01
4.151234245518354626e+00,2.095957013961259996e+00,1.046781859212694066e+00,7.011806332125785080e-01,1.068405254294913509e-01,9.382578930950963292e-02
2.879214715146661607e+00,1.037341480169050367e+00,1.246991050314858906e+00,1.123581148543385755e+00,1.235308999359579774e-01,9.454791754285049588e-02
6.968915330531073593e-01,2.292732385871036449e+00,8.127201353406785511e-01,4.688542731189135893e-01,2.449352931905401043e+00,2.418349377181906235e+00
4.846672483607132875e+00,5.956803912327303108e-01,7.277760098036797354e-01,3.077839820731371745e-01,1.190073790816489896e-02,3.613388004579357049e-02
2.176887517570723851e+00,2.027631852274997648e+00,7.233595557375679386e-01,2.294379948640770106e-01,3.556253686089780874e-01,3.542477922499072118e-01
2.481949677291521716e+00,2.289879876246649459e+00,1.453246045288399735e+00,7.701779922801776923e-01,3.497359981380805949e-01,3.451892416513893114e-01
3.965418959169605628e+00,1.029709659781950393e+00,1.745938023160209296e+00,1.273529700425200639e+00,7.386790303921994538e-02,7.439929474728018688e-02
4.830259002642196542e+00,6.549567586402456065e-01,1.854547589613203540e+00,1.969438903737156910e+00,3.614631255049179787e-02,3.449907023360885422e-02
1.378584926030165914e+00,2.054356272957925889e+00,1.436973097098149577e+00,1.468328364657111917e+00,8.900129343387918057e-01,9.051351930504391019e-01
8.535943439471727068e-01,2.827442863076158996e+00,1.117410340827839743e+00,1.401442304028092334e+00,2.569414119082003900e+00,2.580659299645908789e+00
3.774708297443943206e+00,2.835490390485687850e+00,1.034258404836987388e+00,2.851028703151949895e-01,1.617062707683116218e-01,1.499121158412342059e-01
3.449780037887876905e+00,1.064823320064170797e+00,1.094881721837783095e+00,1.204228399416630291e+00,8.936288756574592429e-02,7.289234642148030574e-02
2.343298607353776486e+00,2.929018459320792633e+00,1.083066605863144183e+00,8.110963912460948944e-01,4.786614823644047556e-01,4.569270665931828290e-01
3.308513116590144687e+00,9.513149830233642579e-01,1.576114412730255543e+00,4.493435267443375292e-01,8.384355867921311489e-02,5.882093275498145868e-02
4.731919907069608300e+00,1.779738201940391118e+00,1.754684405852362739e+00,4.802635050608414780e-01,7.442053277061985717e-02,1.024634455720267318e-01
4.241172696271855003e+00,9.056684918512085680e-01,1.647998481028952966e+00,1.709878770474343446e+00,6.001240016977914260e-02,4.168161547649078952e-02
2.927454623996179617e+00,2.460885147439193066e+00,7.610079439143000446e-01,5.485580528859705929e-01,2.492090024664267989e-01,2.088280865955938759e-01
4.561408490499083257e+00,2.812370999084493839e+00,1.111430031760911152e+00,2.902923568613837713e-01,9.745042377876371453e-02,8.058073454161310267e-02
4.581975064744897352e+00,1.312732846611908810e+00,1.423251873259441913e+00,7.442022636099572264e-01,5.918976655941128595e-02,4.342253267317747883e-02
3.901546990126485870e+00,2.892734986199080538e+00,7.924212939291976898e-01,1.099213347829668397e+00,1.711449184400298529e-01,1.777419507232258500e-01
7.690925867353701761e-01,2.158781249859527129e+00,5.044387381961766836e-01,9.783398689047702046e-01,2.060407249195215229e+00,2.042687597479507566e+00
2.896202819284688701e+00,2.361985946558689431e+00,1.116847999572996297e+00,3.053438462680175824e-01,2.517359272519006375e-01,2.624309885926340291e-01
3.114881065312454567e+00,2.458161336900555050e+00,8.894995888587287070e-01,7.293610123467197948e-01,2.303669032480414880e-01,2.381374427400725913e-01
4.420806978888752070e+00,2.882761330977720693e+00,1.909715146517719786e+00,1.551536062840977559e+00,1.794054731036354988e-01,2.047420634643346282e-01
2.677903517274835998e+00,2.163085420082238919e+00,1.218864844711101902e+00,9.031542749052074992e-01,2.861339893363830100e-01,3.294738509178535280e-01
3.140430923756576842e+00,2.183830527687549150e+00,6.738483601618090457e-01,1.370649685409027096e+00,2.064035180759608012e-01,2.633816005785793446e-01
3.632786689749513354e+00,1.153075917772528713e+00,1.786868397425617427e+00,1.996499059423709532e+00,1.100417599310619110e-01,1.370584527887172277e-01
6.025822096728357113e-01,2.792452852221381399e+00,6.737744238146878839e-01,6.319260272898108433e-02,3.722751221438216795e+00,3.699557215012684086e+00
4.704461298721424600e-01,2.419033982572309949e+00,8.913372457393893278e-01,8.901739575011236028e-02,4.701865627026617922e+00,4.693781639166587638e+00
3.459095668423437520e-01,2.856891371164195448e+00,1.205147106941902635e+00,1.765825930253504206e+00,1.108386277616269311e+01,1.108881569902291986e+01
7.128102244551097755e-01,2.086799999368372127e+00,8.181406643026807313e-01,1.184769978944453905e+00,2.325830815854343925e+00,2.367193365934270322e+00
1.426323902089929208e+00,1.078773627461762752e+00,1.234721529803231022e+00,1.660541577416148495e+00,4.318371832624678941e-01,4.453695899144114456e-01
4.322565969034078970e-01,2.100275894306195656e+00,1.480081159127546231e+00,9.904596975926254210e-01,4.882383158977444459e+00,4.906450607069499981e+00
3.062942447831173531e+00,1.885584786904979104e+00,6.332581376022978770e-01,6.486113098563712764e-01,1.687220973725996886e-01,1.652430597403636570e-01
2.946988084558540777e+00,9.489934382743809849e-01,6.548133124250639092e-01,1.301477213882252126e+00,1.002583831831928285e-01,1.120640731094061648e-01
2.385399005170119047e+00,1.269926191989572795e+00,1.746059537875254808e+00,6.033999641185623375e-01,2.084072207031275603e-01,2.227710658225321716e-01
